"mgmt_river","n_years","avg_days_to_50_percent","sd_days_to_50_percent","min_days_to_50_percent","max_days_to_50_percent","avg_run_start_doy","avg_doy_50_percent","avg_total_production"
"N. Fork Kusko",5,13.8,3.42052627529741,9,18,153.6,167.4,1773.96028795799
"E. Fork Kuskokwim",5,13.8,4.54972526643093,9,21,153.6,167.4,1187.70932491857
"Big River",5,16.2,3.42052627529741,12,21,153.6,169.8,32330.628464596
"Tatlawiksuk",5,16.2,1.6431676725155,15,18,153.6,169.8,12884.8517824147
"S. Fork Kusko",5,18,2.12132034355964,15,21,153.6,171.6,6723.13333076157
"Swift",5,18,2.12132034355964,15,21,153.6,171.6,31727.4548901561
"Upper Kusko Main",5,20.4,2.50998007960223,18,24,153.6,174,31451.4897440825
"Middle Kusko Main",5,21.6,3.286335345031,18,24,153.6,175.2,32043.29941587
"Takotna and Nixon Fork",5,22.2,4.02492235949962,18,27,153.6,175.8,24413.0270060783
"Stony",5,22.2,4.02492235949962,18,27,153.6,175.8,51805.772309275
"Holitna",5,22.8,3.42052627529741,18,27,153.6,176.4,45051.4883119188
"Hoholitna",5,22.8,3.42052627529741,18,27,153.6,176.4,43653.0617044889
"Kisaralik",5,22.8,3.42052627529741,18,27,153.6,176.4,27406.4619719175
"Lower Kusko",5,22.8,3.42052627529741,18,27,153.6,176.4,1056.62394830291
"George",5,23.4,4.4497190922574,18,30,153.6,177,14133.5185325038
"Oskakawlik",5,23.4,2.50998007960223,21,27,153.6,177,6086.22921872576
"Holokuk",5,23.4,2.50998007960223,21,27,153.6,177,5134.37031349892
"Aniak",5,23.4,2.50998007960223,21,27,153.6,177,35191.704735505
"Tuluksak",5,23.4,2.50998007960223,21,27,153.6,177,23455.1851352582
"Kwethluk",5,24,3,21,27,153.6,177.6,21186.006697665
