"mgmt_river","doy","avg_cumulative_percent","sd_cumulative_percent","n_years","min_cumulative_percent","max_cumulative_percent"
"N. Fork Kusko",152,0.816997509507678,1.41508119612454,3,0,2.45099252852304
"N. Fork Kusko",153,0,0,2,0,0
"N. Fork Kusko",155,2.2680285832608,0.868227384204084,3,1.32290035091057,3.03019287034879
"N. Fork Kusko",156,1.24394265923798,0.216181313433675,2,1.09107938654321,1.39680593193274
"N. Fork Kusko",158,4.66815017176074,3.71661289227223,4,0,8.9387592696058
"N. Fork Kusko",159,9.06064379063473,4.23618809385744,2,6.06520646308642,12.056081118183
"N. Fork Kusko",161,12.1818201860491,9.94528440768522,4,2.89760539853432,26.043795042627
"N. Fork Kusko",162,40.1929120870679,16.8421096091614,2,28.2837421729428,52.1020820011931
"N. Fork Kusko",164,26.3887474759467,17.7839164678779,4,5.97636991882098,47.4564845918127
"N. Fork Kusko",165,45.2566675652308,16.0132947246792,2,33.9335582762713,56.5797768541902
"N. Fork Kusko",167,42.1069982048425,21.5418668685148,4,20.8959693970884,65.6247634504422
"N. Fork Kusko",168,54.5727113781558,16.8080276952721,2,42.6876410164576,66.457781739854
"N. Fork Kusko",170,48.673046997496,22.9940962973185,4,23.4809542892549,72.9673339021069
"N. Fork Kusko",171,66.0946187225992,11.7931507906037,2,57.7556018270078,74.4336356181906
"N. Fork Kusko",173,60.5421223776995,20.0479269222186,4,36.3690521143207,84.3026148281408
"N. Fork Kusko",174,73.7881963564177,13.4863235715518,2,64.2519255056975,83.324467207138
"N. Fork Kusko",176,71.5134871069812,13.9091718441006,4,52.5119707079113,84.9673212961474
"N. Fork Kusko",177,78.8201388441288,12.3129116867779,2,70.1135954942571,87.5266821940005
"N. Fork Kusko",179,81.9942653685475,12.6864216593515,4,65.3192160646662,95.8854386296701
"N. Fork Kusko",180,82.9411878455315,11.381787654483,2,74.8930486130213,90.9893270780418
"N. Fork Kusko",182,90.6615253518765,9.21802750979425,4,78.0430807076075,100
"N. Fork Kusko",183,88.6069004145198,4.44603472744743,2,85.4630791093508,91.7507217196888
"N. Fork Kusko",185,93.5517490807221,5.71212400997422,4,86.4564313969176,100
"N. Fork Kusko",186,91.32230267616,2.07766061371218,2,89.8531747671999,92.79143058512
"N. Fork Kusko",188,94.1952517664314,5.50888986362434,3,88.6241851786685,99.6397849353743
"N. Fork Kusko",189,93.2548060341128,3.00385999748807,2,91.130756260154,95.3788558080717
"N. Fork Kusko",191,95.901454811496,4.4508433714049,3,91.166767496922,100
"N. Fork Kusko",192,97.3489533903372,1.35316370903439,2,96.3921221556234,98.3057846250509
"N. Fork Kusko",194,97.8193393634932,3.39810121467036,3,93.9040079379061,100
"N. Fork Kusko",195,99.1913618303314,1.14358706659791,2,98.3827236606628,100
"N. Fork Kusko",197,98.8767730919183,1.57511257154582,3,97.0763091231814,100
"N. Fork Kusko",198,99.6013639758614,0.690457847535352,3,98.8040919275841,100
"N. Fork Kusko",200,99.7770050762867,0.315362445455644,2,99.5540101525735,100
"N. Fork Kusko",201,100,NA,1,100,100
"N. Fork Kusko",203,100,NA,1,100,100
"S. Fork Kusko",152,0.765233525787158,0.722631135511791,3,0,1.43596310732922
"S. Fork Kusko",153,0.0941546575829065,0.133154793714341,2,0,0.188309315165813
"S. Fork Kusko",155,2.02679409361266,1.7156296276456,3,0.68465834221549,3.95976083129327
"S. Fork Kusko",156,1.34840315939347,0.536829764110424,2,0.968807192848213,1.72799912593872
"S. Fork Kusko",158,5.37088480963831,4.66121736068353,4,0,11.3816646880026
"S. Fork Kusko",159,7.44444808653396,1.36661465115375,2,6.47810559943426,8.41079057363367
"S. Fork Kusko",161,11.4742250771584,10.5607390927557,4,2.21966270426607,26.5734653897993
"S. Fork Kusko",162,19.8818351050179,4.66189917831782,2,16.5853745828214,23.1782956272144
"S. Fork Kusko",164,20.0415275860972,12.6417471692115,4,4.99965840556939,35.4165611502735
"S. Fork Kusko",165,25.880063180862,7.69413726233455,2,20.4394865472851,31.3206398144388
"S. Fork Kusko",167,30.9893629713369,15.474881937514,4,13.6791614573459,47.3197834994622
"S. Fork Kusko",168,33.9359463801559,6.92671438706484,2,29.0380196657199,38.8338730945919
"S. Fork Kusko",170,39.7553407772274,17.0175302671501,4,19.763982121471,58.9824262908312
"S. Fork Kusko",171,43.9118842374028,7.60799020363813,2,38.5322227732094,49.2915457015961
"S. Fork Kusko",173,53.1250213732822,16.6859140490452,4,34.013345207649,74.5725636285756
"S. Fork Kusko",174,53.0681341776869,9.23741837660855,2,46.5362930029298,59.599975352444
"S. Fork Kusko",176,68.5536295695487,12.5846155999314,4,54.6145044050037,84.7751455668333
"S. Fork Kusko",177,60.8390200369588,10.2914969307601,2,53.5618327686578,68.1162073052599
"S. Fork Kusko",179,80.0383427350926,10.0031323097602,4,69.9960515256008,93.8688656537123
"S. Fork Kusko",180,72.8729520342939,12.7839545951579,2,63.8333310496768,81.912573018911
"S. Fork Kusko",182,88.3435597315552,9.03453163415749,4,77.941196612902,100
"S. Fork Kusko",183,77.942273342362,10.1510914444037,2,70.7643677455793,85.1201789391446
"S. Fork Kusko",185,92.7417403934443,6.3609288533241,4,85.8222887096605,100
"S. Fork Kusko",186,82.9783745087137,6.23901153073614,2,78.5667271474291,87.3900218699983
"S. Fork Kusko",188,93.2928211444395,3.60319503187894,3,90.8283080952821,97.4281184904082
"S. Fork Kusko",189,87.2327363399381,5.2698184012532,2,83.5064120127903,90.9590606670859
"S. Fork Kusko",191,96.1230802989592,2.59771225977181,3,93.6260253149254,98.8109292594475
"S. Fork Kusko",192,93.4226828202999,3.77656336579614,2,90.7522492547647,96.093116385835
"S. Fork Kusko",194,97.4660160100258,2.24722135560134,3,94.8717347094618,98.8109292594475
"S. Fork Kusko",195,98.0968785783442,2.23646483024429,2,96.5154591309932,99.6782980256951
"S. Fork Kusko",197,99.043187278325,0.842199053167278,3,98.4141777738068,100
"S. Fork Kusko",198,99.4970688179137,0.871102360084113,3,98.4912064537412,100
"S. Fork Kusko",200,99.6744686782858,0.460370810145473,2,99.3489373565716,100
"S. Fork Kusko",201,100,NA,1,100,100
"S. Fork Kusko",203,100,NA,1,100,100
"Upper Kusko Main",152,0.657284751920152,0.616727085818799,3,0,1.22327679514879
"Upper Kusko Main",153,0.277464930318409,0.392394667539199,2,0,0.554929860636817
"Upper Kusko Main",155,1.78401369600298,1.23145274088174,3,0.932721221488129,3.19604307137203
"Upper Kusko Main",156,1.45103430252549,0.220930578581708,2,1.29481279223889,1.60725581281208
"Upper Kusko Main",158,4.77681847825222,3.81819999764898,4,0,9.34749620718025
"Upper Kusko Main",159,6.5787756815249,1.19760027829166,2,5.73194440359397,7.42560695945583
"Upper Kusko Main",161,10.2411183509276,8.79217395473529,4,2.28524993735512,22.6985710870051
"Upper Kusko Main",162,17.3097169732504,3.89643137479765,2,14.554523925703,20.0649100207978
"Upper Kusko Main",164,17.7788411158985,11.6152275569797,4,4.28929498787613,32.1279133097414
"Upper Kusko Main",165,23.0775992603709,6.55377634490264,2,18.4433795645103,27.7118189562316
"Upper Kusko Main",167,27.6621143652473,13.6110105261704,4,12.5548045229053,42.6640273690311
"Upper Kusko Main",168,29.37004002134,5.4914497547077,2,25.486998661241,33.253081381439
"Upper Kusko Main",170,36.7401490263183,14.3389233320716,4,20.1748373225371,53.2173515407178
"Upper Kusko Main",171,39.1639603027791,6.46930628438372,2,34.5894699595186,43.7384506460396
"Upper Kusko Main",173,49.4830952051693,14.874378504948,4,34.1407956453613,69.7448618954119
"Upper Kusko Main",174,48.4760443836104,6.64954525778149,2,43.7741058400263,53.1779829271946
"Upper Kusko Main",176,67.017489095382,12.1957413157765,4,53.8103317855034,82.8667880851539
"Upper Kusko Main",177,56.8927924819617,7.63927117304605,2,51.491012032178,62.2945729317455
"Upper Kusko Main",179,78.7191178903106,10.0282749385772,4,69.6620797666286,93.0578888378632
"Upper Kusko Main",180,69.7599396169011,11.3013468656761,2,61.7686806116401,77.751198622162
"Upper Kusko Main",182,87.6125151303773,8.97726869559309,4,78.5322531199727,100
"Upper Kusko Main",183,75.4495792980045,10.2205734474551,2,68.2225425056938,82.6766160903152
"Upper Kusko Main",185,91.9372363755427,6.69681100708775,4,85.6417265776184,100
"Upper Kusko Main",186,80.7846822177163,7.14238914650958,2,75.7342504183462,85.8351140170864
"Upper Kusko Main",188,92.7769788888242,4.03643737554348,3,90.3044696161147,97.4349071082314
"Upper Kusko Main",189,84.9443378193789,5.89290808507979,2,80.7774225515099,89.1112530872478
"Upper Kusko Main",191,95.9108948688797,2.76076929293457,3,93.6893361070447,99.0016627824902
"Upper Kusko Main",192,92.0345034277061,2.87787273105731,2,89.9995401041837,94.0694667512286
"Upper Kusko Main",194,97.5039612712146,1.93477703865564,3,95.3194817938485,99.0016627824902
"Upper Kusko Main",195,97.6523740232359,2.0246272768422,2,96.2207463464055,99.0840017000663
"Upper Kusko Main",197,98.7802931473838,1.05649215572021,3,98.1501402048464,100
"Upper Kusko Main",198,99.5627550322446,0.757330499506168,3,98.6882650967338,100
"Upper Kusko Main",200,99.712168849179,0.407054717164533,2,99.424337698358,100
"Upper Kusko Main",201,100,NA,1,100,100
"Upper Kusko Main",203,100,NA,1,100,100
"Big River",152,0.663408533881679,0.874243852581821,3,0,1.65406587324636
"Big River",153,0,0,2,0,0
"Big River",155,2.2904788830145,2.45170425020984,3,0.219734239121048,4.99763653667608
"Big River",156,1.76027785391674,1.23047458863518,2,0.890200928215073,2.63035477961841
"Big River",158,6.59248108332681,6.62652027582388,4,0,15.6276239067329
"Big River",159,8.72374140327886,0.436802592171578,2,8.41487532831447,9.03260747824324
"Big River",161,14.0884544846581,14.1821912016985,4,2.31551739256294,34.4626844520035
"Big River",162,23.2166141251948,7.32478185974567,2,18.0372112014564,28.3960170489331
"Big River",164,23.5761057360369,17.4441012133972,4,3.98305517955067,44.726011191813
"Big River",165,30.4969902648136,12.9266380237332,2,21.3564768602879,39.6375036693392
"Big River",167,36.3423686896259,20.2074318956026,4,16.4582549196063,57.9364199061329
"Big River",168,39.0881371045277,10.790626631399,2,31.4580118402134,46.7182623688421
"Big River",170,44.7209563227571,22.0582119705,4,21.503868602723,69.7406249922515
"Big River",171,48.3118117994171,9.09135043512034,2,41.8832562566003,54.740367342234
"Big River",173,57.8582532466895,20.3408959126747,4,35.6821120005337,84.017523720041
"Big River",174,58.5503676740966,10.5306216807459,2,51.1040936735311,65.9966416746621
"Big River",176,73.2611055363597,11.9282726503674,4,61.6741163954191,88.0485990143563
"Big River",177,66.2048102214053,11.4708389894981,2,58.0937021860322,74.3159182567785
"Big River",179,83.3508014762684,8.63005162331904,4,76.4873844204801,95.541688851522
"Big River",180,75.5136527875408,11.5053276956575,2,67.378157554168,83.6491480209136
"Big River",182,90.5371635317413,7.18363717172619,4,83.1515055970328,100
"Big River",183,81.7970058254731,6.41976223001093,2,77.2575484190271,86.336463231919
"Big River",185,94.5889342023899,5.13760026660007,4,89.4976930952139,100
"Big River",186,85.3534071727136,3.53105017294812,2,82.8565776507121,87.8502366947152
"Big River",188,95.2323725125006,3.18911302522734,3,91.9656670675411,98.3377709338562
"Big River",189,89.3180015527228,3.87883725512971,2,86.5752494265016,92.060753678944
"Big River",191,97.7559253721318,2.18946942060399,3,95.5663685796452,99.9453074103921
"Big River",192,95.5431300848533,1.77962838324181,2,94.284742787071,96.8015173826357
"Big River",194,98.9498655325331,0.939277149198292,3,98.0792328562454,99.9453074103921
"Big River",195,98.1022702858904,2.6837950994122,2,96.2045405717808,100
"Big River",197,99.5283415539757,0.620774821668255,3,98.8250563309617,100
"Big River",198,99.1270996966444,1.51190767535423,3,97.3812990899331,100
"Big River",200,99.4125281654809,0.830810635889154,2,98.8250563309617,100
"Big River",201,100,NA,1,100,100
"Big River",203,100,NA,1,100,100
"Takotna and Nixon Fork",152,0.5523483047206,0.813116988693644,3,0,1.48605021315393
"Takotna and Nixon Fork",153,0.380382623395101,0.428255599680348,2,0.0775601847800157,0.683205062010187
"Takotna and Nixon Fork",155,1.25637806171303,1.45172442547267,3,0.170994701007875,2.90539746373864
"Takotna and Nixon Fork",156,0.764459966701019,0.0495855583977845,2,0.729397682109024,0.799522251293014
