"year","mgmt_river","run_start_doy","doy_above_50_percent","days_to_above_50_percent","actual_percent_at_doy","total_production","final_overall_percent"
2019,"Takotna and Nixon Fork",152,173,21,58.7639968244163,26090.9973171051,16.4131365454862
2019,"Tatlawiksuk",152,167,15,57.0101468637702,12041.305891813,5.74035471133191
2019,"Swift",152,167,15,52.9105754965838,30236.8561010142,13.4479582724386
2019,"Stony",152,173,21,63.2163615263198,53151.3914804358,14.6371179807721
2019,"Holitna",152,173,21,52.4753468114824,49506.5004284264,13.7355745117831
2019,"Hoholitna",152,173,21,57.1278643287906,48681.3343706484,16.3698957613463
2019,"Middle Kusko Main",152,173,21,63.740476012378,32707.3203285726,7.73432899503806
2019,"George",152,176,24,75.3522967681018,15856.8535204542,7.42296268142028
2019,"Oskakawlik",152,173,21,55.5761600476844,6514.92462490683,1.42496164697765
2019,"Holokuk",152,173,21,59.1099006861203,5546.39211973852,1.21379097898544
2019,"Aniak",152,173,21,55.7930240560093,34613.900831844,7.55936059281167
2019,"Tuluksak",152,173,21,56.0532164614283,25036.0275612863,5.47503779421065
2019,"Kisaralik",152,173,21,65.1320526943752,26356.2447082108,5.91462011564421
2019,"Kwethluk",152,173,21,61.9079973573301,18591.8950602951,4.06030050028884
2019,"Johnson",152,185,33,-Inf,0,0
2019,"Lower Kusko",152,173,21,58.4032504383023,1070.65072487192,0.502583218175714
2019,"E. Fork Kuskokwim",152,167,15,73.4574170881176,876.66548515789,0.435413201447843
2020,"N. Fork Kusko",153,171,18,57.7556018270078,1841.95729085989,1.05114330303489
2020,"S. Fork Kusko",153,177,24,53.5618327686578,7950.59548369755,3.16528403426413
2020,"Upper Kusko Main",153,177,24,51.491012032178,36124.0802888833,12.6971124884889
2020,"Big River",153,174,21,51.1040936735311,39688.0058831582,16.9687021468861
2020,"Takotna and Nixon Fork",153,183,30,54.0623742646376,26790.1477000847,6.81680969998187
2020,"Tatlawiksuk",153,174,21,54.5346446809771,15597.0790188422,8.26810610733982
2020,"Swift",153,174,21,50.1339066147431,38095.3477123736,16.3963889897864
2020,"Stony",153,180,27,56.230407286532,55609.0507311632,11.7387107690301
2020,"Holitna",153,180,27,52.2192612247403,45513.6093653677,24.3373719423177
2020,"Hoholitna",153,180,27,53.5345855362692,47593.8418301893,24.0995369355708
2020,"Middle Kusko Main",153,180,27,63.3956701655855,33266.5636538402,7.98023552048777
2020,"George",153,186,33,61.4958393974678,15070.0946537234,10.1334252777268
2020,"Oskakawlik",153,180,27,60.2323067928295,6093.63153671596,1.69942394892267
2020,"Holokuk",153,177,24,51.4469230408764,5257.44890915595,1.36268330116759
2020,"Aniak",153,180,27,57.0765042453526,30714.6864887987,8.14830538797397
2020,"Tuluksak",153,180,27,60.9343126378189,23720.0015616904,6.7334202841133
2020,"Kisaralik",153,180,27,61.6903521823143,23963.9224693531,5.56696550871211
2020,"Kwethluk",153,183,30,62.914436081677,18645.4628744968,4.11592589431643
2020,"Johnson",153,201,48,-Inf,0,0
2020,"Lower Kusko",153,180,27,54.5362322838062,1121.75450912736,0.23763443306133
2020,"E. Fork Kuskokwim",153,165,12,52.3223941411133,1066.38178079648,1.08108616537693
2021,"N. Fork Kusko",153,162,9,52.1020820011931,1988.15237875989,1.95226519465678
2021,"S. Fork Kusko",153,174,21,59.599975352444,6619.10842576742,2.98820761612964
2021,"Upper Kusko Main",153,174,21,53.1779829271946,31663.9013802503,12.6482267719696
2021,"Big River",153,171,18,54.740367342234,32539.3994082671,19.0818496096564
2021,"Takotna and Nixon Fork",153,177,24,52.5111715890656,23634.1568943614,5.98668914965771
2021,"Tatlawiksuk",153,171,18,56.1322170177015,12827.0260545028,8.17170198145983
2021,"Swift",153,171,18,52.690720468197,31862.1700930419,16.8523665360118
2021,"Stony",153,177,24,50.4831075890945,51534.6651435899,11.9933598817261
2021,"Holitna",153,180,27,62.827720382719,46296.4769968023,10.3992056036517
2021,"Hoholitna",153,180,27,68.7379043475549,45233.3354002949,10.4775011834767
2021,"Middle Kusko Main",153,180,27,58.9826668641012,29828.9870702511,20.9405796409905
2021,"George",153,180,27,68.7340776177213,14505.1000163322,3.33839200954903
2021,"Oskakawlik",153,180,27,54.961653012737,5787.37980383495,2.56190860674225
2021,"Holokuk",153,183,30,66.1887484673763,4282.74639609383,4.43013998026751
2021,"Aniak",153,180,27,54.3313601936731,33561.1991859703,13.8209353178471
2021,"Tuluksak",153,180,27,52.4818609285291,22315.741014364,9.46555299068538
2021,"Kisaralik",153,180,27,50.2693663402622,28188.6055541094,28.2985486178495
2021,"Kwethluk",153,180,27,50.0284780397099,20268.143849393,10.3562323498912
2021,"Johnson",153,198,45,-Inf,0,0
2021,"Lower Kusko",153,180,27,67.2655430510594,944.053760490485,0.216402253176668
2021,"E. Fork Kuskokwim",153,162,9,52.0022274671929,1312.08953194327,1.28593638221868
