mgmt_river,total_production,final_overall_percent,n_data_points,first_doy,last_doy
Stony,55609.05073116319,8.333333333333332,95,152,203
Holitna,49506.500428426385,8.333333333333334,95,152,203
Hoholitna,48681.33437064839,8.333333333333334,95,152,203
Aniak,39770.37460844517,8.333333333333332,95,152,203
Big River,39688.00588315822,8.333333333333332,95,152,203
Swift,38095.347712373594,8.333333333333332,95,152,203
Upper Kusko Main,36124.080288883306,8.333333333333334,95,152,203
Middle Kusko Main,33764.02419161091,8.333333333333332,95,152,203
Kisaralik,31141.738863508912,8.333333333333336,95,152,203
Takotna and Nixon Fork,26790.147700084697,8.333333333333332,95,152,203
Kwethluk,26498.699488045924,8.333333333333336,95,152,203
Tuluksak,25036.027561286344,8.333333333333334,95,152,203
George,15856.85352045422,8.33333333333333,95,152,203
Tatlawiksuk,15597.079018842218,8.333333333333332,95,152,203
S. Fork Kusko,7950.595483697549,8.333333333333334,95,152,203
Oskakawlik,6514.924624906835,8.333333333333332,95,152,203
Holokuk,5546.392119738518,8.333333333333332,95,152,203
N. Fork Kusko,1988.1523787598928,8.333333333333332,95,152,203
E. Fork Kuskokwim,1459.7391135127998,8.333333333333334,95,152,203
Lower Kusko,1121.7545091273646,8.333333333333334,95,152,203
Johnson,0,-Inf,95,152,203
