"year","doy","interval_number","mgmt_river","cumulative_production","cumulative_percent_of_unit","overall_percent","fish_count_cumulative"
2017,197,14,"Big River",29760.0418326611,99.7599683309654,6.84812240486379,249
2017,200,15,"Big River",29831.647233416,100,6.67383652085834,256
2017,158,1,"Takotna and Nixon Fork",0,0,0,1
2017,161,2,"Takotna and Nixon Fork",160.126391412564,0.676526459429015,1.76899705737549,4
2017,164,3,"Takotna and Nixon Fork",1101.60271786965,4.65421958144033,4.84194959391709,12
2017,167,4,"Takotna and Nixon Fork",2368.22803806457,10.0056518827329,4.87749642694812,26
2017,170,5,"Takotna and Nixon Fork",4714.49815868584,19.9185325988061,5.38215449521763,48
2017,173,6,"Takotna and Nixon Fork",7268.99895310354,30.7111781009667,5.2775703754786,73
2017,176,7,"Takotna and Nixon Fork",10962.9014926099,46.3177422936824,5.26403074446587,113
2017,179,8,"Takotna and Nixon Fork",14937.3032876567,63.1094026254492,5.37331511369897,151
2017,182,9,"Takotna and Nixon Fork",17546.8239884076,74.1345046396273,5.38032806516566,181
2017,185,10,"Takotna and Nixon Fork",18845.2114824788,79.6201306290855,5.29428387174468,198
2017,188,11,"Takotna and Nixon Fork",20625.46399902,87.1416136356067,5.41947346797896,213
2017,191,12,"Takotna and Nixon Fork",21324.0271301856,90.093009952267,5.3508257723117,224
2017,194,13,"Takotna and Nixon Fork",22017.6209650518,93.0234112261882,5.25136945754535,240
2017,197,14,"Takotna and Nixon Fork",22864.5044888825,96.6014542138041,5.2613812287919,249
2017,200,15,"Takotna and Nixon Fork",23668.9029942317,100,5.29512795507368,256
2017,158,1,"Tatlawiksuk",0,0,0,1
2017,161,2,"Tatlawiksuk",374.841232833636,2.91435540160988,4.14106027130313,4
2017,164,3,"Tatlawiksuk",572.324237493467,4.44976722651966,2.51557577370494,12
2017,167,4,"Tatlawiksuk",1981.60398830655,15.4067850100579,4.08122284562186,26
2017,170,5,"Tatlawiksuk",2576.23888800995,20.0300155411171,2.94107988701013,48
2017,173,6,"Tatlawiksuk",4546.3274033483,35.3472688297225,3.30080702665301,73
2017,176,7,"Tatlawiksuk",7530.73978075443,58.5507949385622,3.61601769031548,113
2017,179,8,"Tatlawiksuk",9442.21028939203,73.4122987271232,3.39659510673786,151
2017,182,9,"Tatlawiksuk",10198.6411898846,79.2934779776821,3.12717762808483,181
2017,185,10,"Tatlawiksuk",11367.4055080164,88.3805108475906,3.19350471076574,198
2017,188,11,"Tatlawiksuk",11909.6128313149,92.5961218931041,3.129327454465,213
2017,191,12,"Tatlawiksuk",12300.0484448307,95.6317221407849,3.08644402942615,224
2017,194,13,"Tatlawiksuk",12345.5963026237,95.9858524598727,2.94451827750548,240
2017,197,14,"Tatlawiksuk",12759.9690978591,99.2075620486106,2.93621328745978,249
2017,200,15,"Tatlawiksuk",12861.8916082292,100,2.87741944890559,256
2017,158,1,"Swift",0,0,0,1
2017,161,2,"Swift",768.919114709504,2.47516377703035,8.49463751279013,4
2017,164,3,"Swift",1497.31362331342,4.81987815412756,6.58124473802071,12
2017,167,4,"Swift",4599.82266582791,14.8069078078801,9.47358879996458,26
2017,170,5,"Swift",6236.38558882664,20.0750318385433,7.11956810694141,48
2017,173,6,"Swift",10815.6682366668,34.815820977333,7.85258749452247,73
2017,176,7,"Swift",17874.5467336787,57.5384715500958,8.58277925902224,113
2017,179,8,"Swift",22437.9551750003,72.2281613466891,8.0714839446259,151
2017,182,9,"Swift",24704.7938617321,79.5251538371014,7.57515410459602,181
2017,185,10,"Swift",27235.9022642204,87.6728350609491,7.6515245384187,198
2017,188,11,"Swift",28679.8680581034,92.3209856400126,7.53581999480903,213
2017,191,12,"Swift",29495.5484210707,94.9466746746965,7.40130087512972,224
2017,194,13,"Swift",29762.8716165115,95.8071926114434,7.09867043418895,240
2017,197,14,"Swift",30719.7233201567,98.8873146054807,7.06895597536097,249
2017,200,15,"Swift",31065.3833029197,100,6.94984383528286,256
2017,158,1,"Stony",358.265415319127,0.695939573545433,9.89996771418359,1
2017,161,2,"Stony",881.987223733211,1.71328234909489,9.74375797557884,4
2017,164,3,"Stony",2755.24919410178,5.35214080724643,12.1103347877724,12
2017,167,4,"Stony",5971.68157308754,11.6001415420513,12.2990079787292,26
2017,170,5,"Stony",10462.1103097525,20.3229122210103,11.9437301994393,48
2017,173,6,"Stony",15963.5106048581,31.0095205609979,11.5901173188183,73
2017,176,7,"Stony",24195.0438942769,46.999480858897,11.6176775837154,113
2017,179,8,"Stony",32318.3115870308,62.7791325142343,11.6256909802002,151
2017,182,9,"Stony",37930.6442188228,73.6812297062988,11.6305554643491,181
