"Trend","mgmt_river","Loading"
"Trend 1","Tuluksak",0.390827983417152
"Trend 1","Oskakawlik",0.384174117996225
"Trend 1","Lower Kusko",0.372070348285439
"Trend 1","Middle Kusko Main",0.350240690289872
"Trend 1","Holokuk",0.346621282040307
"Trend 2","Tatlawiksuk",0.418779793200305
"Trend 2","E. Fork Kuskokwim",0.40752665835282
"Trend 2","Kwethluk",0.390749965711685
"Trend 2","S. Fork Kusko",0.390625796488509
"Trend 2","Big River",0.38442989635012
"Trend 3","E. Fork Kuskokwim",0.086773279076577
"Trend 3","N. Fork Kusko",0.0499094636506185
"Trend 3","Big River",-0.0494383892775002
"Trend 3","Takotna and Nixon Fork",-0.0449239866412735
"Trend 3","Lower Kusko",-0.0422880231834156
"Trend 4","Hoholitna",0.348722178542892
"Trend 4","Takotna and Nixon Fork",0.321279045263401
"Trend 4","George",0.320367531343973
"Trend 4","Holitna and Hoholitna",0.29572130222412
"Trend 4","Stony",0.275446544054108
