"mgmt_river","Trend 1","Trend 2","Trend 3","Trend 4"
"Aniak",0.343702393077348,0.064186865380135,0.02755831825807,0.0623506204075418
"Big River",0.0609105805303803,0.38442989635012,-0.0494383892775002,0.0800102505020812
"E. Fork Kuskokwim",0.071680317563301,0.40752665835282,0.086773279076577,-0.0175675822359695
"George",0.230249358804308,0.0264388411373777,0.0267438224094262,0.320367531343973
"Hoholitna",0.203246866816285,0.167518958409452,-0.0284153114571203,0.348722178542892
"Holitna and Hoholitna",0.304741290636556,0.0615326387023397,0.0218443912414904,0.29572130222412
"Holokuk",0.346621282040307,0.0658908408154566,-0.00920379095551851,0.0731473142760873
"Kisaralik",0.34368485822419,0.0932601981078687,-0.0171187686441057,0.0743386633138083
"Kwethluk",0.0889327335914156,0.390749965711685,-0.0381280992801116,0.0962721007639778
"Lower Kusko",0.372070348285439,0.1717717893155,-0.0422880231834156,0.228566246999904
"Middle Kusko Main",0.350240690289872,0.161810546480073,-0.0368344234691087,0.122589089210559
"N. Fork Kusko",0.0419226459586307,0.36231911292613,0.0499094636506185,0.00123324030987187
"Oskakawlik",0.384174117996225,0.08088059321025,0.0157938229930574,0.172795242974006
"S. Fork Kusko",0.118967846169047,0.390625796488509,-0.0376936309211577,0.133418855285518
"Stony",0.325749041311314,0.31123705351389,-0.0412825517383636,0.275446544054108
"Swift",0.334206452659091,0.0368664963638806,-0.0184497423988077,0.0821655313247527
"Takotna and Nixon Fork",0.237422432128238,0.193108931435048,-0.0449239866412735,0.321279045263401
"Tatlawiksuk",0.0836792331873251,0.418779793200305,-0.032162249962216,0.0694618264482885
"Tuluksak",0.390827983417152,0.0841014396591669,0.0201370209348754,0.172343506996114
"Upper Kusko Main",0.14184501085185,0.374004872036622,-0.0258524893319825,0.17287694979056
