year,doy,cpue,total_annual_cpue,cumulative_cpue,cumulative_proportion,remaining_cpue,remaining_proportion
2017,152,0.003648834,1,0.003648834,0.003648834,0.996351166,0.996351166
2017,153,0,1,0.003648834,0.003648834,0.996351166,0.996351166
2017,154,0.003731139,1,0.007379973,0.007379973,0.992620027,0.992620027
2017,155,0.007407407,1,0.01478738,0.01478738,0.98521262,0.98521262
2017,156,0,1,0.01478738,0.01478738,0.98521262,0.98521262
2017,157,0,1,0.01478738,0.01478738,0.98521262,0.98521262
2017,158,0.007407407,1,0.022194787,0.022194787,0.977805213,0.977805213
2017,159,0,1,0.022194787,0.022194787,0.977805213,0.977805213
2017,160,0.003731139,1,0.025925926,0.025925926,0.974074074,0.974074074
2017,161,0.007325103,1,0.033251029,0.033251029,0.966748971,0.966748971
2017,162,0.015555556,1,0.048806584,0.048806584,0.951193416,0.951193416
2017,163,0.007654321,1,0.056460905,0.056460905,0.943539095,0.943539095
2017,164,0.007325103,1,0.063786008,0.063786008,0.936213992,0.936213992
2017,165,0.011056241,1,0.07484225,0.07484225,0.92515775,0.92515775
2017,166,0.02266118,1,0.097503429,0.097503429,0.902496571,0.902496571
2017,167,0.021262003,1,0.118765432,0.118765432,0.881234568,0.881234568
2017,168,0,1,0.118765432,0.118765432,0.881234568,0.881234568
2017,169,0.010891632,1,0.129657064,0.129657064,0.870342936,0.870342936
2017,170,0.065624143,1,0.195281207,0.195281207,0.804718793,0.804718793
2017,171,0.025679012,1,0.220960219,0.220960219,0.779039781,0.779039781
2017,172,0.036735254,1,0.257695473,0.257695473,0.742304527,0.742304527
2017,173,0.040987654,1,0.298683128,0.298683128,0.701316872,0.701316872
2017,174,0.033443073,1,0.3321262,0.3321262,0.6678738,0.6678738
2017,175,0.073635117,1,0.405761317,0.405761317,0.594238683,0.594238683
2017,176,0.035253772,1,0.441015089,0.441015089,0.558984911,0.558984911
2017,177,0.021042524,1,0.462057613,0.462057613,0.537942387,0.537942387
2017,178,0.076268861,1,0.538326475,0.538326475,0.461673525,0.461673525
2017,179,0.05297668,1,0.591303155,0.591303155,0.408696845,0.408696845
2017,180,0.034266118,1,0.625569273,0.625569273,0.374430727,0.374430727
2017,181,0.037091907,1,0.66266118,0.66266118,0.33733882,0.33733882
2017,182,0.032839506,1,0.695500686,0.695500686,0.304499314,0.304499314
2017,183,0.008587106,1,0.704087791,0.704087791,0.295912209,0.295912209
2017,184,0.024334705,1,0.728422497,0.728422497,0.271577503,0.271577503
2017,185,0.034485597,1,0.762908093,0.762908093,0.237091907,0.237091907
2017,186,0.015528121,1,0.778436214,0.778436214,0.221563786,0.221563786
2017,187,0.014320988,1,0.792757202,0.792757202,0.207242798,0.207242798
2017,188,0.020521262,1,0.813278464,0.813278464,0.186721536,0.186721536
2017,189,0.019643347,1,0.832921811,0.832921811,0.167078189,0.167078189
2017,190,0.020631001,1,0.853552812,0.853552812,0.146447188,0.146447188
2017,191,0.003045267,1,0.85659808,0.85659808,0.14340192,0.14340192
2017,192,0.024855967,1,0.881454047,0.881454047,0.118545953,0.118545953
2017,193,0.018957476,1,0.900411523,0.900411523,0.099588477,0.099588477
2017,194,0.007078189,1,0.907489712,0.907489712,0.092510288,0.092510288
2017,195,0.021069959,1,0.928559671,0.928559671,0.071440329,0.071440329
2017,196,0.01399177,1,0.94255144,0.94255144,0.05744856,0.05744856
2017,197,0.004883402,1,0.947434842,0.947434842,0.052565158,0.052565158
2017,198,0,1,0.947434842,0.947434842,0.052565158,0.052565158
2017,199,0.012839506,1,0.960274348,0.960274348,0.039725652,0.039725652
2017,200,0.017091907,1,0.977366255,0.977366255,0.022633745,0.022633745
2017,201,0,1,0.977366255,0.977366255,0.022633745,0.022633745
2017,202,0,1,0.977366255,0.977366255,0.022633745,0.022633745
2017,203,0.004581619,1,0.981947874,0.981947874,0.018052126,0.018052126
2017,204,0.004773663,1,0.986721536,0.986721536,0.013278464,0.013278464
2017,205,0.00861454,1,0.995336077,0.995336077,0.004663923,0.004663923
2017,206,0,1,0.995336077,0.995336077,0.004663923,0.004663923
2017,207,0.004663923,1,1,1,0,0
2018,152,0.002251905,1,0.002251905,0.002251905,0.997748095,0.997748095
2018,153,0.002714625,1,0.00496653,0.00496653,0.99503347,0.99503347
2018,154,0.002807169,1,0.007773699,0.007773699,0.992226301,0.992226301
2018,155,0.009809668,1,0.017583367,0.017583367,0.982416633,0.982416633
2018,156,0.002051393,1,0.01963476,0.01963476,0.98036524,0.98036524
2018,157,0,1,0.01963476,0.01963476,0.98036524,0.98036524
2018,158,0.012724805,1,0.032359564,0.032359564,0.967640436,0.967640436
2018,159,0,1,0.032359564,0.032359564,0.967640436,0.967640436
2018,160,0.012246661,1,0.044606225,0.044606225,0.955393775,0.955393775
2018,161,0.013341765,1,0.05794799,0.05794799,0.94205201,0.94205201
2018,162,0.018169479,1,0.076117469,0.076117469,0.923882531,0.923882531
2018,163,0.026714378,1,0.102831847,0.102831847,0.897168153,0.897168153
2018,164,0.03700219,1,0.139834038,0.139834038,0.860165962,0.860165962
2018,165,0.033578061,1,0.173412099,0.173412099,0.826587901,0.826587901
2018,166,0.050837524,1,0.224249622,0.224249622,0.775750378,0.775750378
2018,167,0.024138569,1,0.248388191,0.248388191,0.751611809,0.751611809
2018,168,0.020452232,1,0.268840423,0.268840423,0.731159577,0.731159577
2018,169,0.022256841,1,0.291097264,0.291097264,0.708902736,0.708902736
2018,170,0.01528519,1,0.306382454,0.306382454,0.693617546,0.693617546
2018,171,0.021655304,1,0.328037758,0.328037758,0.671962242,0.671962242
2018,172,0.013094981,1,0.341132739,0.341132739,0.658867261,0.658867261
2018,173,0.020606472,1,0.361739211,0.361739211,0.638260789,0.638260789
2018,174,0.062251288,1,0.423990499,0.423990499,0.576009501,0.576009501
2018,175,0.047829842,1,0.471820341,0.471820341,0.528179659,0.528179659
2018,176,0.074266589,1,0.54608693,0.54608693,0.45391307,0.45391307
2018,177,0.050189715,1,0.596276645,0.596276645,0.403723355,0.403723355
2018,178,0.029398155,1,0.6256748,0.6256748,0.3743252,0.3743252
2018,179,0.043341457,1,0.669016257,0.669016257,0.330983743,0.330983743
2018,180,0.042678224,1,0.711694481,0.711694481,0.288305519,0.288305519
2018,181,0.029860875,1,0.741555357,0.741555357,0.258444643,0.258444643
2018,182,0.040765648,1,0.782321004,0.782321004,0.217678996,0.217678996
2018,183,0.023274825,1,0.805595829,0.805595829,0.194404171,0.194404171
2018,184,0.036107598,1,0.841703427,0.841703427,0.158296573,0.158296573
2018,185,0.019603912,1,0.861307339,0.861307339,0.138692661,0.138692661
2018,186,0.036107598,1,0.897414937,0.897414937,0.102585063,0.102585063
2018,187,0.012817349,1,0.910232286,0.910232286,0.089767714,0.089767714
2018,188,0.010426628,1,0.920658914,0.920658914,0.079341086,0.079341086
2018,189,0.008328963,1,0.928987877,0.928987877,0.071012123,0.071012123
2018,190,0.005753154,1,0.934741031,0.934741031,0.065258969,0.065258969
2018,191,0.019310855,1,0.954051886,0.954051886,0.045948114,0.045948114
2018,192,0.009084739,1,0.963136626,0.963136626,0.036863374,0.036863374
2018,193,0.003794305,1,0.966930931,0.966930931,0.033069069,0.033069069
2018,194,0.001974273,1,0.968905204,0.968905204,0.031094796,0.031094796
2018,195,0.007249283,1,0.976154487,0.976154487,0.023845513,0.023845513
2018,196,0.00573773,1,0.981892217,0.981892217,0.018107783,0.018107783
2018,197,0.004750594,1,0.986642811,0.986642811,0.013357189,0.013357189
2018,198,0.005136194,1,0.991779005,0.991779005,0.008220995,0.008220995
2018,199,0.008220995,1,1,1,0,0
2018,203,0,1,1,1,0,0
2018,204,0,1,1,1,0,0
2019,149,0,1,0,0,1,1
2019,150,0,1,0,0,1,1
2019,152,0.004743252,1,0.004743252,0.004743252,0.995256748,0.995256748
2019,153,0,1,0.004743252,0.004743252,0.995256748,0.995256748
2019,154,0.013083913,1,0.017827164,0.017827164,0.982172836,0.982172836
2019,155,0.00381059,1,0.021637754,0.021637754,0.978362246,0.978362246
2019,156,0.01221787,1,0.033855624,0.033855624,0.966144376,0.966144376
2019,157,0.016867855,1,0.050723479,0.050723479,0.949276521,0.949276521
2019,158,0.008660431,1,0.05938391,0.05938391,0.94061609,0.94061609
2019,159,0.036720228,1,0.096104138,0.096104138,0.903895862,0.903895862
2019,160,0.06298132,1,0.159085458,0.159085458,0.840914542,0.840914542
2019,161,0.020438618,1,0.179524076,0.179524076,0.820475924,0.820475924
2019,162,0.023916114,1,0.20344019,0.20344019,0.79655981,0.79655981
2019,163,0.028139739,1,0.231579929,0.231579929,0.768420071,0.768420071
2019,164,0.019465984,1,0.251045914,0.251045914,0.748954086,0.748954086
2019,165,0.030018387,1,0.2810643,0.2810643,0.7189357,0.7189357
2019,166,0.013736776,1,0.294801077,0.294801077,0.705198923,0.705198923
2019,167,0.030098329,1,0.324899406,0.324899406,0.675100594,0.675100594
2019,168,0.070829003,1,0.395728409,0.395728409,0.604271591,0.604271591
2019,169,0.043408746,1,0.439137155,0.439137155,0.560862845,0.560862845
2019,170,0.013123884,1,0.452261039,0.452261039,0.547738961,0.547738961
2019,171,0.060436486,1,0.512697524,0.512697524,0.487302476,0.487302476
2019,172,0.070349348,1,0.583046873,0.583046873,0.416953127,0.416953127
2019,173,0.060902817,1,0.64394969,0.64394969,0.35605031,0.35605031
2019,174,0.052522184,1,0.696471874,0.696471874,0.303528126,0.303528126
2019,175,0.050363738,1,0.746835612,0.746835612,0.253164388,0.253164388
2019,176,0.024982013,1,0.771817625,0.771817625,0.228182375,0.228182375
2019,177,0.035747595,1,0.80756522,0.80756522,0.19243478,0.19243478
2019,178,0.044674501,1,0.852239721,0.852239721,0.147760279,0.147760279
2019,179,0.045407307,1,0.897647027,0.897647027,0.102352973,0.102352973
2019,180,0.04157007,1,0.939217097,0.939217097,0.060782903,0.060782903
2019,181,0.033642444,1,0.972859541,0.972859541,0.027140459,0.027140459
2019,182,0.014149812,1,0.987009353,0.987009353,0.012990647,0.012990647
2019,183,0.005422762,1,0.992432116,0.992432116,0.007567884,0.007567884
2019,184,0.003557439,1,0.995989554,0.995989554,0.004010446,0.004010446
2019,185,0.004010446,1,1,1,0,0
2019,187,0,1,1,1,0,0
2020,148,0,1,0,0,1,1
2020,151,0,1,0,0,1,1
2020,152,0,1,0,0,1,1
2020,153,0.003579203,1,0.003579203,0.003579203,0.996420797,0.996420797
2020,154,0,1,0.003579203,0.003579203,0.996420797,0.996420797
2020,155,0,1,0.003579203,0.003579203,0.996420797,0.996420797
2020,156,0.002846618,1,0.00642582,0.00642582,0.99357418,0.99357418
2020,157,0,1,0.00642582,0.00642582,0.99357418,0.99357418
2020,158,0.022731078,1,0.029156899,0.029156899,0.970843101,0.970843101
2020,159,0.018168118,1,0.047325017,0.047325017,0.952674983,0.952674983
2020,160,0.014798225,1,0.062123242,0.062123242,0.937876758,0.937876758
2020,161,0.02111939,1,0.083242632,0.083242632,0.916757368,0.916757368
2020,162,0.035268754,1,0.118511386,0.118511386,0.881488614,0.881488614
2020,163,0.01490288,1,0.133414267,0.133414267,0.866585733,0.866585733
2020,164,0.017079705,1,0.150493972,0.150493972,0.849506028,0.849506028
2020,165,0.003055928,1,0.1535499,0.1535499,0.8464501,0.8464501
2020,166,0.020784494,1,0.174334394,0.174334394,0.825665606,0.825665606
2020,167,0.019947254,1,0.194281648,0.194281648,0.805718352,0.805718352
2020,168,0.024279973,1,0.218561621,0.218561621,0.781438379,0.781438379
2020,169,0.023840422,1,0.242402043,0.242402043,0.757597957,0.757597957
