"Year","Management_Unit","Total_Contribution_Percent","Percent_Of_Unit_In_Window"
2017,"Stony",100,3.96833513632979
2017,"Holitna and Hoholitna",87.6365987391008,4.34223401631142
2017,"Hoholitna",79.2197440885219,3.53114883293323
2017,"Aniak",77.2549522261012,5.07279090044531
2017,"Middle Kusko Main",61.0003894066404,5.73093812789163
2017,"Kwethluk",60.3452878324903,3.32495196667378
2017,"Upper Kusko Main",59.6378482680301,3.36801675606246
2017,"Big River",57.948724509979,2.47910170908929
2017,"Kisaralik",55.9270323982712,6.96938193856678
2017,"Tuluksak",46.9227854611283,7.00889345782369
2017,"Takotna and Nixon Fork",45.8926716523966,2.71205897402698
2017,"Swift",42.5914801419083,3.06698764338901
2017,"George",25.5137737123629,3.33284602757462
2017,"Tatlawiksuk",24.9845477070272,3.30392169084669
2017,"S. Fork Kusko",13.0360912848738,3.42779310636967
2017,"Oskakawlik",12.245699371365,6.23921321447031
2017,"Holokuk",9.86810363716116,7.57157769806026
2017,"N. Fork Kusko",3.27709029834197,5.84537070239508
2017,"E. Fork Kuskokwim",2.83557991563539,9.91991892575885
2017,"Lower Kusko",2.15863252990314,4.21145861746806
2017,"Johnson",0,0
2018,"Stony",100,8.7649881805765
2018,"Holitna and Hoholitna",83.0073803401797,4.76149132006655
2018,"Aniak",78.9310354327602,6.6864201171919
2018,"Hoholitna",75.2870457921661,6.11533013838276
2018,"Middle Kusko Main",69.8580920966688,7.52796243971449
2018,"Kisaralik",62.9204142144881,8.52280528094239
2018,"Big River",60.5911270774289,19.7913243909235
2018,"Kwethluk",57.9364785739673,18.1892983040103
2018,"Upper Kusko Main",56.5371522430684,14.1012775193895
2018,"Swift",56.0767187757933,3.80496634157495
2018,"Tuluksak",46.659376762376,6.72425880226654
2018,"Takotna and Nixon Fork",46.2214881318235,4.81708115857721
2018,"George",25.6086598596336,1.77495309118282
2018,"Tatlawiksuk",23.483450580376,21.1263563619342
2018,"S. Fork Kusko",12.2794956365997,15.0987216726485
2018,"Oskakawlik",12.1284010356146,6.59973725080721
2018,"Holokuk",11.6501927346666,5.83229191233678
2018,"N. Fork Kusko",4.16227740273796,27.5548728556358
2018,"E. Fork Kuskokwim",2.58953985603178,25.9261028428906
2018,"Lower Kusko",2.19114129355191,4.5985078016859
2018,"Johnson",0,0
2019,"Stony",100,23.2155401637975
2019,"Holitna and Hoholitna",93.5938328145751,13.1273213553785
2019,"Hoholitna",91.1385553021427,19.8338711925443
2019,"Aniak",65.1232260675336,12.0711068515649
