mgmt_river,quartile_clean,mean_quartile_production,median_quartile_production,sd_quartile_production,min_quartile_production,max_quartile_production,cv_quartile_production,n_years
Lower Kusko,Q1,0.19076202869079498,0.213120518142866,0.05499652589629523,0.130855086169705,0.25314177818607997,0.28829912469340935,5
Lower Kusko,Q2,0.2181894217269158,0.22470366608178302,0.024345184162844376,0.184502024260582,0.24577346312287,0.11157820562591078,5
Lower Kusko,Q3,0.2557378686318788,0.260336050328465,0.022088562872759624,0.227814606210485,0.283393315403777,0.08637188927446231,5
Lower Kusko,Q4,0.2531725547654942,0.263501193518704,0.03320824656302374,0.20998960368386,0.29307538391652604,0.13116843013960774,5
Hoholitna,Q1,7.393083972577917,7.9266558970786205,2.062587885691826,4.96204678021142,9.31003055369524,0.2789888351521883,5
Hoholitna,Q2,9.36884703574675,9.365011210777311,0.2011596699719825,9.06772392832444,9.61352500115103,0.02147112330945949,5
Hoholitna,Q3,10.76273636256134,11.1597644803976,1.3022464022623848,9.2423779532409,12.282225520703701,0.12099584700339842,5
Hoholitna,Q4,8.748215112561208,9.23436319741149,3.085748426279249,4.45611544307644,12.174801996227199,0.3527289151644828,5
Kisaralik,Q1,4.779979530438842,5.1530607710041805,1.6766762643569957,2.2094327852508,6.6250187395951095,0.3507705950789004,5
Kisaralik,Q2,5.73192723990127,5.93855673435083,0.6345329151326837,4.94715767093542,6.5475621915959,0.1107014950775288,5
Kisaralik,Q3,6.395523163712876,6.34494209731475,0.9283611073797076,5.08627648735609,7.56022200087566,0.14515796184541596,5
Kisaralik,Q4,8.035590809664793,8.261742518974401,2.882012781609639,4.29455816339696,11.8822264607945,0.3586559905642909,5
Tuluksak,Q1,3.621345482801248,4.030509807090319,1.3587306559841046,1.42848527129703,4.92778124797401,0.3752005055681887,5
Tuluksak,Q2,4.341545026646616,4.44806990312613,0.6200228386539514,3.53080364419011,4.99132624666978,0.14281156474216125,5
Tuluksak,Q3,5.929213116202316,6.12363219349317,0.47094131577008896,5.16376566613222,6.338984913426909,0.07942728765865793,5
Tuluksak,Q4,6.6425170561344355,7.02338642322784,1.0291331640986028,4.96171252512209,7.68047875046112,0.15493120384962916,5
Aniak,Q1,5.5569319210528905,6.02834654501768,2.2233258785662637,2.36475678675858,8.005051461577011,0.4000995351667009,5
Aniak,Q2,6.511543583663244,5.6924744969198295,1.2259072608316302,5.51783578782006,7.88004436607347,0.188266767331067,5
Aniak,Q3,8.295791032442919,8.1184339105642,1.5141475916441798,6.0299370763826,9.98096629776454,0.182519977386448,5
Aniak,Q4,11.675968461089306,10.662335511351701,3.6915764063947143,7.208713983002039,16.726959221842,0.3161687545403244,5
Holokuk,Q1,0.8154805371279265,0.8939045081311621,0.3292801728388323,0.284733552091067,1.1775684288387,0.40378667282304165,5
Holokuk,Q2,0.9619690535112786,0.942490400173341,0.24801844602890136,0.764967733395457,1.37590976894493,0.2578237263700016,5
Holokuk,Q3,1.286257582520114,1.27884066437182,0.23403037137442853,1.05093317782445,1.5501922476046899,0.18194673800554165,5
Holokuk,Q4,1.5107804757953036,1.47140715597213,0.5440656836614977,0.765709218976138,2.28294966658564,0.36012226288209814,5
Middle Kusko Main,Q1,6.2267816945137495,6.55456858793155,0.9188559791105493,4.5960401188836295,6.8251044414802395,0.14756515069737047,5
Middle Kusko Main,Q2,6.870346653139876,6.45197554989736,0.8020400697159934,6.38014826021408,8.25795525939315,0.11673938888504937,5
Middle Kusko Main,Q3,7.438271373499644,7.48078118600316,0.6480673790765327,6.7577278696417205,8.40934210842292,0.08712607359088896,5
Middle Kusko Main,Q4,8.218641888842411,8.1838341897429,2.0447193486570407,5.62667180120938,11.2801684496689,0.2487904177249701,5
Oskakawlik,Q1,0.9099022110849778,1.0306313128581,0.315875158796974,0.384543458287318,1.16787296382591,0.3471528642845266,5
Oskakawlik,Q2,1.1665945129627637,1.20812417295639,0.1743821909669676,0.962986924594789,1.33078842543536,0.1494796941261918,5
Oskakawlik,Q3,1.516059785839406,1.57049339905214,0.14127541175305097,1.2877924928700502,1.65240880589108,0.09318591065643902,5
Oskakawlik,Q4,1.7195477905755359,1.79556820102744,0.2633007871921057,1.3129932244596698,2.00944096532752,0.15312211072887857,5
George,Q1,1.4246957999894398,1.45633295543855,0.5496474837369018,0.5422944650568,1.9946235777118098,0.3857998905738164,5
George,Q2,2.7518901028656,2.76328476919518,0.16009424369659456,2.58985598261888,2.97391930834974,0.058176103591449785,5
George,Q3,3.778033734377514,3.54185828744396,0.5728103700595388,3.12536471558664,4.540846240119159,0.1516160019555563,5
George,Q4,3.440183405485846,3.3495101055765897,0.8506748556145071,2.33975124688801,4.58736360930778,0.24727601855703069,5
Holitna and Hoholitna,Q1,5.721196926694498,5.16472713000404,1.5921391572277752,4.0930420923572495,8.20448657345155,0.2782877739794313,5
Holitna and Hoholitna,Q2,8.944151824788637,8.634711517016571,0.6125188421967871,8.42569072342312,9.754066231373951,0.06848260787559493,5
Holitna and Hoholitna,Q3,11.69911158689164,10.9022181046948,1.4577142953911646,10.2527887578691,13.5129301790642,0.12460042667038683,5
Holitna and Hoholitna,Q4,11.477715626183786,11.3256480647037,1.5005941088361916,9.20715015541063,12.8676545020698,0.13073978809972683,5
Swift,Q1,2.742599702896872,2.89113099010847,0.7625696307927526,1.46213829601045,3.43811931749159,0.27804627484911054,5
Swift,Q2,3.926169400834236,4.0971190737566605,0.4977962790203452,3.3348928690133497,4.52476645463045,0.12678930229413254,5
Swift,Q3,5.422267402782046,5.24705008345975,1.311451748787158,4.39713273790532,7.64459680960909,0.24186408588301658,5
Swift,Q4,6.286649732055758,5.90506501287318,2.3313907891303387,3.91949217115526,9.55939757873638,0.3708478901317706,5
Stony,Q1,11.393806041744506,11.9319339744964,1.1629569314345214,9.66607564797843,12.334570307512301,0.10206922315279829,5
Stony,Q2,11.59190248269844,11.6366314150199,0.41983528069775916,10.9915323705482,12.147236993130301,0.036217979000805665,5
Stony,Q3,11.67504413370038,11.5136594692949,0.7086701003261369,11.0049898514654,12.8286575892954,0.06069956500468709,5
Stony,Q4,11.15260496812452,11.0323570181585,0.7117538997302519,10.2924318446319,12.0801117951715,0.06381952035103276,5
Kwethluk,Q1,12.237359271127547,12.543205410164502,2.1467717456308244,9.47358879996453,15.3403834236022,0.17542769629194857,5
Kwethluk,Q2,8.750321305027542,8.95113256863935,0.6964842697129657,8.00432730826199,9.51847158789732,0.07959527946851473,5
Kwethluk,Q3,5.185413366644554,4.5304461416382305,1.2031973077234317,4.21700081956561,6.94887159073522,0.23203498403098624,5
Kwethluk,Q4,4.176558772553062,4.0859897103996605,1.4616503566373642,2.21638219627383,6.05619914417385,0.3499652312432039,5
Tatlawiksuk,Q1,5.526217713612842,5.91899471824593,1.0293017519775904,4.08122284562185,6.623954838893519,0.18625790826917496,5
Tatlawiksuk,Q2,3.637882579108462,3.6497602140717804,0.2850536632750663,3.34416008400021,3.96076814286818,0.07835702694530745,5
Tatlawiksuk,Q3,1.90703731410675,1.62654308708892,0.5353104818200659,1.41401484731419,2.5899014907531397,0.28070267836935514,5
Tatlawiksuk,Q4,1.5857047222456762,1.49033180694675,0.628295719419194,0.704410923539771,2.30403031294237,0.39622491539875165,5
Upper Kusko Main,Q1,9.620768457396444,9.511605500311859,1.3361523901634504,7.932225716867889,11.5444526301196,0.13888208577935549,5
Upper Kusko Main,Q2,7.90545291998033,7.91582703784787,0.39881595478737814,7.358536194507311,8.32596776628086,0.050448210725460935,5
Upper Kusko Main,Q3,6.1120543464022346,6.349071649292171,0.6324156202568342,5.1593906799174,6.80716984916621,0.10347022202593728,5
Upper Kusko Main,Q4,5.131249266525438,5.4847784767533,1.6772550990714217,2.7878483377426,7.292894742780839,0.326870711585437,5
Big River,Q1,13.57729639462646,12.955341365222,2.75288650937935,10.1119394614977,17.679846757776797,0.20275660406654086,5
Big River,Q2,9.2416959345043,9.6244579629067,1.21253594164494,7.958247571231699,10.647514085389801,0.1312027522045906,5
Big River,Q3,4.889513923247422,4.15109868779059,1.5215399498907176,3.69662792497744,7.312622872586299,0.31118429638915335,5
