cluster,0.5,0.6,0.7,0.8,0.9
Group 1,21.56,22.7,22.57,22.62,22.33
Group 2,14.63,15.08,15.5,15.99,17.45
Group 3,8.35,8.32,8.35,8.44,6.42
Group 4,5.99,5.83,5.63,5.25,4.58
Group 5,6.11,6.11,6.16,6.34,6.45
Group 6,5.48,5.47,5.57,5.67,5.61
