threshold,year,cluster,closure_protection_pct,cluster_total_production,cluster_closure_production,n_units
0.5,2017,Group 1,3.298515391280517,6960.453759069112,229.59163854585796,2
0.5,2018,Group 1,13.767262768448813,6308.880314484664,868.5601306420435,2
0.5,2019,Group 1,25.552047624073282,5049.501211047791,1290.2509542250887,2
0.5,2020,Group 1,32.27102534402784,6466.750978530024,2086.8868472165927,2
0.5,2021,Group 1,46.81283240987205,6964.909989419014,3260.4716408451604,2
0.5,2022,Group 1,7.658786942211261,4659.463987565585,356.85841945670916,2
0.5,2017,Group 2,2.2330912826798044,151860.4211641979,3391.1818268585403,5
0.5,2018,Group 2,10.35935558306322,136290.79455680543,14118.848035121646,5
0.5,2019,Group 2,28.442855377958637,152777.27154938594,43454.21839718299,5
0.5,2020,Group 2,16.376277317829857,184870.27879296173,30274.869533380614,5
0.5,2021,Group 2,23.45046238636558,157412.1674150736,36913.88111123465,5
0.5,2022,Group 2,6.919478622883747,162261.77425007103,11227.66878234555,5
0.5,2017,Group 3,1.647712247404854,70638.66748866542,1163.921975614331,1
0.5,2018,Group 3,4.525301864852008,65689.45462077904,2972.6461149652273,1
0.5,2019,Group 3,18.65448117618943,72537.98817518138,13531.585349725729,1
0.5,2020,Group 3,9.354587129775412,75252.19697473662,7039.532333071954,1
0.5,2021,Group 3,11.346657135011524,70235.41040459172,7969.371205977233,1
0.5,2022,Group 3,4.559627818716595,70860.80645900709,3230.9890438718126,1
0.5,2017,Group 4,1.446048370101448,165246.2079023874,2389.540096026923,4
0.5,2018,Group 4,2.8846439800053294,143954.3409393318,4152.570229862782,4
0.5,2019,Group 4,13.676925938758314,180689.28873986055,24712.74020021989,4
0.5,2020,Group 4,4.881940337149423,178394.51446923907,8709.113761135646,4
0.5,2021,Group 4,7.978376702877163,171123.3148445594,13652.862684749467,4
0.5,2022,Group 4,5.043795973694452,168235.10877746678,8485.435642858352,4
0.5,2017,Group 5,2.251757818907577,132435.61094031157,2982.129224366484,5
0.5,2018,Group 5,3.1388503041535545,129356.95390919998,4060.321141222697,5
0.5,2019,Group 5,13.912178804486722,128456.14973489392,17871.049236477636,5
0.5,2020,Group 5,10.318028762199273,122464.20236644745,12635.891623567972,5
0.5,2021,Group 5,4.4990693321412545,123085.10918587421,5537.684399814244,5
0.5,2022,Group 5,2.512531140919182,135362.4969679554,3401.0248894456636,5
0.5,2017,Group 6,2.026731456274423,83892.33455607836,1700.2723338510177,2
0.5,2018,Group 6,2.2376911252195457,86175.37970192096,1928.3388237141312,2
0.5,2019,Group 6,12.194002004747023,72507.90765404199,8841.615712934,2
0.5,2020,Group 6,11.60413641681207,66649.19524678738,7734.063537144633,2
