threshold,cluster,doy,cum_pct
0.5,Group 1,149,
0.5,Group 1,152,0.7803293601174746
0.5,Group 1,155,1.6209218502255147
0.5,Group 1,158,5.454093927484252
0.5,Group 1,161,18.318322707125272
0.5,Group 1,164,31.254198562973546
0.5,Group 1,167,44.755286494407535
0.5,Group 1,170,53.246795321527124
0.5,Group 1,173,64.27852606373547
0.5,Group 1,176,72.27998397995677
0.5,Group 1,179,81.53686019806175
0.5,Group 1,182,88.6107278673742
0.5,Group 1,185,91.92901434570528
0.5,Group 1,188,94.16463132115632
0.5,Group 1,191,96.18501871714602
0.5,Group 1,194,97.94214213849783
0.5,Group 1,197,99.03114059685652
0.5,Group 1,200,99.85776304418631
0.5,Group 1,203,100.0
0.5,Group 2,149,
0.5,Group 2,152,0.6597059156241084
0.5,Group 2,155,1.6277743221446026
0.5,Group 2,158,5.522563083294483
0.5,Group 2,161,13.234893643072427
0.5,Group 2,164,21.81721350592208
0.5,Group 2,167,31.770984740355203
0.5,Group 2,170,40.59441028404945
0.5,Group 2,173,52.58191143073099
0.5,Group 2,176,65.66144215110664
0.5,Group 2,179,76.54488148656351
0.5,Group 2,182,84.59571495769721
0.5,Group 2,185,89.22604749117244
0.5,Group 2,188,92.14694449415022
0.5,Group 2,191,95.40841960444186
0.5,Group 2,194,97.68254664199661
0.5,Group 2,197,99.02664776294512
0.5,Group 2,200,99.73659235507387
0.5,Group 2,203,100.0
0.5,Group 3,149,
0.5,Group 3,152,0.39538883440028055
0.5,Group 3,155,1.0551316995187747
0.5,Group 3,158,3.115193719003962
0.5,Group 3,161,7.5583890324597975
0.5,Group 3,164,13.712768493104923
0.5,Group 3,167,20.490196271273664
0.5,Group 3,170,28.884902566823143
0.5,Group 3,173,40.488313989976895
0.5,Group 3,176,53.9872926777008
0.5,Group 3,179,67.9356887830789
0.5,Group 3,182,78.54662130537172
0.5,Group 3,185,84.10159652986641
0.5,Group 3,188,88.46929225941813
0.5,Group 3,191,92.78600341474811
