mgmt_river,mean_protection_pct,median_protection_pct,min_protection_pct,max_protection_pct,sd_protection_pct,mean_total_contribution,n_years
Lower Kusko,9.4,9.4,4.2,17.7,5,0.2,6
Johnson,NA,NA,Inf,-Inf,NA,0,6
Kwethluk,7.3,5,3.1,16.4,5.2,4.7,6
Kisaralik,9.8,8.3,5.3,18.7,4.8,6.2,6
Tuluksak,8.3,6.9,3.8,14,3.9,5.2,6
Aniak,8.4,5.9,4.8,16.8,4.9,7.9,6
Holokuk,8.9,7,4.7,14.7,4.4,1.2,6
Oskakawlik,8.1,6.4,4.1,13.9,3.8,1.4,6
George,5.6,5.5,1.8,9.6,3.1,3.1,6
Middle Kusko Main,10.6,9,5.7,19.8,5,7.2,6
Hoholitna,8.9,7.5,3.5,19.8,5.8,9.6,6
Holitna,6.9,5.7,4.4,13.2,3.3,10,6
Stony,11.5,9.8,4,23.2,6.5,11.5,6
Swift,20.3,18.6,3.3,38.8,12.5,7.1,6
Tatlawiksuk,22.4,22,3.3,42.5,13.9,2.9,6
Takotna and Nixon Fork,9.4,8.9,2.7,18.8,5.9,5.4,6
Big River,21.6,19.3,2.5,44.4,15,7.2,6
Upper Kusko Main,16.1,15,3.4,29.6,9.1,7.1,6
S. Fork Kusko,18.1,16.4,3.4,33.5,10.5,1.5,6
E. Fork Kuskokwim,33,35.6,9.9,52.3,17.4,0.2,6
N. Fork Kusko,29.5,28.5,5.8,54.5,19,0.4,6
