2017,2018,2019,2020,2021,2022,Management_Unit,Metric
5.072790900445309,6.686420117191903,12.071106851564885,16.814073671398276,4.792725480908869,5.05103410097172,Aniak,Protection_Percentage
8.897295427010386,8.887434437704055,7.55936059281167,6.483671566279613,7.538582485749787,7.856395875576435,Aniak,Total_Contribution_Percent
2.4791017090892926,19.79132439092354,44.37938668426217,18.797611413641082,32.87974637972738,11.56673705920997,Big River,Protection_Percentage
6.6738365208583446,6.822407262932488,6.761848240068965,8.37788122502289,7.309063812550626,7.384129029224118,Big River,Total_Contribution_Percent
9.919918925758852,25.926102842890558,46.59501410895439,45.30309153272734,52.27813430973235,18.16279862909747,E. Fork Kuskokwim,Protection_Percentage
0.32656796087929496,0.2915756212764942,0.19145575512494553,0.22510629348179234,0.29472412801560566,0.13627819884227177,E. Fork Kuskokwim,Total_Contribution_Percent
3.3328460275746217,1.7749530911828213,9.59627687636765,3.89217367069288,7.133393279407631,8.105077807226003,George,Protection_Percentage
2.9383693295468696,2.8834701621752004,3.4629923454981735,3.1811994644035337,3.2581640581806717,2.9529165322513737,George,Total_Contribution_Percent
3.524385012418558,6.0901397161411035,19.776505923594808,5.561078321785773,9.457094016308623,9.009025191059468,Hoholitna,Protection_Percentage
9.169736417582184,8.522929961506112,10.631559916772405,10.04675203560825,10.160400649904567,9.058818919639668,Hoholitna,Total_Contribution_Percent
4.352133923319879,4.777908615234547,13.151228422414993,6.204525608236197,5.112225602470473,7.5859103487197626,Holitna,Protection_Percentage
10.046768586045403,9.300621020587151,10.811768666141507,9.607628423249885,10.399205603651664,9.86961046728814,Holitna,Total_Contribution_Percent
7.571577698060262,5.832291912336782,14.072689976648284,14.743247427851589,4.652118833661739,6.390264830232553,Holokuk,Protection_Percentage
1.1364893878546056,1.3117821595558488,1.2112815087186153,1.109813444323891,0.9619989081319089,1.176555154595849,Holokuk,Total_Contribution_Percent
NA,NA,NA,NA,NA,NA,Johnson,Protection_Percentage
0,0,0,0,0,0,Johnson,Total_Contribution_Percent
6.969381938566777,8.522805280942386,18.653900918462142,11.291303823365533,5.300815795663887,8.025610733612869,Kisaralik,Protection_Percentage
6.441002359914496,7.084679087997246,5.755963726528524,5.058628965258591,6.331779950722116,6.780339870734586,Kisaralik,Total_Contribution_Percent
3.066987643389013,3.80496634157495,16.389975682145824,10.539120550387928,5.047879583583259,4.900311965554255,Kwethluk,Protection_Percentage
4.905173980137079,6.314096335730827,4.060300500288841,3.9359365599770846,4.552670284367076,4.480562433229545,Kwethluk,Total_Contribution_Percent
4.2114586174680575,4.598507801685896,17.743354506334043,11.089501139641559,8.096125178738308,10.635027288450551,Lower Kusko,Protection_Percentage
0.24860530986664903,0.24671695339379945,0.23382036418201765,0.23679511812134071,0.21205521009555783,0.2251205115307649,Lower Kusko,Total_Contribution_Percent
5.7309381278916325,7.527962439714493,19.757376183532735,12.78470030585799,9.46994422981876,8.604052180686221,Middle Kusko Main,Protection_Percentage
7.025290548690366,7.865844025081027,7.142980780739353,7.022356322891134,6.700245669095588,7.351277346014953,Middle Kusko Main,Total_Contribution_Percent
5.8453707023950825,27.554872855635782,47.45648459181272,29.417958021875258,54.51754656104366,12.355150526660177,N. Fork Kusko,Protection_Percentage
0.37741581199874374,0.4686618809135414,0.3026478225575588,0.3888252649886241,0.4465826926645256,0.29744357130683713,N. Fork Kusko,Total_Contribution_Percent
6.239213214470313,6.5997372508072125,13.851339019756317,11.642707561041744,4.059622193734247,5.917769422908919,Oskakawlik,Protection_Percentage
1.4103122437836317,1.3656272016098352,1.42280018406222,1.2863261861519737,1.299972619745077,1.3790584738256495,Oskakawlik,Total_Contribution_Percent
3.427793106369672,15.098721672648496,33.497517406325215,17.716176546380943,26.00494137519028,12.847126792189833,S. Fork Kusko,Protection_Percentage
1.501340069896658,1.3826400705375412,1.426630824006813,1.6783192591413962,1.4867971365763488,1.571756316230579,S. Fork Kusko,Total_Contribution_Percent
3.9683351363297916,8.7649881805765,23.215540163797467,10.133478030276413,13.415686402624594,9.449060704744397,Stony,Protection_Percentage
11.516796232001763,11.25974642164056,11.607779665234212,11.738710769030051,11.57581771460812,11.059346127256575,Stony,Total_Contribution_Percent
3.324951966673779,18.18929830401027,38.78824866096495,19.079400737795975,29.794245445206453,12.632317882343372,Swift,Protection_Percentage
6.949843835282856,6.523500573056834,6.603453900527824,8.041681391093768,7.1569432334764675,7.373434060452991,Swift,Total_Contribution_Percent
2.7110868707302513,4.810693311134777,18.784137771771853,6.5725170942955575,12.49803857383371,11.25359368526273,Takotna and Nixon Fork,Protection_Percentage
5.29512795507368,5.213776652869276,5.698036112839133,5.655226823259816,5.308750746420757,5.360808477984797,Takotna and Nixon Fork,Total_Contribution_Percent
3.303921690846692,21.126356361934192,42.52368802293793,22.86253879848405,32.29674964752745,12.486499823735715,Tatlawiksuk,Protection_Percentage
2.8774194489055898,2.6441769864016145,2.6297115048305058,3.292442453819713,2.88123178861718,3.0984848147764255,Tatlawiksuk,Total_Contribution_Percent
7.008893457823692,6.724258802266545,14.045514343795373,12.131995723217798,3.8260511555055734,6.14234571955378,Tuluksak,Protection_Percentage
5.404001587937497,5.253727505361418,5.467640329437336,5.007138840037526,5.012605581678331,5.200904107504799,Tuluksak,Total_Contribution_Percent
3.3697009439893275,14.120179481120108,29.605357138666598,15.854686621678196,22.623086008370947,10.844365906380304,Upper Kusko Main,Protection_Percentage
6.858606986733891,6.356585679669104,7.017967259629393,7.625559593859134,7.112407725748011,7.386759711733647,Upper Kusko Main,Total_Contribution_Percent
