year,fish_id,oto_num,DOY,natal_iso,total_assigned_km,dominant_group,dominant_group_km,prop_km_in_dominant_group_of_all,prop_km_in_dominant_group_of_grouped,prop_km_outside_regional_groups,n_groups_covered,n_stream_edges_retained
2017,2017_kk_003,3.0,158,0.70600907181429,8468.202902840216,Group 5,4736.697899503374,0.5593510162486419,0.5605996168795937,0.0022272591585091595,4,2200
2017,2017_kk_004,4.0,160,0.710117568506365,5221.371773221804,Group 2,4231.70064898435,0.8104576407845432,0.8104576407845432,0.0,3,1025
2017,2017_kk_005,5.0,161,0.707596792619475,13324.632307116062,Group 4,8774.787685877312,0.6585388237085619,0.6590229477847087,0.0007346088292892359,5,3040
2017,2017_kk_006,6.0,161,0.709543326475051,12251.039759089901,Group 2,10361.80239081469,0.845789630478225,0.845789630478225,0.0,5,2415
2017,2017_kk_007,7.0,162,0.706484312028203,8871.484930612796,Group 5,5858.760004481464,0.6604035345046538,0.6618105516083167,0.0021260118930464,4,2400
2017,2017_kk_008,8.0,162,0.710382216170228,2521.853367223583,Group 1,1327.5289139223437,0.5264100328655815,0.5264100328655815,0.0,2,420
2017,2017_kk_009,9.0,162,0.706022314415563,8468.829173973518,Group 5,4752.145962936124,0.5611337606785672,0.5623862479715165,0.0022270944523748305,4,2215
2017,2017_kk_012,12.0,162,0.707330978309171,9992.42435725069,Group 4,4464.551652359482,0.44679364013598166,0.4474809775074352,0.0015360147268877245,5,2555
2017,2017_kk_010,10.0,163,0.70848310596625,12076.289585188679,Group 4,7918.41386009778,0.655699236445071,0.6581589947013281,0.0037373313683471726,4,2320
2017,2017_kk_011,11.0,163,0.707120471119712,7650.485510972564,Group 5,3790.9266127047154,0.4955145143752838,0.4965106209231697,0.002006213977928221,5,1970
2017,2017_kk_013,13.0,164,0.708741589799907,10733.678323883327,Group 4,4655.549364787146,0.4337328941960336,0.4355643603013329,0.004204811670156448,4,2215
2017,2017_kk_014,14.0,164,0.708889917241919,10903.056793331702,Group 2,5770.514035393246,0.5292565328030288,0.5314564916999316,0.004139490120566472,5,2175
2017,2017_kk_015,15.0,165,0.710528972776237,2341.9895090294426,Group 1,1565.1588744884434,0.6683031108611028,0.6683031108611028,0.0,2,295
2017,2017_kk_016,16.0,165,0.709511760180499,12532.156059960289,Group 2,10477.293289355224,0.8360327815282906,0.8360327815282906,0.0,5,2475
2017,2017_kk_017,17.0,165,0.707635242646549,13736.627150827484,Group 4,9200.113415020382,0.6697505373046523,0.670228125865161,0.0007125761245729389,5,3100
2017,2017_kk_019,19.0,166,0.709350903385635,13527.435489890446,Group 2,10754.688128389671,0.7950278629254635,0.7958479242029046,0.001030424598094581,5,2595
2017,2017_kk_020,20.0,166,0.70517061567713,3738.415553043177,Group 6,2460.6652965807893,0.6582107477532125,0.6598219551219647,0.0024418820202101255,4,1160
2017,2017_kk_021,21.0,166,0.709009589312167,11953.816962785835,Group 2,7499.797115583213,0.627397687193245,0.6297754814388085,0.003775622131447766,5,2350
2017,2017_kk_022,22.0,166,0.709397467736169,13099.56765085607,Group 2,10693.930988593358,0.8163575526780458,0.8172271486364802,0.001064081094081743,5,2555
2017,2017_kk_023,23.0,166,0.708852862795917,10694.882835670109,Group 2,5301.236409461741,0.4956797087837925,0.49778037409226533,0.004220064546143484,5,2155
2017,2017_kk_024,24.0,167,0.705815667167934,6578.819292269051,Group 5,3226.6900121503236,0.49046643003891205,0.4918765959447426,0.002866909947447356,4,1800
2017,2017_kk_025,25.0,167,0.709040302451606,12095.236813745627,Group 2,7831.134514263753,0.6474560717458681,0.6498810879655088,0.00373147682637202,5,2345
2017,2017_kk_026,26.0,167,0.707874819099247,16523.020245947577,Group 4,11959.82872261423,0.7238282435408555,0.7242573003749202,0.0005924094018004327,5,3405
2017,2017_kk_027,27.0,167,0.710804413781463,1613.7010786748965,Group 1,1580.545096971296,0.9794534550780454,0.9794534550780454,0.0,2,210
2017,2017_kk_028,28.0,167,0.707124350416323,7597.844566508809,Group 5,3690.9835951598106,0.48579351194279674,0.48677685660827624,0.0020201138409314794,5,1975
2017,2017_kk_029,29.0,167,0.70948113348033,12733.483194982726,Group 2,10600.628330929161,0.8325002804500534,0.8325002804500534,0.0,5,2475
2017,2017_kk_030,30.0,169,0.708156417545874,15159.740482179555,Group 4,11094.584523399892,0.731845280362266,0.7333542984524031,0.002057693114121578,4,3095
2017,2017_kk_031,31.0,169,0.707165245404197,8080.644917380687,Group 5,3806.583099023975,0.4710741701861423,0.4719706390453726,0.0018994165845645956,5,2040
2017,2017_kk_032,32.0,169,0.708962772879498,11674.366228879555,Group 2,6907.590078271204,0.5916886572552006,0.5939850030755637,0.0038659996607202014,5,2315
2017,2017_kk_033redo,33.0,170,0.705171003927553,3738.415553043177,Group 6,2460.6652965807893,0.6582107477532125,0.6598219551219647,0.0024418820202101255,4,1160
2017,2017_kk_034,34.0,170,0.709331866678254,13899.066581131368,Group 2,10668.968977254948,0.7676032714123818,0.7683738530068247,0.0010028732646580572,5,2640
2017,2017_kk_035,35.0,170,0.708652234470392,11424.252016790577,Group 4,6164.850360800466,0.5396283583152572,0.5417686908493199,0.00395063902771371,4,2215
2017,2017_kk_036redo,36.0,170,0.70548130879749,5531.508488378297,Group 6,2852.2719122588396,0.5156408813710518,0.5164932615233847,0.0016503219225335163,4,1480
2017,2017_kk_036redoa,36.0,170,0.705608794770743,5744.514192012445,Group 6,2434.236361597445,0.42374973413455386,0.42582452758524764,0.004872414143120115,4,1460
2017,2017_kk_037redo,37.0,170,0.708304870213465,13104.683046677423,Group 4,9481.938872105016,0.7235534685067472,0.725279908533866,0.002380377571203933,4,2595
2017,2017_kk_037redoa,37.0,170,0.708016189375436,16631.889583506967,Group 4,12304.511782736736,0.7398144222252726,0.7408384739895025,0.001382287502855199,4,3370
2017,2017_kk_038,38.0,170,0.706869061565151,7743.786191781097,Group 5,4620.14505879407,0.5966261134246813,0.5970548049384407,0.0007180103236979684,5,2090
2017,2017_kk_039,39.0,170,0.707367803979433,10606.406109512965,Group 4,5003.782896409512,0.471769876124353,0.4724535628149088,0.0014470981793054565,5,2670
2017,2017_kk_040,40.0,170,0.70601510449092,8458.715491539617,Group 5,4736.697899503374,0.5599783920195691,0.5612297982496115,0.002229757282926409,4,2210
