"year","quartile","mgmt_river","total_run_prop","within_quartile_prop","cpue_prop_in_quartile","edge_count"
"2017","Q1","Lower Kusko",0.0146013021827917,0.132742050289937,0.0405369752023444,1105
"2017","Q1","Holitna and Hoholitna",0.00991734353897776,0.0901596650978883,0.0405369752023444,477
"2017","Q1","Middle Kusko Main",0.0095321388338636,0.0866577265928113,0.0405369752023444,249
"2017","Q1","Stony",0.00880709499975076,0.0800662730439871,0.0405369752023444,299
"2017","Q1","Big River",0.00766519559916973,0.0696851395149093,0.0405369752023444,166
"2017","Q1","Upper Kusko Main",0.00744555814775277,0.0676883911936601,0.0405369752023444,159
"2017","Q1","Johnson",0.00638733253357987,0.0580679452953353,0.0405369752023444,200
"2017","Q1","Kwethluk",0.00564807856952437,0.0513473058862461,0.0405369752023444,166
"2017","Q1","S. Fork Kusko",0.00556747984739897,0.0506145740044087,0.0405369752023444,137
"2017","Q1","Takotna and Nixon Fork",0.00462921124249189,0.0420846705219076,0.0405369752023444,127
"2017","Q1","Swift",0.00455693073156105,0.0414275604164629,0.0405369752023444,277
"2017","Q1","Kisaralik",0.00439024429095081,0.039912195580838,0.0405369752023444,237
"2017","Q1","Tuluksak",0.00437227963122259,0.0397488768757506,0.0405369752023444,189
"2017","Q1","Aniak",0.00355726633914491,0.0323395010509392,0.0405369752023444,165
"2017","Q1","Tatlawiksuk",0.00299443694354634,0.0272227568729267,0.0405369752023444,62
"2017","Q1","N. Fork Kusko",0.00299120036039568,0.0271933327381493,0.0405369752023444,177
"2017","Q1","E. Fork Kuskokwim",0.00265818904584092,0.0241658901093787,0.0405369752023444,81
"2017","Q1","George",0.00241446909682489,0.0219502051434805,0.0405369752023444,65
"2017","Q1","Oskakawlik",0.00120998950158604,0.0110001481552189,0.0405369752023444,25
"2017","Q1","Holokuk",0.000651822642975929,0.00592579161576446,0.0405369752023444,21
"2017","Q2","Lower Kusko",0.0674153330405417,0.146499581375432,0.619376838688995,1105
"2017","Q2","Holitna and Hoholitna",0.0450042482821908,0.0977982787608875,0.619376838688995,477
"2017","Q2","Middle Kusko Main",0.0385549701647592,0.0837834174264595,0.619376838688995,249
"2017","Q2","Stony",0.0369700837000724,0.0803393166094456,0.619376838688995,299
"2017","Q2","Big River",0.0298486904427579,0.0648638886325638,0.619376838688995,166
"2017","Q2","Upper Kusko Main",0.0277372780548989,0.0602755996338841,0.619376838688995,159
"2017","Q2","Johnson",0.0266053424121294,0.0578158016868808,0.619376838688995,200
"2017","Q2","Kwethluk",0.0228337355405902,0.0496197607734449,0.619376838688995,166
"2017","Q2","Tuluksak",0.0221099977881657,0.0480470135515033,0.619376838688995,189
"2017","Q2","S. Fork Kusko",0.0217019535982088,0.0471602968312072,0.619376838688995,137
"2017","Q2","Kisaralik",0.02043637927477,0.0444100900129485,0.619376838688995,237
"2017","Q2","Swift",0.0199608806539383,0.0433767887481674,0.619376838688995,277
