"Name","X2017_Q1","X2017_Q2","X2017_Q3","X2017_Q4","X2018_Q1","X2018_Q2","X2018_Q3","X2018_Q4","X2019_Q1","X2019_Q2","X2019_Q3","X2019_Q4","X2020_Q1","X2020_Q2","X2020_Q3","X2020_Q4","X2021_Q1","X2021_Q2","X2021_Q3","X2021_Q4"
"Holitna River",-1.0433223525678,1.51140350921281,0.103920529818806,-0.90987948824798,-1.12517034906284,0.0270913328858503,1.72577215753497,-1.11819512640517,-0.573550002322587,-0.391079104703026,1.2104397733727,0.319107657643662,-0.904078468419969,-0.319751093954776,1.17289296450466,-0.0485941811189792,-0.924768018461476,-0.164530803290061,1.95286679456286,-0.500575730981664
"Takotna River",-0.694182255511817,0.482863235478252,0.13981899786966,-0.320746837918302,-0.86312715735939,0.0802561004834601,1.95061088774224,-0.596248995555005,-0.86312715735939,-0.86312715735939,0.515950218084155,-0.325607379270874,-0.586225052950423,-0.86312715735939,2.98024563782616,0.0836172755373549,-0.120113997981198,-0.0780265794653603,0.803424532428639,-0.86312715735939
"Stony River",-1.12133995651826,2.57443679220405,-0.137265293926879,-1.28622441723757,-0.989105499089714,1.09523621581302,0.63629873990462,-1.41514704871266,0.783463775809417,0.31038827494917,-0.287707955222059,-0.717154746278063,0.0798826835117065,-0.00652699610979997,1.38029016415369,-0.657321612528063,0.272463042850867,0.389444629348781,0.0821339597690502,-0.986244752691309
"North Fork Kuskokwim River",-0.600035120500117,-0.857864698011429,-0.128102965059034,-0.582142699459379,-0.192616018498834,2.21955973420994,1.89882575487453,-0.857864698011429,-0.338941962590123,1.00689859505034,-0.857864698011429,-0.221432385125044,0.204618002683349,-0.332928722135513,0.387581782617002,-0.857864698011429,1.95033564015888,-0.124431448157419,-0.857864698011429,-0.857864698011429
"Kuskokwim Delta",-1.00041619186747,1.395331879606,0.156473354669835,-0.682804330854068,-0.962977654652911,0.299838639080636,2.67038521017321,-0.824319796559412,-0.233142767131383,-0.283368218575141,0.186698806644241,-0.572517429144219,-0.796146564443444,0.000424802275754072,1.28458651462938,-0.792989531585505,-0.884646784313293,0.0222863569220917,1.51442047227998,-0.497116767154289
"South Fork Kuskokwim River",-0.223606797749979,4.2485291572496,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979,-0.223606797749979
"Aniak",-1.02226902300318,1.90886490450705,0.380655918354215,-0.508265958344874,-1.00121249390424,-0.174326120797205,2.50556078044672,-0.945840902636115,-0.733638072487958,-0.565901995671759,0.78029713320316,0.985656391667648,-0.239982631985954,-0.92782481342098,0.157917698088196,-0.251723241965404,-1.07489524796718,0.185822185113405,0.949069250409082,-0.407963759604619
