cluster,n_years,mean_doy50,sd_doy50,min_doy50,max_doy50,range_days,variability_rank
Cluster 1,6,169.83333333333334,5.879342366852493,162,179,17,1
Cluster 2,6,172.83333333333334,4.070217029430577,167,177,10,2
Cluster 4,6,177.33333333333334,2.804757862395017,173,180,7,3
Cluster 5,6,178.33333333333334,2.6583202716502514,173,180,7,4
Cluster 6,6,178.33333333333334,2.6583202716502514,173,180,7,5
Cluster 3,6,176.83333333333334,2.48327740429189,173,180,7,6
