"year","quartile","mgmt_river","percent_of_total_run","total_production","edge_count"
"2017","Q1","Holitna and Hoholitna",0.991734353897776,875.525589758067,477
"2017","Q1","Stony",0.880709499975076,777.510329596479,299
"2017","Q1","Big River",0.766519559916973,676.700859579758,166
"2017","Q1","Johnson",0.638733253357987,563.888208718827,200
"2017","Q1","Kwethluk",0.564807856952437,498.625191428272,166
"2017","Q1","Takotna and Nixon Fork",0.462921124249189,408.67727202028,127
"2017","Q1","Swift",0.455693073156105,402.296184513125,277
"2017","Q1","Kisaralik",0.439024429095081,387.58072732982,237
"2017","Q1","Tuluksak",0.437227963122259,385.994766407772,189
"2017","Q1","Aniak",0.355726633914491,314.043543743912,165
"2017","Q1","N. Fork Kusko",0.299120036039568,264.069954754225,177
"2017","Q1","E. Fork Kuskokwim",0.265818904584092,234.670960313249,81
"2017","Q1","Oskakawlik",0.120998950158604,106.820618627716,25
"2017","Q1","Holokuk",0.0651822642975929,57.5443818867634,21
"2017","Q2","Holitna and Hoholitna",4.50042482821908,3973.07715155999,477
"2017","Q2","Stony",3.69700837000724,3263.80287298663,299
"2017","Q2","Big River",2.98486904427579,2635.11011801607,166
"2017","Q2","Johnson",2.66053424121294,2348.77999481864,200
"2017","Q2","Kwethluk",2.28337355405902,2015.81398254311,166
"2017","Q2","Tuluksak",2.21099977881657,1951.92077162114,189
"2017","Q2","Kisaralik",2.043637927477,1804.16993187137,237
"2017","Q2","Swift",1.99608806539383,1762.19183473311,277
"2017","Q2","Takotna and Nixon Fork",1.72448238771841,1522.41217983479,127
"2017","Q2","Aniak",1.52661184984786,1347.72757938309,165
"2017","Q2","N. Fork Kusko",1.09024425170469,962.492362700268,177
"2017","Q2","E. Fork Kuskokwim",0.939111702465121,829.069119082092,81
"2017","Q2","Oskakawlik",0.42102814848191,371.693202474629,25
"2017","Q2","Holokuk",0.25588642527481,225.902342214218,21
"2017","Q3","Holitna and Hoholitna",3.35885320211898,2965.27181814165,477
"2017","Q3","Stony",2.68127697019405,2367.0921466091,299
"2017","Q3","Johnson",1.86264574072484,1644.38592275141,200
"2017","Q3","Tuluksak",1.64384774509601,1451.22608775334,189
"2017","Q3","Big River",1.57928377239295,1394.22754771506,166
"2017","Q3","Kisaralik",1.49265121328436,1317.74635886879,237
"2017","Q3","Kwethluk",1.44426056443336,1275.02599609469,166
"2017","Q3","Swift",1.38238913386799,1220.4044933485,277
"2017","Q3","Aniak",1.11830512255211,987.265136176604,165
"2017","Q3","Takotna and Nixon Fork",0.951836312820053,840.302693820788,127
"2017","Q3","N. Fork Kusko",0.667667088546674,589.431654922919,177
