"Time","Trend 1","Trend 2","Trend 3","Trend 4"
"2017-Q0",1.07523003938077,-0.551027655926469,0.544130409448164,-0.397027627568366
"2017-Q1",-0.115853922558301,0.571547504534255,0.619340686106984,0.351825206669897
"2017-Q2",-0.0951660160340819,0.233329520442059,-0.602127291672012,0.153899076657793
"2017-Q3",-0.501442794669232,-0.25153088596257,0.23084326375995,0.550779465954818
"2017-Q4",-1.1606631844244,-0.972267118302081,0.968875413919805,0.079808303044012
"2018-Q0",1.06395472366185,-0.558753006323978,0.581132453818293,-0.398374887866294
"2018-Q1",-0.110322360468414,1.11718083248809,1.25827671774408,-1.00823779437834
"2018-Q2",0.0930014265239722,0.623300272533874,-0.485856617629726,0.195368060990261
"2018-Q3",-0.76856878347689,-0.621268919848272,0.00548661555287767,0.136340554921317
"2018-Q4",-1.653737476813,-1.34054135202577,0.233876665437095,-1.75183793258676
"2019-Q0",1.08828816514859,-0.516877607331936,0.334718047995341,-0.599680365794088
"2019-Q1",0.390584324848156,1.10548432323191,-1.99743853831217,-1.35501386343256
"2019-Q2",0.147423427369437,0.676249570091019,-0.390567989272567,0.189027666864158
"2019-Q3",-0.390054169724067,-0.475993570708752,-0.4208304091059,1.20530144541969
"2019-Q4",-0.623490268990177,-0.66525970399434,0.155701701056197,0.999138996349708
"2020-Q0",1.07193491487162,-0.553599522610346,0.554181166151956,-0.390587605808839
"2020-Q1",-0.145906544847479,1.03839085720777,0.836426770667983,-0.748293701038319
"2020-Q2",-0.0597885759479808,0.460411499292599,-1.09153997504918,-0.676890247919614
"2020-Q3",-0.0246591995191717,0.145169479438854,-1.29011612936353,0.399097488300304
"2020-Q4",0.0932078300799882,-0.0334147731611649,-0.848951264222549,1.55052601282634
"2021-Q0",1.08176246358579,-0.5491821077643,0.552988909720118,-0.350052124228883
"2021-Q1",0.684626637383801,1.88611299149776,1.07105269379305,0.560674206235263
"2021-Q2",-0.17603257548586,0.240845601892684,0.00986542956181905,0.356061836808938
"2021-Q3",-0.344966124336159,-0.520707041787661,-0.475222076338636,1.11248670678715
"2021-Q4",-0.619155844395594,-0.487195551587615,-0.35641183274181,-0.164977125472973
