"Management_Unit","Trend.1","Trend.2","Trend.3","Trend.4"
"Holitna and Hoholitna",-1.35044761617692,0,0,0
"Stony",-0.557429840896468,-1.05412606231371,0,0
"Big River",1.06931227604632,-0.638072846670259,0.608838871241527,0
"Kwethluk",1.08077486250687,-0.608994573862148,0.62031084276845,-0.0647119769790891
"Upper Kusko Main",0.875448424956845,-0.640625012106747,0.777650408735201,-0.116627959818209
"Middle Kusko Main",-0.222353287373014,0.828548756458749,-0.78773007631271,0.114493947346559
"Aniak",-0.334759539677941,0.899978649038582,-0.745243656796731,0.0259067085359607
"Kisaralik",-0.27486695714065,0.798069948908463,-0.750726439497583,0.350180297257817
"Tuluksak",-0.774007602608083,0.872836912815701,-0.592583541421381,0.011459717719089
"Takotna and Nixon Fork",-1.0997268157668,-0.616338299184524,-0.0164679841068024,-0.275420494405637
"Tatlawiksuk",1.15012956697276,-0.51215965160257,0.602971932394968,-0.0802947220138022
"Swift",-0.52219215682794,0.658164977914413,-0.860605958532314,0.0998452703603515
"George",-1.3251474460443,0.16686964310871,-0.057607341734573,-0.0957882960284605
"S. Fork Kusko",1.00638016643736,-0.658282929586454,0.620751188465386,-0.16249779076683
"Oskakawlik",-0.796792321442946,0.884427943911128,-0.57899645022063,0.0251985371373367
"Holokuk",-0.351724731288651,0.941876266989565,-0.719584793453427,-0.031034915865557
"N. Fork Kusko",1.18013863060087,-0.360354467393034,0.575290780746287,0.0110940808218831
"E. Fork Kuskokwim",1.19290355741107,-0.303390444761113,0.407270173642932,-0.203486959938113
"Lower Kusko",-0.849754456055622,0.110888957738283,-0.968474492320549,-0.485264134905531
