"year","watershed","window_start_doy","window_end_doy","window_start_date","window_end_date","total_production","window_production","window_pct"
"2017","Kusko",153,163,"Jun 01","Jun 11",42561.7226902115,1590.68049677472,3.73734989148019
"2018","Kusko",153,163,"Jun 01","Jun 11",41177.3017075843,4018.63976613156,9.75935673170001
"2019","Kusko",153,163,"Jun 01","Jun 11",43827.0714739942,10618.5161052469,24.2282127190444
"2020","Kusko",153,163,"Jun 01","Jun 11",46118.7679976498,6095.64228551182,13.2172704306031
"2021","Kusko",153,163,"Jun 01","Jun 11",42913.6249526895,6477.23375388664,15.0936532651985
