"mgmt_river","year","total_production","final_overall_percent","doy_10_percent","doy_25_percent","doy_50_percent","doy_75_percent","doy_90_percent","timing_spread","median_timing"
"Aniak",2017,39770.3746084452,24.9970692417389,167,173,179,188,194,27,179
"Big River",2017,29831.647233416,10.1119394614977,164,170,176,179,185,21,176
"E. Fork Kuskokwim",2017,1459.7391135128,0.693900920545672,164,170,179,185,194,30,179
"George",2017,13134.333903231,2.98473628392512,167,170,176,182,194,27,176
"Hoholitna",2017,40781.8373838981,10.1789276711559,167,170,176,182,188,21,176
"Holitna and Hoholitna",2017,45114.7824292678,10.2667840143566,167,170,176,185,191,24,176
"Holokuk",2017,5080.03910449982,4.74491532631592,167,173,179,188,194,27,179
"Kisaralik",2017,28790.8925593305,12.1514602678982,167,173,179,185,194,27,179
"Kwethluk",2017,31065.3833029197,9.47358879996458,167,170,176,179,188,21,176
"Lower Kusko",2017,1111.25075975671,0.426599535205658,167,173,176,185,194,27,176
"Middle Kusko Main",2017,31402.6255671345,15.3345277835179,167,173,176,185,194,27,176
"N. Fork Kusko",2017,1687.0259450724,0.726035283223981,164,170,176,182,191,27,176
"Oskakawlik",2017,6304.01077611497,3.43448830507637,167,173,179,185,194,27,179
"S. Fork Kusko",2017,6710.89967555706,1.89066098959292,167,170,176,182,188,21,176
"Stony",2017,51479.3854147365,12.2990079787292,167,170,176,182,191,24,176
"Swift",2017,21925.8322160939,7.70370516895051,167,173,179,188,194,27,179
"Takotna and Nixon Fork",2017,23625.2653170567,5.40976576940694,167,170,176,182,191,24,176
"Tatlawiksuk",2017,12861.8916082292,4.14106027130313,167,170,176,179,185,18,176
"Tuluksak",2017,24155.5615748642,15.7249031413072,167,173,179,185,194,27,179
"Upper Kusko Main",2017,30701.197762955,7.93222571686788,167,170,176,182,188,21,176
"Aniak",2018,37298.3625624666,29.8578829433363,164,173,176,182,188,24,176
"Big River",2018,28631.9546349755,17.3428907835052,161,164,167,176,182,21,167
"E. Fork Kuskokwim",2018,1223.6707131824,1.43247160225319,158,164,167,176,185,27,167
"George",2018,12101.2105687779,6.10975922106821,167,173,176,182,185,18,176
"Hoholitna",2018,35576.4182595246,14.3158247610882,164,170,176,182,185,21,176
"Holitna and Hoholitna",2018,39224.6136176186,16.6537078745911,167,173,176,182,185,18,176
"Holokuk",2018,5505.22503800648,3.61801774110579,164,173,176,182,188,24,176
"Kisaralik",2018,29732.6445685838,9.87125973344753,164,170,176,182,188,24,176
"Kwethluk",2018,27377.5172414312,15.2188922651406,161,164,170,176,182,21,170
"Lower Kusko",2018,1035.40998726809,0.462513137742895,164,167,176,182,188,24,176
"Middle Kusko Main",2018,33011.0004595516,12.1859101298722,164,170,176,182,188,24,176
"N. Fork Kusko",2018,1966.85791338863,1.13979844455308,161,164,167,176,182,21,167
"Oskakawlik",2018,5731.19935205607,3.28788635390119,164,173,176,182,188,24,176
"S. Fork Kusko",2018,5802.59815200685,2.7159582149997,161,164,170,179,182,21,170
"Stony",2018,47254.3687764496,12.1814544624835,164,167,176,179,185,21,176
"Swift",2018,26498.6994880459,9.06087952461197,164,173,176,182,188,24,176
"Takotna and Nixon Fork",2018,21841.6724557747,5.44417442267746,164,167,176,182,185,21,176
"Tatlawiksuk",2018,11096.9563386862,7.26182580821862,158,164,167,176,182,24,167
"Tuluksak",2018,22048.5939640862,12.4851706231209,164,173,176,182,188,24,176
"Upper Kusko Main",2018,26716.2744166423,11.6467857169008,161,164,173,179,182,21,173
"Aniak",2019,34613.900831844,7.55936059281167,161,170,173,176,179,18,173
"Big River",2019,30962.1351631634,16.3549722958551,155,158,164,170,176,21,164
"E. Fork Kuskokwim",2019,876.66548515789,0.435413201447843,158,161,164,167,176,18,164
"George",2019,15856.8535204542,7.42296268142027,161,167,173,176,179,18,173
"Hoholitna",2019,48441.4103182554,16.2516919106098,158,164,173,176,179,21,173
"Holitna and Hoholitna",2019,49746.4244808194,13.8537783625195,161,167,173,176,179,18,173
"Holokuk",2019,5546.39211973852,1.21379097898544,161,170,173,176,179,18,173
"Kisaralik",2019,26356.2447082108,5.91462011564421,158,167,170,176,179,21,170
"Kwethluk",2019,30236.8561010142,13.4479582724386,158,161,167,173,176,18,167
"Lower Kusko",2019,1070.65072487192,0.502583218175714,158,167,173,176,179,21,173
"Middle Kusko Main",2019,32707.3203285726,7.73432899503806,158,164,170,176,179,21,170
"N. Fork Kusko",2019,1385.80791170916,0.614897628057202,158,161,164,170,176,18,164
"Oskakawlik",2019,6514.92462490683,1.42496164697765,161,167,173,176,179,18,173
"S. Fork Kusko",2019,6532.46491677897,2.51309457380109,158,161,167,173,179,21,167
"Stony",2019,53151.3914804358,14.6371179807721,158,164,170,176,179,21,170
"Swift",2019,18591.8950602951,4.06030050028884,161,167,173,176,179,18,173
"Takotna and Nixon Fork",2019,26042.0347902535,16.3715205469673,158,164,170,176,179,21,170
"Tatlawiksuk",2019,12041.305891813,5.7403547113319,158,161,167,170,176,18,167
"Tuluksak",2019,25036.0275612863,5.47503779421065,161,167,173,176,179,18,173
"Upper Kusko Main",2019,32183.8527445423,10.2247388951715,158,161,170,173,179,21,170
"Aniak",2020,30714.6864887987,8.14830538797397,162,168,177,189,195,33,177
"Big River",2020,39688.0058831582,16.9687021468861,159,165,174,183,189,30,174
"E. Fork Kuskokwim",2020,1066.38178079648,1.08108616537693,156,159,165,174,183,27,165
"George",2020,15070.0946537234,10.1334252777268,168,174,183,189,195,27,183
"Hoholitna",2020,47372.585891808,23.9681937106362,168,174,180,189,195,27,180
"Holitna and Hoholitna",2020,45734.8653037489,24.4687151672523,168,174,180,189,195,27,180
"Holokuk",2020,5257.44890915595,1.36268330116759,162,171,177,183,192,30,177
"Kisaralik",2020,23963.9224693531,5.56696550871211,162,171,177,183,195,33,177
"Kwethluk",2020,38095.3477123736,16.3963889897864,159,165,174,183,192,33,174
"Lower Kusko",2020,1121.75450912736,0.23763443306133,162,171,180,186,195,33,180
"Middle Kusko Main",2020,33266.5636538402,7.98023552048777,162,171,177,183,192,30,177
"N. Fork Kusko",2020,1841.95729085989,1.05114330303489,159,162,168,180,186,27,168
"Oskakawlik",2020,6093.63153671596,1.69942394892267,162,171,177,186,195,33,177
"S. Fork Kusko",2020,7950.59548369755,3.16528403426413,159,168,174,186,192,33,174
"Stony",2020,55609.0507311632,11.7387107690301,162,171,180,186,195,33,180
"Swift",2020,18645.4628744968,4.11592589431642,162,171,180,186,195,33,180
"Takotna and Nixon Fork",2020,26747.4313526239,6.81680969998187,165,174,180,189,195,30,180
"Tatlawiksuk",2020,15597.0790188422,8.26810610733982,159,165,171,183,189,30,171
"Tuluksak",2020,23720.0015616904,6.7334202841133,162,171,177,186,195,33,177
"Upper Kusko Main",2020,36166.7966363441,12.6971124884889,159,168,177,186,192,33,177
"Aniak",2021,33561.1991859703,13.8209353178471,168,174,180,186,192,24,180
"Big River",2021,32539.3994082671,19.0818496096564,159,162,168,177,189,30,168
"E. Fork Kuskokwim",2021,1312.08953194327,1.28593638221868,159,159,162,171,174,15,162
"George",2021,14505.1000163322,3.33839200954903,165,171,177,183,192,27,177
"Hoholitna",2021,45013.7470473889,10.4271021710734,162,171,177,183,192,30,177
"Holitna and Hoholitna",2021,46516.0653497084,10.448529970821,165,171,177,183,192,27,177
"Holokuk",2021,4282.74639609383,4.43013998026751,168,174,180,186,192,24,180
"Kisaralik",2021,28188.6055541094,28.2985486178495,168,174,180,186,192,24,180
"Kwethluk",2021,31862.1700930419,16.8523665360118,159,162,171,177,189,30,171
"Lower Kusko",2021,944.053760490485,0.216402253176668,162,171,177,183,189,27,177
"Middle Kusko Main",2021,29828.9870702511,20.9405796409905,162,171,177,183,192,30,177
"N. Fork Kusko",2021,1988.15237875989,1.95226519465678,159,159,162,171,180,21,162
"Oskakawlik",2021,5787.37980383495,2.56190860674225,168,174,180,186,192,24,180
"S. Fork Kusko",2021,6619.10842576742,2.98820761612964,159,162,171,177,189,30,171
"Stony",2021,51534.6651435899,11.9933598817261,162,168,177,183,189,27,177
"Swift",2021,20268.143849393,10.3562323498912,168,174,180,186,192,24,180
"Takotna and Nixon Fork",2021,23597.3703271261,5.97652050032045,162,168,177,180,189,27,177
"Tatlawiksuk",2021,12827.0260545028,8.17170198145983,159,162,168,177,189,30,168
"Tuluksak",2021,22315.741014364,9.46555299068538,168,174,180,186,192,24,180
"Upper Kusko Main",2021,31700.6879474856,12.6482267719696,159,165,174,180,189,30,174
