"Date","Year","dailyCPUE"
"2017-06-01",2017,1.33
"2017-06-02",2017,0
"2017-06-03",2017,1.36
"2017-06-04",2017,2.7
"2017-06-05",2017,0
"2017-06-06",2017,0
"2017-06-07",2017,2.7
"2017-06-08",2017,0
"2017-06-09",2017,1.36
"2017-06-10",2017,2.67
"2017-06-11",2017,5.67
"2017-06-12",2017,2.79
"2017-06-13",2017,2.67
"2017-06-14",2017,4.03
"2017-06-15",2017,8.26
"2017-06-16",2017,7.75
"2017-06-17",2017,0
"2017-06-18",2017,3.97
"2017-06-19",2017,23.92
"2017-06-20",2017,9.36
"2017-06-21",2017,13.39
"2017-06-22",2017,14.94
"2017-06-23",2017,12.19
"2017-06-24",2017,26.84
"2017-06-25",2017,12.85
"2017-06-26",2017,7.67
"2017-06-27",2017,27.8
"2017-06-28",2017,19.31
"2017-06-29",2017,12.49
"2017-06-30",2017,13.52
"2017-07-01",2017,11.97
"2017-07-02",2017,3.13
"2017-07-03",2017,8.87
"2017-07-04",2017,12.57
"2017-07-05",2017,5.66
"2017-07-06",2017,5.22
"2017-07-07",2017,7.48
"2017-07-08",2017,7.16
"2017-07-09",2017,7.52
"2017-07-10",2017,1.11
"2017-07-11",2017,9.06
"2017-07-12",2017,6.91
"2017-07-13",2017,2.58
"2017-07-14",2017,7.68
"2017-07-15",2017,5.1
"2017-07-16",2017,1.78
"2017-07-17",2017,0
"2017-07-18",2017,4.68
"2017-07-19",2017,6.23
"2017-07-20",2017,0
"2017-07-21",2017,0
"2017-07-22",2017,1.67
"2017-07-23",2017,1.74
"2017-07-24",2017,3.14
"2017-07-25",2017,0
"2017-07-26",2017,1.7
"2018-06-01",2018,1.46
"2018-06-02",2018,1.76
"2018-06-03",2018,1.82
"2018-06-04",2018,6.36
"2018-06-05",2018,1.33
"2018-06-06",2018,0
"2018-06-07",2018,8.25
"2018-06-08",2018,0
"2018-06-09",2018,7.94
"2018-06-10",2018,8.65
"2018-06-11",2018,11.78
"2018-06-12",2018,17.32
"2018-06-13",2018,23.99
"2018-06-14",2018,21.77
"2018-06-15",2018,32.96
"2018-06-16",2018,15.65
"2018-06-17",2018,13.26
"2018-06-18",2018,14.43
"2018-06-19",2018,9.91
"2018-06-20",2018,14.04
"2018-06-21",2018,8.49
"2018-06-22",2018,13.36
"2018-06-23",2018,40.36
"2018-06-24",2018,31.01
"2018-06-25",2018,48.15
"2018-06-26",2018,32.54
"2018-06-27",2018,19.06
"2018-06-28",2018,28.1
"2018-06-29",2018,27.67
"2018-06-30",2018,19.36
"2018-07-01",2018,26.43
"2018-07-02",2018,15.09
"2018-07-03",2018,23.41
"2018-07-04",2018,12.71
"2018-07-05",2018,23.41
"2018-07-06",2018,8.31
"2018-07-07",2018,6.76
"2018-07-08",2018,5.4
"2018-07-09",2018,3.73
"2018-07-10",2018,12.52
"2018-07-11",2018,5.89
"2018-07-12",2018,2.46
"2018-07-13",2018,1.28
"2018-07-14",2018,4.7
"2018-07-15",2018,3.72
"2018-07-16",2018,3.08
"2018-07-17",2018,3.33
"2018-07-18",2018,5.33
"2019-06-01",2019,3.56
"2019-06-02",2019,0
"2019-06-03",2019,9.82
"2019-06-04",2019,2.86
"2019-06-05",2019,9.17
"2019-06-06",2019,12.66
"2019-06-07",2019,6.5
"2019-06-08",2019,27.56
"2019-06-09",2019,47.27
"2019-06-10",2019,15.34
"2019-06-11",2019,17.95
"2019-06-12",2019,21.12
"2019-06-13",2019,14.61
"2019-06-14",2019,22.53
"2019-06-15",2019,10.31
"2019-06-16",2019,22.59
"2019-06-17",2019,53.16
"2019-06-18",2019,32.58
"2019-06-19",2019,9.85
"2019-06-20",2019,45.36
"2019-06-21",2019,52.8
"2019-06-22",2019,45.71
"2019-06-23",2019,39.42
"2019-06-24",2019,37.8
"2019-06-25",2019,18.75
"2019-06-26",2019,26.83
"2019-06-27",2019,33.53
"2019-06-28",2019,34.08
"2019-06-29",2019,31.2
"2019-06-30",2019,25.25
"2019-07-01",2019,10.62
"2019-07-02",2019,4.07
"2019-07-03",2019,2.67
"2019-07-04",2019,3.01
"2020-06-01",2020,1.71
"2020-06-02",2020,0
"2020-06-03",2020,0
"2020-06-04",2020,1.36
"2020-06-05",2020,0
"2020-06-06",2020,10.86
"2020-06-07",2020,8.68
"2020-06-08",2020,7.07
"2020-06-09",2020,10.09
"2020-06-10",2020,16.85
"2020-06-11",2020,7.12
"2020-06-12",2020,8.16
"2020-06-13",2020,1.46
"2020-06-14",2020,9.93
"2020-06-15",2020,9.53
"2020-06-16",2020,11.6
"2020-06-17",2020,11.39
"2020-06-18",2020,18.31
"2020-06-19",2020,1.3
"2020-06-20",2020,18.54
"2020-06-21",2020,21.7
"2020-06-22",2020,6.44
"2020-06-23",2020,14.83
"2020-06-24",2020,6.01
"2020-06-25",2020,27.33
"2020-06-26",2020,32.15
"2020-06-27",2020,11.61
"2020-06-28",2020,8.29
"2020-06-29",2020,15.22
"2020-06-30",2020,13.2
"2020-07-01",2020,8.25
"2020-07-02",2020,11.14
"2020-07-03",2020,18.47
"2020-07-04",2020,13.41
"2020-07-05",2020,8.15
"2020-07-06",2020,13.52
"2020-07-07",2020,5
"2020-07-08",2020,17.92
"2020-07-09",2020,7.89
"2020-07-10",2020,5
"2020-07-11",2020,14.43
"2020-07-12",2020,11.53
"2020-07-13",2020,2.55
"2020-07-14",2020,8.87
"2020-07-15",2020,5.05
"2020-07-16",2020,6.85
"2020-07-17",2020,5.58
"2020-07-18",2020,1.74
"2020-07-19",2020,1.67
"2021-06-01",2021,0
"2021-06-02",2021,1.765
"2021-06-03",2021,0
"2021-06-04",2021,4.737
"2021-06-05",2021,1.714
"2021-06-06",2021,2.727
