"Fish_id","natal_iso","Date","Year"
"2017_kk_003",0.70600907181429,"2017-06-07",2017
"2017_kk_004",0.710117568506365,"2017-06-09",2017
"2017_kk_005",0.707596792619475,"2017-06-10",2017
"2017_kk_006",0.709543326475051,"2017-06-10",2017
"2017_kk_007",0.706484312028203,"2017-06-11",2017
"2017_kk_008",0.710382216170228,"2017-06-11",2017
"2017_kk_009",0.706022314415563,"2017-06-11",2017
"2017_kk_012",0.707330978309171,"2017-06-11",2017
"2017_kk_010",0.70848310596625,"2017-06-12",2017
"2017_kk_011",0.707120471119712,"2017-06-12",2017
"2017_kk_013",0.708741589799907,"2017-06-13",2017
"2017_kk_014",0.708889917241919,"2017-06-13",2017
"2017_kk_015",0.710528972776237,"2017-06-14",2017
"2017_kk_016",0.709511760180499,"2017-06-14",2017
"2017_kk_017",0.707635242646549,"2017-06-14",2017
"2017_kk_019",0.709350903385635,"2017-06-15",2017
"2017_kk_020",0.70517061567713,"2017-06-15",2017
"2017_kk_021",0.709009589312167,"2017-06-15",2017
"2017_kk_022",0.709397467736169,"2017-06-15",2017
"2017_kk_023",0.708852862795917,"2017-06-15",2017
"2017_kk_024",0.705815667167934,"2017-06-16",2017
"2017_kk_025",0.709040302451606,"2017-06-16",2017
"2017_kk_026",0.707874819099247,"2017-06-16",2017
"2017_kk_027",0.710804413781463,"2017-06-16",2017
"2017_kk_028",0.707124350416323,"2017-06-16",2017
"2017_kk_029",0.70948113348033,"2017-06-16",2017
"2017_kk_030",0.708156417545874,"2017-06-18",2017
"2017_kk_031",0.707165245404197,"2017-06-18",2017
"2017_kk_032",0.708962772879498,"2017-06-18",2017
"2017_kk_033redo",0.705171003927553,"2017-06-19",2017
"2017_kk_034",0.709331866678254,"2017-06-19",2017
"2017_kk_035",0.708652234470392,"2017-06-19",2017
"2017_kk_036redo",0.70548130879749,"2017-06-19",2017
"2017_kk_036redoa",0.705608794770743,"2017-06-19",2017
"2017_kk_037redo",0.708304870213465,"2017-06-19",2017
"2017_kk_037redoa",0.708016189375436,"2017-06-19",2017
"2017_kk_038",0.706869061565151,"2017-06-19",2017
"2017_kk_039",0.707367803979433,"2017-06-19",2017
"2017_kk_040",0.70601510449092,"2017-06-19",2017
"2017_kk_041redo",0.705397665096392,"2017-06-19",2017
"2017_kk_041redoa",0.705468563445446,"2017-06-19",2017
"2017_kk_042redo",0.709445688573054,"2017-06-19",2017
"2017_kk_043",0.706077631879752,"2017-06-19",2017
"2017_kk_045",0.707986517549233,"2017-06-19",2017
"2017_kk_047",0.707777744046661,"2017-06-19",2017
"2017_kk_048",0.707420982785751,"2017-06-19",2017
"2017_kk_048redo",0.705914290825491,"2017-06-19",2017
"2017_kk_049redo",0.705347921524726,"2017-06-19",2017
"2017_kk_050",0.709229498061172,"2017-06-20",2017
"2017_kk_051",0.708897043373624,"2017-06-20",2017
"2017_kk_052",0.707993304844912,"2017-06-20",2017
"2017_kk_053redo",0.707801375502199,"2017-06-20",2017
