mgmt_river,quartile_clean,avg_within_quartile_pct,avg_total_run_pct,n_years
Aniak,Q1,5.5569319210528905,0.7040945578763964,5
Aniak,Q2,6.511543583663244,2.08448203146137,5
Aniak,Q3,8.295791032442919,3.280102206291304,5
Aniak,Q4,11.675968461089306,1.735401004261986,5
Big River,Q1,13.57729639462646,1.823854485114522,5
Big River,Q2,9.2416959345043,2.830083415576104,5
Big River,Q3,4.889513923247422,1.8953121009362581,5
Big River,Q4,3.751829884606262,0.6774173002250988,5
E. Fork Kuskokwim,Q1,0.7137667814955652,0.09298598269277,5
E. Fork Kuskokwim,Q2,0.33725341612672144,0.10050531121727241,5
E. Fork Kuskokwim,Q3,0.1418188466352316,0.05364123661504104,5
E. Fork Kuskokwim,Q4,0.1082332235775526,0.016609857017999257,5
George,Q1,1.4246957999894398,0.194394022610639,5
George,Q2,2.7518901028656,0.8692417858840112,5
George,Q3,3.778033734377514,1.4920099635561135,5
George,Q4,3.440183405485846,0.5960088511992397,5
Hoholitna,Q1,7.393083972577917,0.993475671115758,5
Hoholitna,Q2,9.36884703574675,2.9246191267076878,5
Hoholitna,Q3,10.76273636256134,4.218445948249102,5
Hoholitna,Q4,8.748215112561208,1.5646179752039557,5
Holitna and Hoholitna,Q1,5.721196926694498,0.7463832876224452,5
Holitna and Hoholitna,Q2,8.944151824788637,2.821955658102166,5
Holitna and Hoholitna,Q3,11.69911158689164,4.5983903274974,5
Holitna and Hoholitna,Q4,11.477715626183786,1.9305933288623078,5
Holokuk,Q1,0.8154805371279265,0.1045316280123026,5
Holokuk,Q2,0.9619690535112786,0.2983938335850596,5
Holokuk,Q3,1.286257582520114,0.5118772583468698,5
Holokuk,Q4,1.5107804757953036,0.2235596779657614,5
Kisaralik,Q1,4.779979530438842,0.603062720119978,5
Kisaralik,Q2,5.73192723990127,1.799636022862914,5
Kisaralik,Q3,6.395523163712876,2.538961848428562,5
Kisaralik,Q4,8.035590809664793,1.176639670568653,5
Kwethluk,Q1,12.237359271127547,1.64085458448847,5
Kwethluk,Q2,8.750321305027542,2.70004393102014,5
Kwethluk,Q3,5.185413366644554,2.006727821244828,5
Kwethluk,Q4,4.176558772553062,0.7354454524715478,5
Lower Kusko,Q1,0.19076202869079498,0.0253379741033694,5
Lower Kusko,Q2,0.2181894217269158,0.068908344746433,5
Lower Kusko,Q3,0.2557378686318788,0.1004158501260438,5
Lower Kusko,Q4,0.2531725547654942,0.0400916667632602,5
Middle Kusko Main,Q1,6.2267816945137495,0.815213816381983,5
Middle Kusko Main,Q2,6.870346653139876,2.125101550923588,5
Middle Kusko Main,Q3,7.438271373499644,2.944526084751558,5
Middle Kusko Main,Q4,8.218641888842411,1.2481015785456802,5
N. Fork Kusko,Q1,1.0158144027468585,0.1329092889434212,5
N. Fork Kusko,Q2,0.508337328293493,0.153544814207695,5
N. Fork Kusko,Q3,0.2104442225550766,0.08105219403115241,5
N. Fork Kusko,Q4,0.1691849119444356,0.029428913470186845,5
Oskakawlik,Q1,0.9099022110849778,0.1157426058885338,5
Oskakawlik,Q2,1.1665945129627637,0.3689987674728222,5
Oskakawlik,Q3,1.516059785839406,0.5979499715197968,5
Oskakawlik,Q4,1.7195477905755359,0.2711015796960418,5
S. Fork Kusko,Q1,2.293679315446956,0.30788513678530643,5
S. Fork Kusko,Q2,1.775788903890506,0.5512630435606654,5
S. Fork Kusko,Q3,1.211282569340282,0.469740433141427,5
S. Fork Kusko,Q4,0.9786812764729321,0.171002571241504,5
Stony,Q1,11.393806041744506,1.514359120458676,5
Stony,Q2,11.59190248269844,3.610577823831214,5
Stony,Q3,11.67504413370038,4.581182090991202,5
Stony,Q4,11.15260496812452,1.8396007613241308,5
Swift,Q1,2.742599702896872,0.3591233903357152,5
Swift,Q2,3.926169400834236,1.2478187842683852,5
Swift,Q3,5.422267402782046,2.1782774333356043,5
Swift,Q4,6.286649732055758,0.9108471925568146,5
Takotna and Nixon Fork,Q1,4.238531813933694,0.5776010465818741,5
Takotna and Nixon Fork,Q2,5.458191274583002,1.707320236795546,5
Takotna and Nixon Fork,Q3,5.888388267906398,2.31074667536224,5
Takotna and Nixon Fork,Q4,4.936970060796222,0.8407014530316989,5
Tatlawiksuk,Q1,5.526217713612842,0.7381045676168182,5
Tatlawiksuk,Q2,3.637882579108462,1.1241997484639161,5
Tatlawiksuk,Q3,1.90703731410675,0.7337572420423876,5
Tatlawiksuk,Q4,1.5857047222456762,0.2809829274233854,5
Tuluksak,Q1,3.621345482801248,0.45887124473874963,5
Tuluksak,Q2,4.341545026646616,1.3674128067208016,5
Tuluksak,Q3,5.929213116202316,2.337734711851044,5
Tuluksak,Q4,6.6425170561344355,1.0465172320131375,5
Upper Kusko Main,Q1,9.620768457396444,1.2892836752582852,5
Upper Kusko Main,Q2,7.90545291998033,2.458251237060066,5
Upper Kusko Main,Q3,6.1120543464022346,2.379260902562852,5
Upper Kusko Main,Q4,5.131249266525438,0.9047916240628449,5
