"k","wss","between_ss","silhouette","wss_decrease","wss_pct_decrease"
2,5048.96794291026,9031.03205708974,0.554632987836969,NA,NA
3,2527.89826948606,11552.1017305139,0.556154211029283,2521.0696734242,49.9323763179023
4,1302.05302268553,12777.9469773145,0.595394485333016,1225.84524680053,48.4926652942309
5,781.679885280262,13298.3201147197,0.596460036068423,520.373137405268,39.9655872947463
6,598.744195621482,13481.2558043785,0.554995716730526,182.93568965878,23.4028907617586
7,456.485152112006,13623.514847888,0.543161812326929,142.259043509476,23.7595695373405
8,332.531708724156,13747.4682912758,0.561801070491408,123.95344338785,27.153882840298
9,253.396007751739,13826.6039922483,0.562367332671527,79.1357009724164,23.7979413379979
10,203.184432468371,13876.8155675316,0.570594873670417,50.2115752833685,19.8154563400077
