"mgmt_river","total_production","total_stream_length","edge_count","percent_of_total_run","production_per_meter","production_per_meter_norm","grand_total_production","year","quartile","watershed"
"Holitna and Hoholitna",2379.7457552945,1503589.57361482,477,2.8528867055615,0.0015827096682862,0.696721575076268,83415.3613830985,"2018","Q2","Kusko"
"Holokuk",182.581030234785,94046.4282567086,21,0.218881782932345,0.00194139249750573,0.854616652571586,83415.3613830985,"2018","Q2","Kusko"
"Johnson",1528.06160952951,921707.3443104,200,1.83187075401093,0.00165785986079212,0.729803296594213,83415.3613830985,"2018","Q2","Kusko"
"Kisaralik",1067.34547559994,739566.396599419,237,1.27955505784838,0.00144320439720852,0.635310228355973,83415.3613830985,"2018","Q2","Kusko"
"Kwethluk",1467.2352639073,794547.289014045,166,1.75895091692858,0.00184663050795629,0.812901659645728,83415.3613830985,"2018","Q2","Kusko"
"N. Fork Kusko",827.302856928944,1363687.88890357,177,0.991787175900877,0.000606665838760295,0.267059200556804,83415.3613830985,"2018","Q2","Kusko"
"Oskakawlik",259.03099496445,163017.522868541,25,0.310531526411315,0.0015889763898163,0.69948023649251,83415.3613830985,"2018","Q2","Kusko"
"Stony",2100.98046853224,1169153.03736501,299,2.51869731629304,0.00179701065761874,0.791058600887098,83415.3613830985,"2018","Q2","Kusko"
"Swift",1092.31229160358,819725.225840815,277,1.30948577515232,0.00133253468012182,0.586592525326217,83415.3613830985,"2018","Q2","Kusko"
"Takotna and Nixon Fork",1240.73522989344,891604.682860539,127,1.48741815574612,0.00139157549724031,0.612582769728482,83415.3613830985,"2018","Q2","Kusko"
"Tuluksak",1100.97729511489,635326.11331816,189,1.31987355429472,0.00173293253973891,0.762850896017575,83415.3613830985,"2018","Q2","Kusko"
"Aniak",1581.63243027067,597537.247825793,165,1.89609252306271,0.0026469185578399,0.747535045475331,83415.3613830985,"2018","Q3","Kusko"
"Big River",1746.90670210907,868496.235729844,166,2.09422661862738,0.00201141539852623,0.568058090398577,83415.3613830985,"2018","Q3","Kusko"
"E. Fork Kuskokwim",618.932661934072,482279.000693317,81,0.741988827563216,0.00128334980590966,0.362439921953754,83415.3613830985,"2018","Q3","Kusko"
"Holitna and Hoholitna",4772.93039289955,1503589.57361482,477,5.7218842114453,0.00317435720269384,0.896492734482622,83415.3613830985,"2018","Q3","Kusko"
"Holokuk",286.209974387337,94046.4282567086,21,0.34311422937182,0.00304328383004722,0.859475373562398,83415.3613830985,"2018","Q3","Kusko"
"Johnson",2572.79396125979,921707.3443104,200,3.08431674765972,0.00279133499059258,0.788320714647286,83415.3613830985,"2018","Q3","Kusko"
"Kisaralik",2150.09645411316,739566.396599419,237,2.57757854004671,0.00290723924721223,0.821054057910276,83415.3613830985,"2018","Q3","Kusko"
"Kwethluk",1915.67130314616,794547.289014045,166,2.29654499049418,0.00241102238926939,0.680913935212038,83415.3613830985,"2018","Q3","Kusko"
"N. Fork Kusko",767.764495307111,1363687.88890357,177,0.920411399743302,0.000563006023265635,0.159002524636883,83415.3613830985,"2018","Q3","Kusko"
"Oskakawlik",341.170485695874,163017.522868541,25,0.409001987210717,0.002092845478771,0.591055336973672,83415.3613830985,"2018","Q3","Kusko"
"Stony",3714.58171252022,1169153.03736501,299,4.4531146912622,0.00317715610686176,0.897283192862329,83415.3613830985,"2018","Q3","Kusko"
"Swift",2039.75495797077,819725.225840815,277,2.44529895231511,0.00248833986520122,0.702749712030915,83415.3613830985,"2018","Q3","Kusko"
"Takotna and Nixon Fork",1118.86260796649,891604.682860539,127,1.3413148242899,0.00125488641936787,0.354401375059338,83415.3613830985,"2018","Q3","Kusko"
"Tuluksak",2249.60219564398,635326.11331816,189,2.69686800889386,0.0035408621627322,1,83415.3613830985,"2018","Q3","Kusko"
"Aniak",261.613042449253,597537.247825793,165,0.313626936467676,0.000437818802762776,0.683304391857349,83415.3613830985,"2018","Q4","Kusko"
"Big River",170.967846020896,868496.235729844,166,0.204959665924959,0.000196855022494395,0.307231897261571,83415.3613830985,"2018","Q4","Kusko"
"E. Fork Kuskokwim",63.1945522986797,482279.000693317,81,0.0757588905099248,0.000131033182468721,0.204503663376092,83415.3613830985,"2018","Q4","Kusko"
"Holitna and Hoholitna",963.406345416936,1503589.57361482,477,1.15495075420502,0.000640737580469375,1,83415.3613830985,"2018","Q4","Kusko"
"Holokuk",44.8644501176821,94046.4282567086,21,0.0537843981897229,0.000477045762920632,0.744525961113706,83415.3613830985,"2018","Q4","Kusko"
"Johnson",460.247116262834,921707.3443104,200,0.551753428423183,0.000499341921385231,0.779323605491402,83415.3613830985,"2018","Q4","Kusko"
"Kisaralik",385.21223995876,739566.396599419,237,0.461800121190641,0.000520862280560602,0.812910458879346,83415.3613830985,"2018","Q4","Kusko"
"Kwethluk",285.907689680403,794547.289014045,166,0.342751844432257,0.000359837222571341,0.561598435209217,83415.3613830985,"2018","Q4","Kusko"
"N. Fork Kusko",74.2773044943006,1363687.88890357,177,0.0890451150276388,5.44679652130816e-05,0.0850082262588388,83415.3613830985,"2018","Q4","Kusko"
"Oskakawlik",47.7850585345697,163017.522868541,25,0.0572856818483458,0.000293128356349177,0.457485818350852,83415.3613830985,"2018","Q4","Kusko"
"Stony",665.017302198515,1169153.03736501,299,0.797236014052995,0.000568802612613747,0.887730999322793,83415.3613830985,"2018","Q4","Kusko"
"Swift",413.49739473424,819725.225840815,277,0.495708929240486,0.000504434146588698,0.787271048186643,83415.3613830985,"2018","Q4","Kusko"
"Takotna and Nixon Fork",113.992493133639,891604.682860539,127,0.136656475790005,0.000127850935874312,0.199537126854108,83415.3613830985,"2018","Q4","Kusko"
"Tuluksak",399.738147128893,635326.11331816,189,0.479214068609055,0.00062918576578122,0.981971067344461,83415.3613830985,"2018","Q4","Kusko"
"Aniak",410.841623557419,597537.247825793,165,0.449793301081341,0.000687558181606774,0.527582983379513,91340.0938986243,"2019","Q1","Kusko"
"Big River",1131.84411056183,868496.235729844,166,1.23915365339785,0.00130322281663164,1,91340.0938986243,"2019","Q1","Kusko"
"E. Fork Kuskokwim",412.301714639827,482279.000693317,81,0.451391822628767,0.00085490289655388,0.655991351320485,91340.0938986243,"2019","Q1","Kusko"
"Holitna and Hoholitna",1108.25567577193,1503589.57361482,477,1.21332881155339,0.000737073264685883,0.565577317462067,91340.0938986243,"2019","Q1","Kusko"
"Holokuk",98.8956293010568,94046.4282567086,21,0.1082718717268,0.00105156177788179,0.806893314375585,91340.0938986243,"2019","Q1","Kusko"
"Johnson",814.230556225619,921707.3443104,200,0.891427325583122,0.000883393803089208,0.677853235697991,91340.0938986243,"2019","Q1","Kusko"
"Kisaralik",494.604217077485,739566.396599419,237,0.541497381890621,0.000668775946759766,0.513170839418166,91340.0938986243,"2019","Q1","Kusko"
"Kwethluk",849.780734365995,794547.289014045,166,0.930347997352774,0.00106951561740332,0.820669807000183,91340.0938986243,"2019","Q1","Kusko"
"N. Fork Kusko",427.91219500173,1363687.88890357,177,0.468482324395963,0.000313790419702105,0.240780329884907,91340.0938986243,"2019","Q1","Kusko"
"Oskakawlik",163.178672481594,163017.522868541,25,0.178649556308428,0.00100098854166238,0.768087029238462,91340.0938986243,"2019","Q1","Kusko"
"Stony",1063.17717713012,1169153.03736501,299,1.16397644424376,0.000909356725041115,0.697775325474636,91340.0938986243,"2019","Q1","Kusko"
"Swift",537.987453193199,819725.225840815,277,0.588993759728664,0.000656302180576876,0.503599363210337,91340.0938986243,"2019","Q1","Kusko"
"Takotna and Nixon Fork",682.819545634884,891604.682860539,127,0.747557306425288,0.000765832166161568,0.587644841993303,91340.0938986243,"2019","Q1","Kusko"
"Tuluksak",450.488593188225,635326.11331816,189,0.49319917898071,0.000709066704082771,0.544087085518846,91340.0938986243,"2019","Q1","Kusko"
"Aniak",625.90976782325,597537.247825793,165,0.685251942611236,0.00104748242908822,0.615475556306695,91340.0938986243,"2019","Q2","Kusko"
"Big River",1478.10020614847,868496.235729844,166,1.61823810668398,0.00170190744109138,1,91340.0938986243,"2019","Q2","Kusko"
"E. Fork Kuskokwim",514.028604551668,482279.000693317,81,0.562763385290772,0.00106583244099931,0.626257583265417,91340.0938986243,"2019","Q2","Kusko"
"Holitna and Hoholitna",1718.20522275908,1503589.57361482,477,1.88110735321344,0.00114273552631009,0.671443992028902,91340.0938986243,"2019","Q2","Kusko"
"Holokuk",128.739288632547,94046.4282567086,21,0.140944992650687,0.00136889078106338,0.804327396433238,91340.0938986243,"2019","Q2","Kusko"
"Johnson",1151.11596233012,921707.3443104,200,1.26025265926232,0.00124889529136968,0.733820924226532,91340.0938986243,"2019","Q2","Kusko"
"Kisaralik",795.545903971669,739566.396599419,237,0.870971191309068,0.00107569233490008,0.632051020477516,91340.0938986243,"2019","Q2","Kusko"
"Kwethluk",1090.40939387511,794547.289014045,166,1.19379053308761,0.00137236563380412,0.806369136575413,91340.0938986243,"2019","Q2","Kusko"
"N. Fork Kusko",592.592506286565,1363687.88890357,177,0.648775889090136,0.000434551418332987,0.255331992704799,91340.0938986243,"2019","Q2","Kusko"
"Oskakawlik",213.235201262971,163017.522868541,25,0.233451918168197,0.00130805080037271,0.768579282745188,91340.0938986243,"2019","Q2","Kusko"
"Stony",1573.04584081696,1169153.03736501,299,1.72218548687155,0.00134545760096747,0.790558621745419,91340.0938986243,"2019","Q2","Kusko"
"Swift",786.583259492853,819725.225840815,277,0.861158803236899,0.000959569419967566,0.563819980334669,91340.0938986243,"2019","Q2","Kusko"
"Takotna and Nixon Fork",903.035717741336,891604.682860539,127,0.988652057598702,0.00101282074343096,0.595109181014845,91340.0938986243,"2019","Q2","Kusko"
"Tuluksak",836.207080460032,635326.11331816,189,0.915487432482951,0.00131618559812176,0.773359094826996,91340.0938986243,"2019","Q2","Kusko"
"Aniak",1350.52267239207,597537.247825793,165,1.47856501427617,0.00226014809504528,0.676315034499463,91340.0938986243,"2019","Q3","Kusko"
"Big River",1798.80950477743,868496.235729844,166,1.9693536846742,0.00207117708836791,0.619768327148483,91340.0938986243,"2019","Q3","Kusko"
"E. Fork Kuskokwim",576.188126854864,482279.000693317,81,0.630816219101284,0.00119471950059311,0.357501688509763,91340.0938986243,"2019","Q3","Kusko"
"Holitna and Hoholitna",4056.77331504268,1503589.57361482,477,4.44139385223883,0.00269805895586898,0.807353217172063,91340.0938986243,"2019","Q3","Kusko"
"Holokuk",234.84334429031,94046.4282567086,21,0.257108717833108,0.00249710008815308,0.747219324242569,91340.0938986243,"2019","Q3","Kusko"
"Johnson",2224.23175917519,921707.3443104,200,2.4351099985115,0.00241316484338021,0.72210297541183,91340.0938986243,"2019","Q3","Kusko"
"Kisaralik",1860.9958200597,739566.396599419,237,2.03743585169199,0.0025163336633691,0.752974679882443,91340.0938986243,"2019","Q3","Kusko"
"Kwethluk",1717.93510329108,794547.289014045,166,1.88081162386122,0.00216215589310344,0.646992354458161,91340.0938986243,"2019","Q3","Kusko"
"N. Fork Kusko",725.508669595874,1363687.88890357,177,0.794293763701508,0.000532019588572568,0.159198791967939,91340.0938986243,"2019","Q3","Kusko"
"Oskakawlik",315.492559335534,163017.522868541,25,0.345404242397309,0.00193532912158131,0.579117883690652,91340.0938986243,"2019","Q3","Kusko"
"Stony",3334.33909782847,1169153.03736501,299,3.65046602812688,0.00285192698583179,0.85339589119895,91340.0938986243,"2019","Q3","Kusko"
"Swift",1598.1460570822,819725.225840815,277,1.74966544139525,0.00194961190250421,0.583391789234183,91340.0938986243,"2019","Q3","Kusko"
"Takotna and Nixon Fork",1080.0390838772,891604.682860539,127,1.18243701947133,0.00121134299161834,0.362476016046473,91340.0938986243,"2019","Q3","Kusko"
"Tuluksak",2123.16898412777,635326.11331816,189,2.32446551509374,0.0033418569449931,1,91340.0938986243,"2019","Q3","Kusko"
"Aniak",781.017212909961,597537.247825793,165,0.855065042714746,0.00130706029749908,0.651776764779184,91340.0938986243,"2019","Q4","Kusko"
"Big River",879.699025827996,868496.235729844,166,0.963102826240082,0.00101289906580739,0.505090757804359,91340.0938986243,"2019","Q4","Kusko"
"E. Fork Kuskokwim",270.061185954507,482279.000693317,81,0.295665544480653,0.00055996878480355,0.279233210307841,91340.0938986243,"2019","Q4","Kusko"
"Holitna and Hoholitna",2398.54047276507,1503589.57361482,477,2.62594482925224,0.00159520956706203,0.795464855564725,91340.0938986243,"2019","Q4","Kusko"
"Holokuk",123.816351829885,94046.4282567086,21,0.135555314807652,0.00131654496746986,0.656506376351341,91340.0938986243,"2019","Q4","Kusko"
"Johnson",1298.27460500779,921707.3443104,200,1.42136333519507,0.00140855404160757,0.702387485881288,91340.0938986243,"2019","Q4","Kusko"
"Kisaralik",1082.95445814694,739566.396599419,237,1.18562879883711,0.00146430998369646,0.730190661925611,91340.0938986243,"2019","Q4","Kusko"
"Kwethluk",917.544688262735,794547.289014045,166,1.00453661595869,0.00115480186132322,0.575851797024503,91340.0938986243,"2019","Q4","Kusko"
"N. Fork Kusko",347.084984545571,1363687.88890357,177,0.379991928769846,0.000254519371602422,0.126918255350629,91340.0938986243,"2019","Q4","Kusko"
"Oskakawlik",174.327710730657,163017.522868541,25,0.190855628990417,0.00106938019706775,0.533255555613905,91340.0938986243,"2019","Q4","Kusko"
"Stony",1910.4463081241,1169153.03736501,299,2.09157471443422,0.00163404297561403,0.814829465934883,91340.0938986243,"2019","Q4","Kusko"
"Swift",951.413324422395,819725.225840815,277,1.04161631963981,0.00116064907414128,0.578767559564936,91340.0938986243,"2019","Q4","Kusko"
"Takotna and Nixon Fork",531.415943727131,891604.682860539,127,0.581799208917974,0.000596021929833507,0.297211418560897,91340.0938986243,"2019","Q4","Kusko"
"Tuluksak",1274.07048479843,635326.11331816,189,1.39486443512143,0.00200538032057939,1,91340.0938986243,"2019","Q4","Kusko"
"Aniak",303.584934968895,597537.247825793,165,0.321542675867591,0.000508060269169033,0.369353116049335,94415.1298578823,"2020","Q1","Kusko"
"Big River",1194.65197970134,868496.235729844,166,1.26531836740529,0.00137554076869131,1,94415.1298578823,"2020","Q1","Kusko"
"E. Fork Kuskokwim",338.152934025276,482279.000693317,81,0.358155450862884,0.00070115624677656,0.509731345471963,94415.1298578823,"2020","Q1","Kusko"
"Holitna and Hoholitna",1020.72504749915,1503589.57361482,477,1.08110326071212,0.000678858822521095,0.493521412067605,94415.1298578823,"2020","Q1","Kusko"
"Holokuk",67.1691594798414,94046.4282567086,21,0.0711423683692935,0.000714212764109413,0.519223261400616,94415.1298578823,"2020","Q1","Kusko"
"Johnson",715.840771080962,921707.3443104,200,0.758184384386778,0.000776646487087002,0.56461175471077,94415.1298578823,"2020","Q1","Kusko"
"Kisaralik",388.609226372641,739566.396599419,237,0.411596347913297,0.000525455494137503,0.381999215215861,94415.1298578823,"2020","Q1","Kusko"
"Kwethluk",761.934763834385,794547.289014045,166,0.807004941878787,0.000958954582526951,0.697147336054096,94415.1298578823,"2020","Q1","Kusko"
"N. Fork Kusko",410.86501589826,1363687.88890357,177,0.435168618119481,0.000301289627371114,0.219033586083938,94415.1298578823,"2020","Q1","Kusko"
"Oskakawlik",124.946711314361,163017.522868541,25,0.132337594093696,0.00076646184481112,0.557207654077989,94415.1298578823,"2020","Q1","Kusko"
"Stony",891.069149701419,1169153.03736501,299,0.943777921020386,0.000762149283475904,0.554072478855725,94415.1298578823,"2020","Q1","Kusko"
"Swift",472.164003713145,819725.225840815,277,0.500093580789294,0.000576002773647515,0.418746420868008,94415.1298578823,"2020","Q1","Kusko"
"Takotna and Nixon Fork",607.173684267124,891604.682860539,127,0.643089391690789,0.000680989788343334,0.495070596119974,94415.1298578823,"2020","Q1","Kusko"
"Tuluksak",439.910614133317,635326.11331816,189,0.46593232969704,0.000692417020033643,0.503378042871393,94415.1298578823,"2020","Q1","Kusko"
"Aniak",745.552813598306,597537.247825793,165,0.789653961945023,0.00124770935420526,0.63843811127093,94415.1298578823,"2020","Q2","Kusko"
"Big River",1697.31546140786,868496.235729844,166,1.79771553983215,0.0019543152768895,1,94415.1298578823,"2020","Q2","Kusko"
"E. Fork Kuskokwim",553.78671585328,482279.000693317,81,0.586544462404345,0.0011482704307199,0.587556390874403,94415.1298578823,"2020","Q2","Kusko"
"Holitna and Hoholitna",2230.13806097232,1503589.57361482,477,2.36205581068332,0.00148320931463417,0.758940654137881,94415.1298578823,"2020","Q2","Kusko"
"Holokuk",168.06616636537,94046.4282567086,21,0.178007663197996,0.0017870552819573,0.914415039932346,94415.1298578823,"2020","Q2","Kusko"
"Johnson",1520.08805989832,921707.3443104,200,1.61000473354897,0.00164920901333992,0.843880735540692,94415.1298578823,"2020","Q2","Kusko"
"Kisaralik",1005.39174537806,739566.396599419,237,1.06486295881965,0.00135943405487449,0.695606318463708,94415.1298578823,"2020","Q2","Kusko"
"Kwethluk",1366.15315174943,794547.289014045,166,1.44696422470193,0.00171941075205818,0.879802134482008,94415.1298578823,"2020","Q2","Kusko"
"N. Fork Kusko",630.981065629645,1363687.88890357,177,0.668305033927745,0.000462701964843996,0.23675911983886,94415.1298578823,"2020","Q2","Kusko"
"Oskakawlik",275.627809612685,163017.522868541,25,0.291931822820741,0.00169078639377286,0.865155389085394,94415.1298578823,"2020","Q2","Kusko"
"Stony",2045.42907588667,1169153.03736501,299,2.1664208681019,0.00174949643931694,0.895196624621104,94415.1298578823,"2020","Q2","Kusko"
