"mgmt_river","total_production","total_stream_length","edge_count","percent_of_total_run","production_per_meter","production_per_meter_norm","grand_total_production","year","quartile","watershed"
"Aniak",314.043543743912,597537.247825793,165,0.355726633914491,0.000525563125791062,0.674521969236761,88282.2689681992,"2017","Q1","Kusko"
"Big River",676.700859579758,868496.235729844,166,0.766519559916973,0.000779163837147884,1,88282.2689681992,"2017","Q1","Kusko"
"E. Fork Kuskokwim",234.670960313249,482279.000693317,81,0.265818904584092,0.000486587556115629,0.624499666073794,88282.2689681992,"2017","Q1","Kusko"
"Holitna and Hoholitna",875.525589758067,1503589.57361482,477,0.991734353897776,0.000582290277295017,0.747327133952316,88282.2689681992,"2017","Q1","Kusko"
"Holokuk",57.5443818867634,94046.4282567086,21,0.0651822642975929,0.000611872060996199,0.785293197430654,88282.2689681992,"2017","Q1","Kusko"
"Johnson",563.888208718827,921707.3443104,200,0.638733253357987,0.000611786606887368,0.785183523309813,88282.2689681992,"2017","Q1","Kusko"
"Kisaralik",387.58072732982,739566.396599419,237,0.439024429095081,0.000524064815697339,0.672598997427383,88282.2689681992,"2017","Q1","Kusko"
"Kwethluk",498.625191428272,794547.289014045,166,0.564807856952437,0.000627558860652607,0.805426061545381,88282.2689681992,"2017","Q1","Kusko"
"N. Fork Kusko",264.069954754225,1363687.88890357,177,0.299120036039568,0.000193643983277245,0.24852793988242,88282.2689681992,"2017","Q1","Kusko"
"Oskakawlik",106.820618627716,163017.522868541,25,0.120998950158604,0.000655270775485023,0.840992284605547,88282.2689681992,"2017","Q1","Kusko"
"Stony",777.510329596479,1169153.03736501,299,0.880709499975076,0.000665020151124784,0.853504897710704,88282.2689681992,"2017","Q1","Kusko"
"Swift",402.296184513125,819725.225840815,277,0.455693073156105,0.000490769555250027,0.629866957181279,88282.2689681992,"2017","Q1","Kusko"
"Takotna and Nixon Fork",408.67727202028,891604.682860539,127,0.462921124249189,0.000458361513657734,0.58827359767563,88282.2689681992,"2017","Q1","Kusko"
"Tuluksak",385.994766407772,635326.11331816,189,0.437227963122259,0.00060755375596292,0.779750967635845,88282.2689681992,"2017","Q1","Kusko"
"Aniak",1347.72757938309,597537.247825793,165,1.52661184984786,0.00225547040671849,0.73412777200709,88282.2689681992,"2017","Q2","Kusko"
"Big River",2635.11011801607,868496.235729844,166,2.98486904427579,0.00303410655061924,0.987564224032061,88282.2689681992,"2017","Q2","Kusko"
"E. Fork Kuskokwim",829.069119082092,482279.000693317,81,0.939111702465121,0.00171906534991205,0.559534548316971,88282.2689681992,"2017","Q2","Kusko"
"Holitna and Hoholitna",3973.07715155999,1503589.57361482,477,4.50042482821908,0.00264239472079353,0.860066859383792,88282.2689681992,"2017","Q2","Kusko"
"Holokuk",225.902342214218,94046.4282567086,21,0.25588642527481,0.00240203000158173,0.781831110753066,88282.2689681992,"2017","Q2","Kusko"
"Johnson",2348.77999481864,921707.3443104,200,2.66053424121294,0.00254829258909285,0.82943777727269,88282.2689681992,"2017","Q2","Kusko"
"Kisaralik",1804.16993187137,739566.396599419,237,2.043637927477,0.00243949690003099,0.7940261236429,88282.2689681992,"2017","Q2","Kusko"
"Kwethluk",2015.81398254311,794547.289014045,166,2.28337355405902,0.00253705979545225,0.825781641619469,88282.2689681992,"2017","Q2","Kusko"
"N. Fork Kusko",962.492362700268,1363687.88890357,177,1.09024425170469,0.000705801063815361,0.229729532657831,88282.2689681992,"2017","Q2","Kusko"
"Oskakawlik",371.693202474629,163017.522868541,25,0.42102814848191,0.00228008128165686,0.742138307960847,88282.2689681992,"2017","Q2","Kusko"
"Stony",3263.80287298663,1169153.03736501,299,3.69700837000724,0.00279159594054723,0.908630014418881,88282.2689681992,"2017","Q2","Kusko"
"Swift",1762.19183473311,819725.225840815,277,1.99608806539383,0.00214973478817317,0.699712133551695,88282.2689681992,"2017","Q2","Kusko"
"Takotna and Nixon Fork",1522.41217983479,891604.682860539,127,1.72448238771841,0.00170749684148184,0.555769141644369,88282.2689681992,"2017","Q2","Kusko"
"Tuluksak",1951.92077162114,635326.11331816,189,2.21099977881657,0.00307231314863907,1,88282.2689681992,"2017","Q2","Kusko"
"Aniak",987.265136176604,597537.247825793,165,1.11830512255211,0.00165222358902124,0.723319956830778,88282.2689681992,"2017","Q3","Kusko"
"Big River",1394.22754771506,868496.235729844,166,1.57928377239295,0.00160533516480174,0.702792872477505,88282.2689681992,"2017","Q3","Kusko"
"E. Fork Kuskokwim",474.091398588762,482279.000693317,81,0.537017686710723,0.000983023100543907,0.430353513515862,88282.2689681992,"2017","Q3","Kusko"
"Holitna and Hoholitna",2965.27181814165,1503589.57361482,477,3.35885320211898,0.00197212847852674,0.863369761472624,88282.2689681992,"2017","Q3","Kusko"
"Holokuk",176.235045071034,94046.4282567086,21,0.199626773451549,0.00187391534519507,0.820373450420222,88282.2689681992,"2017","Q3","Kusko"
"Johnson",1644.38592275141,921707.3443104,200,1.86264574072484,0.00178406511882761,0.781038300934884,88282.2689681992,"2017","Q3","Kusko"
"Kisaralik",1317.74635886879,739566.396599419,237,1.49265121328436,0.00178178235913352,0.780038941251148,88282.2689681992,"2017","Q3","Kusko"
"Kwethluk",1275.02599609469,794547.289014045,166,1.44426056443336,0.00160472008868958,0.70252360091532,88282.2689681992,"2017","Q3","Kusko"
"N. Fork Kusko",589.431654922919,1363687.88890357,177,0.667667088546674,0.000432233548247488,0.189225691690066,88282.2689681992,"2017","Q3","Kusko"
"Oskakawlik",231.125642706608,163017.522868541,25,0.261803015948609,0.00141779631195225,0.620691033568675,88282.2689681992,"2017","Q3","Kusko"
"Stony",2367.0921466091,1169153.03736501,299,2.68127697019405,0.00202462130359252,0.886350372700307,88282.2689681992,"2017","Q3","Kusko"
"Swift",1220.4044933485,819725.225840815,277,1.38238913386799,0.00148879704427382,0.651774143009217,88282.2689681992,"2017","Q3","Kusko"
"Takotna and Nixon Fork",840.302693820788,891604.682860539,127,0.951836312820053,0.000942461059227327,0.412596029499151,88282.2689681992,"2017","Q3","Kusko"
"Tuluksak",1451.22608775334,635326.11331816,189,1.64384774509601,0.00228422231879298,1,88282.2689681992,"2017","Q3","Kusko"
"Aniak",436.066083641372,597537.247825793,165,0.493945260739107,0.000729772219603125,0.700931409144284,88282.2689681992,"2017","Q4","Kusko"
"Big River",395.608648354481,868496.235729844,166,0.448117898393602,0.000455509917117867,0.437508032654708,88282.2689681992,"2017","Q4","Kusko"
"E. Fork Kuskokwim",127.856820108991,482279.000693317,81,0.144827292731961,0.000265109656288551,0.254632445533687,88282.2689681992,"2017","Q4","Kusko"
"Holitna and Hoholitna",1430.04955113313,1503589.57361482,477,1.61986044066025,0.000951090361510767,0.913502993687311,88282.2689681992,"2017","Q4","Kusko"
"Holokuk",65.6356386597595,94046.4282567086,21,0.0743474759165995,0.000697906766651475,0.6703252881651,88282.2689681992,"2017","Q4","Kusko"
"Johnson",686.742087273637,921707.3443104,200,0.777893562659806,0.000745076071610823,0.715630448467711,88282.2689681992,"2017","Q4","Kusko"
"Kisaralik",602.457582676892,739566.396599419,237,0.682421951449739,0.000814609189177654,0.782415596996412,88282.2689681992,"2017","Q4","Kusko"
"Kwethluk",451.53462733787,794547.289014045,166,0.511466948703505,0.000568291697147667,0.545832643921878,88282.2689681992,"2017","Q4","Kusko"
"N. Fork Kusko",162.560498491891,1363687.88890357,177,0.184137200359506,0.000119206527985368,0.11449545131414,88282.2689681992,"2017","Q4","Kusko"
"Oskakawlik",76.132173382291,163017.522868541,25,0.0862372187213666,0.000467018342829838,0.448561642033962,88282.2689681992,"2017","Q4","Kusko"
"Stony",1028.45596761421,1169153.03736501,299,1.16496322493102,0.000879658979402818,0.844894600584491,88282.2689681992,"2017","Q4","Kusko"
"Swift",615.307351861397,819725.225840815,277,0.696977274205585,0.000750626347054599,0.720961375410999,88282.2689681992,"2017","Q4","Kusko"
"Takotna and Nixon Fork",234.784309690073,891604.682860539,127,0.265947298856406,0.000263327811308498,0.252921019585705,88282.2689681992,"2017","Q4","Kusko"
"Tuluksak",661.467501440759,635326.11331816,189,0.749264273756978,0.0010411464090246,1,88282.2689681992,"2017","Q4","Kusko"
"Aniak",201.920349867063,597537.247825793,165,0.242066145274743,0.000337920942337525,0.430792312473162,83415.3613830985,"2018","Q1","Kusko"
"Big River",681.263471740123,868496.235729844,166,0.816712246334713,0.000784417299365287,1,83415.3613830985,"2018","Q1","Kusko"
"E. Fork Kuskokwim",218.024819847336,482279.000693317,81,0.261372505294344,0.00045207197396923,0.576315660471824,83415.3613830985,"2018","Q1","Kusko"
"Holitna and Hoholitna",620.705678099377,1503589.57361482,477,0.744114354727406,0.000412815896699206,0.526270770715074,83415.3613830985,"2018","Q1","Kusko"
"Holokuk",32.8619036213403,94046.4282567086,21,0.0393955059073792,0.000349422133625751,0.445454395139535,83415.3613830985,"2018","Q1","Kusko"
"Johnson",435.612830525577,921707.3443104,200,0.522221355039097,0.000472615123677345,0.602504717909411,83415.3613830985,"2018","Q1","Kusko"
"Kisaralik",261.53518979116,739566.396599419,237,0.313533605147399,0.000353633143682187,0.450822724037741,83415.3613830985,"2018","Q1","Kusko"
"Kwethluk",437.179175755932,794547.289014045,166,0.524099120961805,0.000550224236871324,0.70144327173373,83415.3613830985,"2018","Q1","Kusko"
"N. Fork Kusko",258.823190990063,1363687.88890357,177,0.310282406859542,0.000189796501894697,0.241958587665355,83415.3613830985,"2018","Q1","Kusko"
"Oskakawlik",90.5569169721135,163017.522868541,25,0.108561439368723,0.000555504189847982,0.708174322898627,83415.3613830985,"2018","Q1","Kusko"
"Stony",538.677732101675,1169153.03736501,299,0.645777615980959,0.00046074184891631,0.58736829145548,83415.3613830985,"2018","Q1","Kusko"
"Swift",326.811784238377,819725.225840815,277,0.391788489337643,0.000398684551769353,0.508255684942121,83415.3613830985,"2018","Q1","Kusko"
"Takotna and Nixon Fork",384.177364539271,891604.682860539,127,0.460559491884084,0.000430883071751836,0.549303377297372,83415.3613830985,"2018","Q1","Kusko"
"Tuluksak",239.504674900405,635326.11331816,189,0.287122984219227,0.000376979113371443,0.480584905096402,83415.3613830985,"2018","Q1","Kusko"
"Aniak",846.737705776266,597537.247825793,165,1.01508606057281,0.00141704589773644,0.623795045679703,83415.3613830985,"2018","Q2","Kusko"
"Big River",1972.92209446697,868496.235729844,166,2.36517838172038,0.0022716530173663,1,83415.3613830985,"2018","Q2","Kusko"
"E. Fork Kuskokwim",712.198985366257,482279.000693317,81,0.853798357469638,0.00147673646238466,0.650071314190735,83415.3613830985,"2018","Q2","Kusko"
