"HUC8","Name","total_production_all","total_production_window","huc_pct_of_total_run","huc_pct_in_window","protection_percentage","year","watershed","closure_start_date","closure_end_date","closure_start_doy","closure_end_doy","overall_window_pct"
"19030405","Stony River",15798.8157843867,413.421689068654,37.0479470451202,0.969466639332313,2.61678909806153,2017,"Kusko","06-01","06-11",153,163,3.73444642253238
"19030404","Holitna River",9799.24280726805,243.993123896254,22.9790532126288,0.572159613533514,2.48991813648382,2017,"Kusko","06-01","06-11",153,163,3.73444642253238
"19030502","Kuskokwim Delta",8672.91979462096,259.705350530432,20.3378454222647,0.60900451053391,2.99443966599926,2017,"Kusko","06-01","06-11",153,163,3.73444642253238
"19030501","Aniak",7576.10818099139,597.274010513878,17.7658413470999,1.40059712164077,7.88365208422513,2017,"Kusko","06-01","06-11",153,163,3.73444642253238
"19030403","Takotna River",696.341722277978,78.1321544914102,1.63290917524068,0.183218537491877,11.2203752829591,2017,"Kusko","06-01","06-11",153,163,3.73444642253238
"19030401","North Fork Kuskokwim River",99.6239629764479,0,0.23361645297643,0,0,2017,"Kusko","06-01","06-11",153,163,3.73444642253238
"19030407","South Fork Kuskokwim River",1.18864197530864,0,0.00278734466923535,0,0,2017,"Kusko","06-01","06-11",153,163,3.73444642253238
"19030406","Middle Fork Kuskokwim River",0,0,0,0,0,2017,"Kusko","06-01","06-11",153,163,3.73444642253238
"19030405","Stony River",14431.5080074371,2655.67583762793,34.9688579629263,6.4349443671257,18.4019288646715,2018,"Kusko","06-01","06-11",153,163,9.76115512943838
"19030502","Kuskokwim Delta",10878.3798722375,572.615189990122,26.3593049612691,1.38749874481999,5.26379108576158,2018,"Kusko","06-01","06-11",153,163,9.76115512943838
"19030404","Holitna River",8506.46190595705,198.04227470283,20.6119317539902,0.479874464343521,2.32813920631493,2018,"Kusko","06-01","06-11",153,163,9.76115512943838
"19030501","Aniak",6465.93533373909,534.036830804999,15.6675500693668,1.29401986776209,8.25923556671544,2018,"Kusko","06-01","06-11",153,163,9.76115512943838
"19030403","Takotna River",661.26536360121,0,1.60230618752088,0,0,2018,"Kusko","06-01","06-11",153,163,9.76115512943838
"19030401","North Fork Kuskokwim River",326.050093453034,68.0196004385518,0.790049064926711,0.164817685387068,20.8617024820297,2018,"Kusko","06-01","06-11",153,163,9.76115512943838
"19030406","Middle Fork Kuskokwim River",0,0,0,0,0,2018,"Kusko","06-01","06-11",153,163,9.76115512943838
"19030407","South Fork Kuskokwim River",0,0,0,0,0,2018,"Kusko","06-01","06-11",153,163,9.76115512943838
"19030405","Stony River",15961.4387571114,6590.9349949558,36.3446260869406,15.0077365581016,41.2928627252934,2019,"Kusko","06-01","06-11",153,163,24.246223646393
