"mgmt_river","X2017_QQ1","X2017_QQ2","X2017_QQ3","X2017_QQ4","X2019_QQ1","X2019_QQ2","X2019_QQ3","X2019_QQ4","X2020_QQ1","X2020_QQ2","X2020_QQ3","X2020_QQ4","X2021_QQ1","X2021_QQ2","X2021_QQ3","X2021_QQ4"
"Aniak",-1.12855598802379,1.49441445517893,0.579741980982678,-0.818924123236743,-0.917831585399447,-0.390366511175874,1.38678184706413,-0.00995796524930341,-1.20513352984306,-0.15648926411805,1.19113738043641,-0.240930126040307,-1.23022618095666,0.135999700678836,1.70971877678257,-0.399378867080328
"Big River",-1.1950838016117,2.38904045307509,0.118076251759485,-1.7095163226571,-0.431462320875384,0.181013663263882,0.748301129980089,-0.877469801715798,-0.389188735602992,0.470990254351472,1.162748170138,-0.415023313104563,0.208184281940909,0.440619571778214,0.355842549067222,-1.05707202978683
"E. Fork Kuskokwim",-1.10256029933362,2.08301671052623,0.180573291525377,-1.67501272763086,-0.224551766885038,0.30238493982683,0.624366020754546,-0.961345704174902,-0.665684723178185,0.414901296397286,1.57442223057444,-0.452789300794396,0.304652199157639,0.524643691141169,0.262578590352041,-1.18959444825856
"Holitna and Hoholitna",-1.18377861101898,1.57300083173373,0.676067570081094,-0.690259705285798,-1.00967176119459,-0.484997906537774,1.52662017141075,0.100221182225752,-1.11356142687859,-0.107116520225675,0.960904577139483,-0.28115823291216,-1.35096734167555,0.203562045861006,1.53332054764492,-0.352185420367613
"Johnson",-1.25661741890203,1.75569680518051,0.566909731828547,-1.04928020734871,-0.880124404664904,-0.330605532373432,1.41983355413767,-0.0905641120362728,-1.07864523309232,0.190495780072673,1.27360915811971,-0.384962981415607,-1.06259500580568,0.222876224495677,1.24959621809478,-0.545622576290612
"Kisaralik",-1.14412022771948,1.49029349853137,0.585697491882631,-0.744516351475664,-0.975882733963971,-0.434960993714768,1.48011108787874,0.0816358822164262,-1.1891509554448,-0.116634409617106,0.89746775922816,-0.189309449053608,-1.32840956940863,0.149982619424125,1.75426541630623,-0.316469065069649
"Kwethluk",-1.31628100026133,2.01365834380986,0.387770335582968,-1.41963578578141,-0.608000544410419,-0.0975471668512909,1.23364346742323,-0.464250671831174,-0.846993382410322,0.393009020793822,1.45035616584249,-0.489927583490199,-0.499998185169331,0.295482881910689,0.814132369939138,-0.845418265096737
"N. Fork Kusko",-1.18876556176865,2.03914347627624,0.314963357377542,-1.65791329756342,-0.497741256780138,0.237884344679136,0.831619757341514,-0.858795743756707,-0.633666325753311,0.317566273102485,1.42587609838376,-0.364728828580313,0.495229608738651,0.467031026601424,0.337764781267913,-1.26546770956613
"Oskakawlik",-1.14594486031047,1.88705366713364,0.277445018360732,-1.49735159288766,-0.563154236811696,-0.00915654675345183,1.12257075321736,-0.439762911309918,-1.03132238172994,0.582017464600961,1.47064992538326,-0.54916009852234,-0.588124303681831,0.0869774078832207,1.13053691185931,-0.733274216431163
"Stony",-1.2067918378947,1.58895619148622,0.580636694707945,-0.924612343436183,-0.925591923476922,-0.371456193240511,1.54275347416122,-0.00476243924235015,-1.14418363401058,0.0695375538619927,1.23010546783013,-0.283903938155152,-1.16268204583471,0.179894312114725,1.36838268413182,-0.536282023002948
"Swift",-1.20471482667091,1.77755383331052,0.589407221969714,-0.737578595662264,-0.946639163011521,-0.419716338874068,1.30046940213241,-0.070343094778613,-1.11875360044713,-0.136163131280069,1.00562520582281,-0.38311339307328,-1.23180764482084,0.309599974297795,1.60418864575258,-0.338014494667138
"Takotna and Nixon Fork",-1.16248763611058,2.19593015976379,0.139059516228502,-1.6868540855856,-0.404754145672549,0.237067164381057,0.752944500956991,-0.846020821020515,-0.682859469687824,0.418051219380987,1.42705307341177,-0.402047200746273,0.189497198837329,0.396466091184063,0.509357142937722,-1.08040270825885
"Tuluksak",-1.16797895830566,1.45603483099814,0.617023440724185,-0.706370777014039,-1.08517843068583,-0.460470004017567,1.62388937348802,0.248692163330388,-1.12551540519301,-0.27546678944424,0.87463841899357,-0.023056957864587,-1.29034608374173,0.0817670374764881,1.61826747005202,-0.385929328796148
