"Year","Total.HUC.Contribution...Stony River","Closure.Window.Contribution...Stony River","Stony River","Total.HUC.Contribution...Holitna River","Closure.Window.Contribution...Holitna River","Holitna River","Total.HUC.Contribution...Kuskokwim Delta","Closure.Window.Contribution...Kuskokwim Delta","Kuskokwim Delta","Total.HUC.Contribution...Aniak","Closure.Window.Contribution...Aniak","Aniak","Total.HUC.Contribution...Takotna River","Closure.Window.Contribution...Takotna River","Takotna River","Total.HUC.Contribution...North Fork Kuskokwim River","Closure.Window.Contribution...North Fork Kuskokwim River","North Fork Kuskokwim River","Total.HUC.Contribution...South Fork Kuskokwim River","Closure.Window.Contribution...South Fork Kuskokwim River","South Fork Kuskokwim River","Total.HUC.Contribution...Middle Fork Kuskokwim River","Closure.Window.Contribution...Middle Fork Kuskokwim River","Middle Fork Kuskokwim River"
2017,37.0479470451202,0.969466639332313,0.389532843607754,22.9790532126288,0.572159613533514,0.390040327454065,20.3378454222647,0.60900451053391,0.388022241336003,17.7658413470999,1.40059712164077,0.3684653916631,1.63290917524068,0.183218537491877,0.355118498868164,0.23361645297643,0,0.4,0.00278734466923535,0,0.4,0,0,0.4
2018,34.9688579629263,6.4349443671257,0.326392284541314,20.6119317539902,0.479874464343521,0.39068744317474,26.3593049612691,1.38749874481999,0.378944835656954,15.6675500693668,1.29401986776209,0.366963057733138,1.60230618752088,0,0.4,0.790049064926711,0.164817685387068,0.316553190071881,0,0,0.4,0,0,0.4
2019,36.3446260869406,15.0077365581016,0.234828549098826,29.7361922568662,3.66663826513899,0.350677770261021,16.535225643096,3.97054827684361,0.303949341544028,16.1785582294514,1.37564932678028,0.365988333267521,0.855671781337356,0,0.4,0.349726002308441,0.225651219528601,0.141910846732422,0,0,0.4,0,0,0.4
2020,43.0014846693282,8.28923489170433,0.322893500487746,25.1795387365497,1.0231832257931,0.383745798737641,18.8383160242966,1.14607156824158,0.375665095186567,10.8924761019058,2.68470475276976,0.301410671819604,1.77574119124877,0,0.4,0.312443276670996,0.07122982499529,0.308809271552615,0,0,0.4,0,0,0.4
2021,37.8895490353303,11.4823905796952,0.278780393305939,26.105994088331,1.12901887457768,0.382701001605109,20.7317706298025,1.1981791769745,0.37688226059665,13.5861516221844,0.564511175979822,0.383379806388792,1.2140179781512,0.35380923255506,0.283425372960665,0.472516646200613,0.385571162215616,0.0736020495227872,0,0,0.4,0,0,0.4
