"year","quartile","Name","total_run_prop","within_quartile_prop","cpue_prop_in_quartile"
"2020","Q3","South Fork Kuskokwim River",0.00596560882951073,0.0154206776540143,0.479598668605096
"2020","Q3","North Fork Kuskokwim River",0.00145292537853706,0.00375570952740364,0.479598668605096
"2020","Q4","Stony River",0.0590951983598803,0.278337618431802,0.159432626826842
"2020","Q4","Holitna River",0.0530627784180415,0.249924998682786,0.159432626826842
"2020","Q4","Aniak",0.0376028363233399,0.177108871769602,0.159432626826842
"2020","Q4","Kuskokwim Delta",0.0320886540512882,0.151137144729192,0.159432626826842
"2020","Q4","Takotna River",0.0142822897480649,0.0672693996222904,0.159432626826842
"2020","Q4","Middle Fork Kuskokwim River",0.0126353176685199,0.0595121824715408,0.159432626826842
"2020","Q4","South Fork Kuskokwim River",0.00299704028670134,0.0141160209102698,0.159432626826842
"2020","Q4","North Fork Kuskokwim River",0.00055069437775625,0.00259376338251736,0.159432626826842
"2021","Q1","Stony River",0.0722920077368826,0.455510410359648,0.146511752016142
"2021","Q1","Middle Fork Kuskokwim River",0.0279851167328906,0.17633362810116,0.146511752016142
"2021","Q1","Holitna River",0.0189974118887083,0.119702290143781,0.146511752016142
"2021","Q1","Aniak",0.0135293195298782,0.085247955947936,0.146511752016142
"2021","Q1","Kuskokwim Delta",0.00952977955296236,0.060046939221916,0.146511752016142
"2021","Q1","Takotna River",0.00777360937820781,0.0489813481281485,0.146511752016142
"2021","Q1","South Fork Kuskokwim River",0.00440830845789584,0.0277766582712236,0.146511752016142
"2021","Q1","North Fork Kuskokwim River",0.00418994739335909,0.0264007698261866,0.146511752016142
"2021","Q2","Stony River",0.0859385408188165,0.304775149016062,0.271644912796366
"2021","Q2","Holitna River",0.0520999275699397,0.184768824762006,0.271644912796366
"2021","Q2","Kuskokwim Delta",0.0498569130833986,0.176814127511305,0.271644912796366
"2021","Q2","Aniak",0.0487184685237394,0.172776711853432,0.271644912796366
"2021","Q2","Middle Fork Kuskokwim River",0.0224143293927468,0.0794908840164271,0.271644912796366
"2021","Q2","Takotna River",0.0155908054009545,0.0552917235280302,0.271644912796366
"2021","Q2","South Fork Kuskokwim River",0.00480656115351412,0.0170461399258054,0.271644912796366
"2021","Q2","North Fork Kuskokwim River",0.00254803719272296,0.00903643938693192,0.271644912796366
"2021","Q3","Holitna River",0.0993670043906594,0.257565260856265,0.461105763013837
"2021","Q3","Stony River",0.090053670630415,0.233424538751289,0.461105763013837
"2021","Q3","Kuskokwim Delta",0.081244056463179,0.210589488173469,0.461105763013837
"2021","Q3","Aniak",0.0740042493612595,0.191823472067924,0.461105763013837
"2021","Q3","Takotna River",0.0223296899309723,0.0578799013533614,0.461105763013837
"2021","Q3","Middle Fork Kuskokwim River",0.0142520895674328,0.0369422746483413,0.461105763013837
"2021","Q3","South Fork Kuskokwim River",0.00399896223748127,0.010365551001234,0.461105763013837
"2021","Q3","North Fork Kuskokwim River",0.000543781015777932,0.00140951314811593,0.461105763013837
"2021","Q4","Kuskokwim Delta",0.0428328102602508,0.241796864670865,0.118927714478657
"2021","Q4","Stony River",0.0418286995128546,0.236128527033723,0.118927714478657
"2021","Q4","Aniak",0.0373775338731677,0.211001109774208,0.118927714478657
"2021","Q4","Holitna River",0.0360699734776112,0.203619758840371,0.118927714478657
"2021","Q4","Middle Fork Kuskokwim River",0.00894153101090229,0.0504761221749642,0.118927714478657
"2021","Q4","Takotna River",0.00769925052715411,0.0434632849553884,0.118927714478657
"2021","Q4","South Fork Kuskokwim River",0.00189808034963234,0.0107149139793984,0.118927714478657
"2021","Q4","North Fork Kuskokwim River",0.000495899583550989,0.00279941857108291,0.118927714478657
