"watershed","year","n_fish","mean_precision","median_precision","sd_precision","pct_high_precision","pct_low_precision","mean_units_per_fish"
"Kusko",2017,256,27.8271627607992,25.3364399466277,9.09063385068398,0.390625,95.703125,11.3515625
"Kusko",2018,239,30.6741197263687,25.6580326890458,13.4977403827168,0.836820083682008,88.2845188284519,10.81589958159
"Kusko",2019,229,27.5915670225836,24.9109147763428,9.7394060908747,0,93.8864628820961,11.5414847161572
"Kusko",2020,245,27.3479894044368,24.5508501444261,9.98761305284273,0,93.8775510204082,11.4122448979592
"Kusko",2021,236,28.1927749983354,25.0476291509078,10.0343575827398,0.423728813559322,94.0677966101695,11.5
"Kusko",2022,259,27.0382984791412,24.9337964544559,7.9669705727707,0,97.2972972972973,11.5984555984556
