"fish_id","top_mgmt_unit","pct_in_top_unit","total_assignment","n_units_assigned","year","watershed"
1,"Aniak",24.997069241739,3618.85438076573,10,2017,"Kusko"
2,"Swift",30.4131007696145,854.725589419383,8,2017,"Kusko"
3,"Hoholitna",24.6215237265786,2521.95312042057,14,2017,"Kusko"
4,"Big River",26.9953868784983,2056.28475979422,11,2017,"Kusko"
5,"Middle Kusko Main",23.2384539273043,2110.06549552017,11,2017,"Kusko"
6,"Swift",28.3902249415334,353.632296382809,7,2017,"Kusko"
7,"Aniak",24.9341144843522,1914.71218223993,10,2017,"Kusko"
8,"Hoholitna",20.4688493673571,2176.22325189895,15,2017,"Kusko"
9,"Takotna and Nixon Fork",19.872067723604,1961.08117445968,13,2017,"Kusko"
10,"Kisaralik",24.9073364016686,1671.70525962418,14,2017,"Kusko"
11,"Stony",20.4588549394286,1754.26037646491,13,2017,"Kusko"
12,"Stony",20.1096973842048,1757.72445645525,14,2017,"Kusko"
13,"E. Fork Kuskokwim",39.657392663865,237.479340685317,5,2017,"Kusko"
14,"Big River",26.7620137349501,2114.1569306941,11,2017,"Kusko"
15,"Hoholitna",24.777391997548,2597.52330470052,14,2017,"Kusko"
16,"Big River",25.846092015407,2684.77287424092,13,2017,"Kusko"
17,"Kwethluk",47.4458661100428,1190.1380033394,9,2017,"Kusko"
18,"Big River",20.6189611403697,2368.16211381819,14,2017,"Kusko"
19,"Big River",26.6357579890611,2662.71862104543,13,2017,"Kusko"
20,"Stony",20.7109871295265,2148.2221708248,14,2017,"Kusko"
21,"Aniak",30.6265401561527,1422.72754767165,10,2017,"Kusko"
22,"Big River",21.6334090053758,1859.48321533298,14,2017,"Kusko"
23,"Holitna",25.4556492910599,2758.51179608578,13,2017,"Kusko"
24,"E. Fork Kuskokwim",50.5681513852852,171.906085805167,3,2017,"Kusko"
25,"Kisaralik",24.6080862748563,1551.63355799237,14,2017,"Kusko"
26,"Big River",27.0153478627163,2035.51478381727,11,2017,"Kusko"
27,"Holitna",21.2774363001005,2526.26517794685,12,2017,"Kusko"
28,"Kisaralik",23.5074902059154,1639.49348697361,14,2017,"Kusko"
29,"Big River",19.0018418930596,1857.86434651142,14,2017,"Kusko"
30,"Kwethluk",47.4403670405497,907.007258645976,9,2017,"Kusko"
31,"Big River",25.1711157871864,2070.32018001222,13,2017,"Kusko"
32,"Takotna and Nixon Fork",18.9659318888105,1657.4410931598,13,2017,"Kusko"
33,"Aniak",34.6727810335111,1125.64335136749,10,2017,"Kusko"
34,"Aniak",36.349226694457,1130.99583619218,10,2017,"Kusko"
35,"Holitna",20.1152833702354,2010.42368909164,12,2017,"Kusko"
36,"Holitna",24.7920719534322,2641.6235839521,12,2017,"Kusko"
37,"Kisaralik",29.4643209808641,1611.71294672726,12,2017,"Kusko"
38,"Hoholitna",21.5581341748934,2022.7187236701,15,2017,"Kusko"
39,"Aniak",25.0382596358483,1695.47259435458,10,2017,"Kusko"
40,"Kwethluk",33.0141894821725,1128.9157988751,10,2017,"Kusko"
41,"Aniak",33.7725160498318,1140.03041277275,10,2017,"Kusko"
42,"Big River",26.8438168345184,2002.47275476349,13,2017,"Kusko"
43,"Aniak",23.8786101287695,1758.60424427782,10,2017,"Kusko"
44,"Holitna",25.174978490552,2660.22076565446,12,2017,"Kusko"
45,"Holitna",24.7091424174981,2652.36577466151,13,2017,"Kusko"
46,"Hoholitna",22.8051927018129,2128.90125375361,15,2017,"Kusko"
47,"Aniak",27.002003164848,1571.9796054417,10,2017,"Kusko"
48,"Kwethluk",36.478237978244,1100.35310508735,10,2017,"Kusko"
49,"Big River",24.5322566364977,2135.68281444244,13,2017,"Kusko"
50,"Stony",19.9060863468756,1779.2011866057,14,2017,"Kusko"
51,"Holitna",25.146415258224,2826.77923284457,12,2017,"Kusko"
52,"Holitna",24.9867366083833,2872.79742127846,13,2017,"Kusko"
53,"Swift",26.6179869934038,1566.20654179182,10,2017,"Kusko"
54,"Aniak",30.8232443860408,1466.77232298368,10,2017,"Kusko"
55,"Swift",28.5238768369975,1398.67413655212,10,2017,"Kusko"
56,"Stony",20.9615049900117,1917.78214918491,12,2017,"Kusko"
57,"Aniak",22.6452201051958,2129.04512876891,10,2017,"Kusko"
58,"Aniak",22.0628677842692,2113.73637280693,10,2017,"Kusko"
59,"Aniak",28.0219272540663,1786.56136972218,10,2017,"Kusko"
60,"Holitna",24.4942764755656,3084.97748209295,12,2017,"Kusko"
61,"Swift",28.4178956758654,1445.0122472968,10,2017,"Kusko"
62,"Kisaralik",20.5337378295856,2032.07737241473,15,2017,"Kusko"
63,"Holitna",25.4212850175507,3181.09464895921,13,2017,"Kusko"
64,"Aniak",21.4217619866943,2118.88167514838,10,2017,"Kusko"
65,"Kwethluk",50.992788151901,1126.40267962361,9,2017,"Kusko"
66,"Takotna and Nixon Fork",19.912435653321,2343.10626278648,13,2017,"Kusko"
67,"Big River",23.9458364841972,2536.72864005143,13,2017,"Kusko"
68,"Swift",26.381842053828,2017.67544704557,10,2017,"Kusko"
69,"Kisaralik",19.7281972441393,2315.31561154236,15,2017,"Kusko"
70,"N. Fork Kusko",100,10.9776948974121,1,2017,"Kusko"
