mgmt_river,quartile_clean,mean_pct,median_pct,sd_pct,min_pct,max_pct,cv_pct,n_years
Big River,Q1,11.548954593288588,12.7563821604327,4.349078534875798,4.5690934013733395,16.1041231152881,0.3765776806675789,5
Kwethluk,Q1,11.14673532565495,11.592765798014,3.2494709107831627,5.72704081488185,14.443041301606998,0.29151772387600255,5
Stony,Q1,10.78994678271581,10.4973985373731,1.2425601852805555,9.63539642537822,12.446965112415601,0.11515906522087639,5
Upper Kusko Main,Q1,9.097176339945483,9.79617353695954,2.0764035345219494,5.50424129382709,10.7972774740091,0.2282470358856859,5
Hoholitna,Q1,7.395113413129026,6.99418115949836,2.5975603546760544,4.50859589054628,10.5842113771577,0.35125361973008234,5
Middle Kusko Main,Q1,6.820904349809882,6.14593237638376,1.7254283080461352,5.43709894888947,9.62993034363232,0.2529618096893893,5
Holitna and Hoholitna,Q1,6.685716051181289,6.21683623335949,2.2854727455338693,4.24149791050809,9.152808734956611,0.3418441238063128,5
Aniak,Q1,6.616682911148636,5.95230183433298,3.817839682578936,2.3272917691329402,11.9115038344301,0.5770020618860472,5
Kisaralik,Q1,5.739852519479866,4.62665988507226,2.4889751321282882,4.54765092578665,10.1891839825362,0.43363050247044227,5
Tatlawiksuk,Q1,5.0463195734299635,5.0480232982188,1.6217230231688906,2.5187071325725,6.76841649208136,0.32136748368209506,5
Tuluksak,Q1,4.70056444368117,3.24712690793885,3.009276838938574,2.41175654548379,9.8247555656341,0.640194784050638,5
Takotna and Nixon Fork,Q1,3.9845888764888278,3.00765716861702,2.3659547769818636,1.37788514415558,7.514465245875759,0.5937763845455281,5
Swift,Q1,2.770250574215244,2.99354732055261,1.1298198275020384,1.10482026186843,4.0828132448914705,0.4078403008082016,5
S. Fork Kusko,Q1,2.14917797404994,2.4084366794245202,0.5775394544357548,1.14115212262034,2.51886101649733,0.26872574603369476,5
George,Q1,1.5816091925510796,1.40038005474157,1.0281821457475255,0.736412747338388,3.34810889444032,0.6500860962303237,5
Oskakawlik,Q1,1.1624432528730095,0.846161502657724,0.678481255174967,0.672591667555007,2.31909814392617,0.5836682810090579,5
Holokuk,Q1,1.0831523240525525,0.6997377148944981,0.8037225905246254,0.394200525412708,2.38111691626348,0.7420217569376976,5
N. Fork Kusko,Q1,0.8074899511924682,0.631872806008561,0.4660676956046365,0.455449190599372,1.56697955695146,0.5771807994840886,5
E. Fork Kuskokwim,Q1,0.676214424045963,0.82604961251584,0.3990056925212857,0.19756747448308698,1.11415597567335,0.5900579436533357,5
Lower Kusko,Q1,0.1971071270662234,0.209671734406439,0.053412306059685985,0.10839026562746001,0.25294073665786904,0.27098109974349477,5
Stony,Q2,11.53049997124392,11.513713381046,0.5888335934455067,10.767686869276199,12.2287466788476,0.051067481454751075,5
Hoholitna,Q2,9.077163027944437,8.961779033955422,1.2733710979216608,7.846945740309021,11.0117338555397,0.14028293796217312,5
Big River,Q2,8.952441678113919,9.03179464525183,1.774702417835446,7.02665748295161,10.7196172942895,0.1982366913569591,5
Holitna and Hoholitna,Q2,8.840705095641908,8.32128588845292,1.7161970953269814,7.124647962072809,11.031087369421,0.1941244591648005,5
Kwethluk,Q2,8.545741596152874,9.05779741481185,1.3698980580203073,6.88624241733186,9.85851767817656,0.160301834850355,5
Upper Kusko Main,Q2,7.7652849774296095,8.03199604058175,0.4972270592602244,7.05428206806043,8.20952137980706,0.0640320427010023,5
