year,cluster,quartile_clean,within_quartile_pct,cluster_proportion
2017,Cluster 1,Q1,1.2652157175665342,0.01265215717566534
2017,Cluster 1,Q2,0.704089031800174,0.0070408903180017406
2017,Cluster 1,Q3,0.65597774667345,0.0065597774667345
2017,Cluster 1,Q4,0.690459547066066,0.00690459547066066
2017,Cluster 2,Q1,17.986765963938463,0.17986765963938464
2017,Cluster 2,Q2,29.78649176706029,0.2978649176706029
2017,Cluster 2,Q3,26.148702267986106,0.26148702267986107
2017,Cluster 2,Q4,18.890435981234067,0.18890435981234066
2017,Cluster 3,Q1,10.618271842956268,0.10618271842956269
2017,Cluster 3,Q2,11.747909907493526,0.11747909907493526
2017,Cluster 3,Q3,11.595270587127695,0.11595270587127696
2017,Cluster 3,Q4,11.30166227515989,0.1130166227515989
2017,Cluster 4,Q1,23.277889514453822,0.23277889514453823
2017,Cluster 4,Q2,29.22035673704682,0.2922035673704682
2017,Cluster 4,Q3,27.76519663941159,0.27765196639411593
2017,Cluster 4,Q4,25.82602505779807,0.2582602505779807
2017,Cluster 5,Q1,32.62712288119092,0.32627122881190923
2017,Cluster 5,Q2,17.165737243323584,0.17165737243323584
2017,Cluster 5,Q3,21.09656206245956,0.21096562062459562
2017,Cluster 5,Q4,24.404622899328672,0.2440462289932867
2017,Cluster 6,Q1,13.98148189353342,0.1398148189353342
2017,Cluster 6,Q2,11.1478458236812,0.111478458236812
2017,Cluster 6,Q3,12.49655867936264,0.12496558679362639
2017,Cluster 6,Q4,18.60472793545136,0.18604727935451362
2018,Cluster 1,Q1,2.1693093510504142,0.021693093510504143
2018,Cluster 1,Q2,1.064936375917458,0.01064936375917458
2018,Cluster 1,Q3,0.455719744024188,0.00455719744024188
2018,Cluster 1,Q4,0.35921383004191904,0.0035921383004191903
2018,Cluster 2,Q1,44.52095930298901,0.44520959302989016
2018,Cluster 2,Q2,35.41490494277946,0.35414904942779457
2018,Cluster 2,Q3,16.923782307997897,0.16923782307997898
2018,Cluster 2,Q4,13.223098192115856,0.13223098192115856
2018,Cluster 3,Q1,10.737442300006068,0.10737442300006068
2018,Cluster 3,Q2,12.232127285228719,0.1223212728522872
2018,Cluster 3,Q3,10.92451058971317,0.1092451058971317
2018,Cluster 3,Q4,10.986241398580704,0.10986241398580704
2018,Cluster 4,Q1,13.56906542972929,0.1356906542972929
2018,Cluster 4,Q2,24.940397166439183,0.24940397166439182
2018,Cluster 4,Q3,29.651121887046745,0.29651121887046744
2018,Cluster 4,Q4,23.97449450508537,0.2397449450508537
2018,Cluster 5,Q1,19.13463295560624,0.1913463295560624
2018,Cluster 5,Q2,15.59802006249045,0.1559802006249045
2018,Cluster 5,Q3,25.789151872186007,0.25789151872186006
2018,Cluster 5,Q4,28.036521724943864,0.28036521724943864
2018,Cluster 6,Q1,9.737735574449262,0.09737735574449262
2018,Cluster 6,Q2,10.488754414632117,0.10488754414632118
2018,Cluster 6,Q3,16.01354910632609,0.1601354910632609
2018,Cluster 6,Q4,23.11936564020444,0.2311936564020444
2019,Cluster 1,Q1,1.0191214705776082,0.01019121470577608
2019,Cluster 1,Q2,0.47698514337858705,0.00476985143378587
2019,Cluster 1,Q3,0.18749502833693263,0.0018749502833693263
2019,Cluster 1,Q4,0,0
2019,Cluster 2,Q1,41.01439665616058,0.4101439665616058
2019,Cluster 2,Q2,23.938101377872005,0.23938101377872004
2019,Cluster 2,Q3,14.813348318212983,0.14813348318212982
2019,Cluster 2,Q4,0,0
2019,Cluster 3,Q1,12.125738492493115,0.12125738492493116
2019,Cluster 3,Q2,11.267602089228761,0.11267602089228762
2019,Cluster 3,Q3,11.682832231205593,0.11682832231205592
2019,Cluster 3,Q4,9.689338633583192,0.09689338633583192
2019,Cluster 4,Q1,22.783945045160735,0.22783945045160733
2019,Cluster 4,Q2,28.613873675547413,0.28613873675547413
2019,Cluster 4,Q3,38.04538003518622,0.3804538003518622
2019,Cluster 4,Q4,5.06722193069949,0.0506722193069949
2019,Cluster 5,Q1,15.95701347831436,0.1595701347831436
2019,Cluster 5,Q2,22.763219549403395,0.22763219549403396
2019,Cluster 5,Q3,22.194366965817654,0.22194366965817652
2019,Cluster 5,Q4,22.376004573138676,0.22376004573138678
2019,Cluster 6,Q1,6.906844264503024,0.06906844264503025
2019,Cluster 6,Q2,12.71209245011122,0.1271209245011122
2019,Cluster 6,Q3,12.809406476213397,0.12809406476213397
2019,Cluster 6,Q4,62.742117422547935,0.6274211742254794
2020,Cluster 1,Q1,1.752575707674732,0.01752575707674732
2020,Cluster 1,Q2,0.8092266064871481,0.00809226606487148
2020,Cluster 1,Q3,0.406851348447839,0.00406851348447839
2020,Cluster 1,Q4,0.2382521902957493,0.002382521902957493
2020,Cluster 2,Q1,43.483184284474994,0.43483184284474996
2020,Cluster 2,Q2,34.852294146785724,0.34852294146785723
2020,Cluster 2,Q3,25.891078516946315,0.25891078516946314
