cluster,n_scenarios,correlation
Cluster 2,4,0.9994780760751321
Cluster 6,4,0.9993635518295203
Cluster 1,4,0.9981736404970895
Cluster 3,4,0.9981205994864859
Cluster 5,4,0.9976274572758043
Cluster 4,4,0.9971227987732104
