cluster,doy,mean_cumulative_percent,se_cumulative_percent,sd_cumulative_percent,n_years
Cluster 1,152,0.8370837616369347,0.8370837616369348,1.4498716053460463,3
Cluster 1,153,0,0,0,2
Cluster 1,155,2.290144265235156,0.14549333350289695,0.2520018457895806,3
Cluster 1,156,0.9662463815650639,0.05580201778996008,0.07891597036634627,2
Cluster 1,158,4.304551021875206,1.489882156666531,2.979764313333062,4
Cluster 1,159,10.145725028600072,5.34289384223679,7.555992934010964,2
Cluster 1,161,12.354450636765309,4.403620281478739,8.807240562957478,4
Cluster 1,162,43.0134287203712,9.048953739902238,12.797153104256486,2
Cluster 1,164,27.055532166019134,8.305590025445557,16.611180050891114,4
Cluster 1,165,47.836761659427665,7.160688479226553,10.126742763250965,2
Cluster 1,167,43.49325260428381,10.556719304258515,21.11343860851703,4
Cluster 1,168,58.706716930752144,8.71588226927401,12.326118913254495,2
Cluster 1,170,49.99100901377055,11.664537212341434,23.32907442468287,4
Cluster 1,171,70.0926577155627,6.858810812326261,9.699823272543025,2
Cluster 1,173,61.576682317051635,10.647292836440911,21.294585672881823,4
Cluster 1,174,77.30684194060481,9.617945080495254,13.601828374995979,2
Cluster 1,176,70.19526261541839,8.51244333230212,17.02488666460424,4
Cluster 1,177,81.6932383498846,7.97613205667416,11.279954129827406,2
Cluster 1,179,81.42027231922025,7.577858590901675,15.15571718180335,4
Cluster 1,180,84.92205518662834,7.8745558586386215,11.136303692951252,2
Cluster 1,182,89.88989178543417,5.483901576283845,10.96780315256769,4
Cluster 1,183,90.08465366734907,3.2273548540469927,4.564169005183898,2
Cluster 1,185,92.76624737594062,3.518949408123974,7.037898816247948,4
Cluster 1,186,92.69986390351883,1.2837925927447813,1.8155568959337893,2
Cluster 1,188,93.31355407686257,4.615071600155134,7.9935384920368895,3
Cluster 1,189,94.39392570636707,2.083669963943123,2.9467543225178225,2
Cluster 1,191,95.09576085001639,3.7003046601107847,6.409115674795764,3
Cluster 1,192,97.40157578496047,1.4877398087642604,2.103981814836772,2
Cluster 1,194,97.07207982776059,2.756504647480148,4.774406100735353,3
Cluster 1,195,99.44381738831312,0.5561826116868785,0.7865609926036724,2
Cluster 1,197,98.464825644235475,1.3656111740658994,2.3653079368659236,3
Cluster 1,198,99.72581516904276,0.274184830957239,0.4749020578826219,3
Cluster 1,200,99.82676945288381,0.17323054711615526,0.24498498914897823,2
Cluster 1,201,100.00000000000003,NA,NA,1
Cluster 1,203,99.99999999999999,NA,NA,1
Cluster 2,152,0.7088099453964767,0.46206410761255584,0.8003185107389199,3
Cluster 2,153,0.09333982773076484,0.09333982773076482,0.13200245028641594,2
Cluster 2,155,2.1192015360655203,1.0760741863719412,1.8638151635095432,3
Cluster 2,156,1.5970832748019554,0.5280501767932048,0.7467757216344608,2
Cluster 2,158,5.824867105992393,2.6339499469282868,5.2678998938565735,4
Cluster 2,159,8.129189878119423,0.7076598239160368,1.0007821205286156,2
Cluster 2,161,12.584458505310138,5.88275894952767,11.76551789905534,4
Cluster 2,162,21.33989218994254,3.8617640332181096,5.461359070461675,2
Cluster 2,164,21.47235506432099,7.334412976450756,14.668825952901512,4
Cluster 2,165,27.814861545680312,6.6454022309298715,9.398017962405447,2
Cluster 2,167,33.08192940223397,8.69576517667037,17.39153035334074,4
Cluster 2,168,35.76182526232971,5.6243069981128055,7.953971235681039,2
Cluster 2,170,41.6017402496781,9.42993965498447,18.85987930996894,4
Cluster 2,171,45.55154883657953,5.449948714854582,7.7073913867851696,2
Cluster 2,173,54.786959657456414,8.990132341205477,17.980264682410954,4
Cluster 2,174,55.23737588123335,6.203476949423873,8.773041235744117,2
Cluster 2,176,70.5573928927687,6.086452652647097,12.172905305294194,4
Cluster 2,177,63.11040744856059,6.805347053283696,9.624214099409581,2
Cluster 2,179,81.35530357708947,4.654477457197371,9.308954914394741,4
Cluster 2,180,73.79349816991825,7.9119409604315,11.18917421093744,2
Cluster 2,182,89.21938530336875,4.115518588589284,8.231037177178568,4
Cluster 2,183,79.55614497608528,5.534496253252897,7.826959662253326,2
Cluster 2,185,93.42593228279283,2.921293676980337,5.842587353960674,4
Cluster 2,186,83.78434886056252,3.3864267663857315,4.7891306610059665,2
Cluster 2,188,94.07778244096647,1.97126216868696,3.4143262312042255,3
Cluster 2,189,87.78832238327122,3.2465855199207563,4.59136527367604,2
Cluster 2,191,96.80999446379961,1.3293622027510463,2.302522876826491,3
Cluster 2,192,94.15305608399802,1.7772614254182173,2.513427211708982,2
Cluster 2,194,98.13050612535899,0.968707296588235,1.6778502553535162,3
Cluster 2,195,98.00212801893825,1.6719359011658383,2.3644744268472113,2
Cluster 2,197,99.20231244233766,0.40513968084250807,0.7017225113814632,3
Cluster 2,198,99.3314628789136,0.6685371210864162,1.1579402604674993,3
Cluster 2,200,99.57979865577309,0.4202013442269319,0.5942544399331325,2
Cluster 2,201,100.00000000000003,NA,NA,1
Cluster 2,203,100,NA,NA,1
Cluster 3,152,0.36150126756586115,0.1448907310545417,0.25095810773226396,3
Cluster 3,153,0.3693233069655423,0.19622463748930752,0.27750354360912277,2
Cluster 3,155,1.1404673479110308,0.6924485546262746,1.1993560782403407,3
Cluster 3,156,1.023212434786714,0.34175101357623566,0.4833089183542642,2
Cluster 3,158,3.5140780080222456,1.4371784249121622,2.8743568498243244,4
Cluster 3,159,2.9788084492069187,0.48635820492054166,0.687814369570063,2
Cluster 3,161,7.405672250292529,3.9207611174057053,7.841522234811411,4
Cluster 3,162,10.236764170365596,1.3283540127074902,1.8785762604036553,2
Cluster 3,164,13.891231517825005,4.370502700596919,8.741005401193839,4
Cluster 3,165,15.056718663894314,3.5756152455727293,5.056683574116959,2
Cluster 3,167,21.537471201447214,4.954188213190153,9.908376426380306,4
Cluster 3,168,20.566873941944024,2.6263479158477363,3.714216842102181,2
Cluster 3,170,30.50715691470061,5.511696710065932,11.023393420131864,4
Cluster 3,171,28.195424560309633,3.195277488632898,4.518804759970088,2
Cluster 3,173,43.2125503900066,6.991401303756321,13.982802607512642,4
Cluster 3,174,37.898718967427016,3.4458625834253307,4.873185599554094,2
Cluster 3,176,58.823999246708524,6.687259432444553,13.374518864889106,4
Cluster 3,177,46.232809471894605,4.250298117199903,6.010829241472934,2
Cluster 3,179,73.22579684607737,6.243025358067783,12.486050716135566,4
Cluster 3,180,62.48851415427775,6.258106867745795,8.850299607146313,2
Cluster 3,182,83.5785060875696,5.602873697301947,11.205747394603893,4
Cluster 3,183,71.38436564478691,7.5946866196527045,10.740508819486331,2
Cluster 3,185,88.16246413118733,4.423853968314319,8.847707936628638,4
Cluster 3,186,78.00186900395096,5.329252949535643,7.536701798550126,2
Cluster 3,188,89.15894225851746,2.633249908571265,4.560922630671532,3
Cluster 3,189,83.31745674827513,4.265307911861313,6.032056296651535,2
Cluster 3,191,93.75274133229587,2.2533301107937347,3.9028822381195556,3
Cluster 3,192,90.0268387030693,3.5453397591644205,5.013867570630886,2
Cluster 3,194,96.45089630439793,1.2386645938362537,2.1454300100610584,3
Cluster 3,195,95.52067793995025,2.0061397902054736,2.8371100993248963,2
Cluster 3,197,97.93302146023207,0.7962170957954124,1.3790884637725902,3
Cluster 3,198,99.34989246462442,0.6501075353755775,1.1260192816538814,3
Cluster 3,200,99.41634077658772,0.5836592234122833,0.8254187895537993,2
Cluster 3,201,100,NA,NA,1
Cluster 3,203,100,NA,NA,1
