year,cluster,closure_protection_pct,n_units,cluster_total_production,cluster_closure_production
2017,Cluster 1,3.4214532379649927,2,3146.7650585852016,107.66509498811438
2017,Cluster 2,2.4153169916912285,5,111127.38190590193,2684.078537594853
2017,Cluster 3,1.7132823490948936,1,51479.38541473646,881.9872237332108
2017,Cluster 4,1.4729127642900455,4,122699.8567106286,1807.2618512564447
2017,Cluster 5,2.398495956469573,5,95733.129581944,2296.1552420247035
2017,Cluster 6,2.0394962852167575,2,61696.20682453911,1258.2918463061228
2018,Cluster 1,13.793948023215883,2,3190.5286265710233,440.09986041503055
2018,Cluster 2,11.397782956110076,5,99586.04311490823,11350.601048815442
2018,Cluster 3,4.457390813672648,1,47254.3687764496,2106.3118929004604
2018,Cluster 4,2.64296809004383,4,108783.17257052967,2875.1045383764117
2018,Cluster 5,3.0634119831949085,5,96028.66338228421,2941.7535813547956
2018,Cluster 6,2.3617624661187833,2,63797.06205051251,1506.7350659955146
2019,Cluster 1,23.935598913748752,2,2262.47339686705,541.5365578043641
2019,Cluster 2,29.352572303841445,5,111907.6522904602,32847.774552088806
2019,Cluster 3,19.007564966847774,1,53151.39148043581,10102.785266427429
2019,Cluster 4,12.470373696060788,4,140135.68563663415,17475.443680425262
2019,Cluster 5,14.463698671908945,5,96160.90934271505,13908.42416749784
2019,Cluster 6,12.369468392630548,2,53205.79589213908,6581.274105925666
2020,Cluster 1,33.964474980468964,2,2908.339071656367,987.8020963399301
2020,Cluster 2,17.47812815672443,5,137455.10838695487,24024.580001836446
2020,Cluster 3,8.908410157658105,1,55609.05073116319,4953.88232391219
2020,Cluster 4,4.428216961403065,4,134967.69354936507,5976.662298167494
2020,Cluster 5,9.829438000045448,5,92301.56813075558,9072.725412482327
2020,Cluster 6,11.640785338254968,2,49360.14936329551,5745.9090300232565
2021,Cluster 1,52.06238246027344,2,3300.24191070316,1718.184565664515
2021,Cluster 2,25.20165622316065,5,115511.60536182937,29110.837681142246
2021,Cluster 3,11.565118183073086,1,51534.665143589875,5960.04492910714
2021,Cluster 4,7.555831673041577,4,129669.06930779091,9797.5766088963
2021,Cluster 5,4.69128293556828,5,90403.45983865332,4241.082084574066
2021,Cluster 6,4.013728278536333,2,53829.34303536333,2160.5635635607064
2022,Cluster 1,8.266802372131606,2,1992.0609236272762,164.67973968872644
2022,Cluster 2,7.172161769597819,5,123157.85987756812,8833.080942393792
2022,Cluster 3,4.4444508715548015,1,50794.986042324985,2257.5581998642524
2022,Cluster 4,5.1839112531996365,4,125121.7600429754,6486.200999069248
2022,Cluster 5,2.508447654081564,5,100531.03471222073,2521.7683818626238
2022,Cluster 6,0.9783091828157499,2,56662.99055023749,554.339239810994
