year,cluster,closure_protection_pct,offset_label,n_units,cluster_total_production,cluster_closure_production
2017,Cluster 1,3.4214532379649927,Current (June 11),2,3146.7650585852016,107.66509498811438
2017,Cluster 2,2.4153169916912285,Current (June 11),5,111127.38190590193,2684.078537594853
2017,Cluster 3,1.7132823490948936,Current (June 11),1,51479.38541473646,881.9872237332108
2017,Cluster 4,1.4729127642900455,Current (June 11),4,122699.8567106286,1807.2618512564447
2017,Cluster 5,2.398495956469573,Current (June 11),5,95733.129581944,2296.1552420247035
2017,Cluster 6,2.0394962852167575,Current (June 11),2,61696.20682453911,1258.2918463061228
2018,Cluster 1,13.793948023215883,Current (June 11),2,3190.5286265710233,440.09986041503055
2018,Cluster 2,11.397782956110076,Current (June 11),5,99586.04311490823,11350.601048815442
2018,Cluster 3,4.457390813672648,Current (June 11),1,47254.3687764496,2106.3118929004604
2018,Cluster 4,2.64296809004383,Current (June 11),4,108783.17257052967,2875.1045383764117
2018,Cluster 5,3.0634119831949085,Current (June 11),5,96028.66338228421,2941.7535813547956
2018,Cluster 6,2.3617624661187833,Current (June 11),2,63797.06205051251,1506.7350659955146
2019,Cluster 1,23.935598913748752,Current (June 11),2,2262.47339686705,541.5365578043641
2019,Cluster 2,29.352572303841445,Current (June 11),5,111907.6522904602,32847.774552088806
2019,Cluster 3,19.007564966847774,Current (June 11),1,53151.39148043581,10102.785266427429
2019,Cluster 4,12.470373696060788,Current (June 11),4,140135.68563663415,17475.443680425262
2019,Cluster 5,14.463698671908945,Current (June 11),5,96160.90934271505,13908.42416749784
2019,Cluster 6,12.369468392630548,Current (June 11),2,53205.79589213908,6581.274105925666
2020,Cluster 1,33.964474980468964,Current (June 11),2,2908.339071656367,987.8020963399301
2020,Cluster 2,17.47812815672443,Current (June 11),5,137455.10838695487,24024.580001836446
2020,Cluster 3,8.908410157658105,Current (June 11),1,55609.05073116319,4953.88232391219
2020,Cluster 4,4.428216961403065,Current (June 11),4,134967.69354936507,5976.662298167494
2020,Cluster 5,9.829438000045448,Current (June 11),5,92301.56813075558,9072.725412482327
2020,Cluster 6,11.640785338254968,Current (June 11),2,49360.14936329551,5745.9090300232565
2021,Cluster 1,52.06238246027344,Current (June 11),2,3300.24191070316,1718.184565664515
2021,Cluster 2,25.20165622316065,Current (June 11),5,115511.60536182937,29110.837681142246
2021,Cluster 3,11.565118183073086,Current (June 11),1,51534.665143589875,5960.04492910714
2021,Cluster 4,7.555831673041577,Current (June 11),4,129669.06930779091,9797.5766088963
2021,Cluster 5,4.69128293556828,Current (June 11),5,90403.45983865332,4241.082084574066
2021,Cluster 6,4.013728278536333,Current (June 11),2,53829.34303536333,2160.5635635607064
2022,Cluster 1,8.266802372131606,Current (June 11),2,1992.0609236272762,164.67973968872644
2022,Cluster 2,7.172161769597819,Current (June 11),5,123157.85987756812,8833.080942393792
2022,Cluster 3,4.4444508715548015,Current (June 11),1,50794.986042324985,2257.5581998642524
2022,Cluster 4,5.1839112531996365,Current (June 11),4,125121.7600429754,6486.200999069248
2022,Cluster 5,2.508447654081564,Current (June 11),5,100531.03471222073,2521.7683818626238
2022,Cluster 6,0.9783091828157499,Current (June 11),2,56662.99055023749,554.339239810994
2017,Cluster 1,0,-3 days (June 8),2,3146.7650585852016,0
2017,Cluster 2,0,-3 days (June 8),5,111127.38190590193,0
2017,Cluster 3,0.695939573545433,-3 days (June 8),1,51479.38541473646,358.26541531912676
2017,Cluster 4,0.16464371846695527,-3 days (June 8),4,122699.8567106286,202.0176066420049
2017,Cluster 5,1.9426294153886092,-3 days (June 8),5,95733.129581944,1859.7399355309385
2017,Cluster 6,1.9180975107125582,-3 days (June 8),2,61696.20682453911,1183.3934073055561
2018,Cluster 1,4.6671036217578985,-3 days (June 8),2,3190.5286265710233,148.90527708391875
2018,Cluster 2,5.922206952442422,-3 days (June 8),5,99586.04311490823,5897.691569013403
2018,Cluster 3,2.857260947023442,-3 days (June 8),1,47254.3687764496,1350.1806248119335
2018,Cluster 4,2.196656924819349,-3 days (June 8),4,108783.17257052967,2389.5930933087225
2018,Cluster 5,0.9530421775612623,-3 days (June 8),5,96028.66338228421,915.193664581496
2018,Cluster 6,0.6013445139187467,-3 days (June 8),2,63797.06205051251,383.6401326820956
2019,Cluster 1,5.954064290771774,-3 days (June 8),2,2262.47339686705,134.70912061107217
2019,Cluster 2,12.745197743252959,-3 days (June 8),5,111907.6522904602,14262.8515742511
2019,Cluster 3,7.529143423132425,-3 days (June 8),1,53151.39148043581,4001.8444959526
2019,Cluster 4,4.562909040859509,-3 days (June 8),4,140135.68563663415,6394.263869384439
2019,Cluster 5,3.9908526541364933,-3 days (June 8),5,96160.90934271505,3837.6402027455306
2019,Cluster 6,1.6650191233950642,-3 days (June 8),2,53205.79589213908,885.8866763586612
2020,Cluster 1,15.488618870836863,-3 days (June 8),2,2908.339071656367,450.46155428048974
2020,Cluster 2,8.83684970203546,-3 days (June 8),5,137455.10838695487,12146.70133592514
2020,Cluster 3,3.4651666541274606,-3 days (June 8),1,55609.05073116319,1926.9462826130896
2020,Cluster 4,2.2604079715298147,-3 days (June 8),4,134967.69354936507,3050.8205039797795
2020,Cluster 5,2.761418779701898,-3 days (June 8),5,92301.56813075558,2548.8328363220267
2020,Cluster 6,1.9853597410940012,-3 days (June 8),2,49360.14936329551,979.976533602736
2021,Cluster 1,4.802831186363283,-3 days (June 8),2,3300.24191070316,158.50504771268288
2021,Cluster 2,7.421530054203386,-3 days (June 8),5,115511.60536182937,8572.728508020977
2021,Cluster 3,2.492450244286377,-3 days (June 8),1,51534.665143589875,1284.4758872635723
2021,Cluster 4,0.7526665019291517,-3 days (June 8),4,129669.06930779091,975.9756480430372
2021,Cluster 5,2.0467617698203746,-3 days (June 8),5,90403.45983865332,1850.3434545724722
2021,Cluster 6,2.7849190736483864,-3 days (June 8),2,53829.34303536333,1499.1036414114528
2022,Cluster 1,6.597036174971152,-3 days (June 8),2,1992.0609236272762,131.41697975915588
2022,Cluster 2,4.632063728274192,-3 days (June 8),5,123157.85987756812,5704.750555907587
2022,Cluster 3,2.9739680883876836,-3 days (June 8),1,50794.986042324985,1510.626675399723
2022,Cluster 4,4.527427528650799,-3 days (June 8),4,125121.7600429754,5664.797008518064
2022,Cluster 5,1.0150266999344895,-3 days (June 8),5,100531.03471222073,1020.4168440494502
2022,Cluster 6,0.1739057525544317,-3 days (June 8),2,56662.99055023749,98.54020013623702
2017,Cluster 1,7.829135848879942,+3 days (June 14),2,3146.7650585852016,246.36451128172195
2017,Cluster 2,4.416880875607898,+3 days (June 14),5,111127.38190590193,4908.364078965534
2017,Cluster 3,5.3521408072464265,+3 days (June 14),1,51479.38541473646,2755.249194101775
2017,Cluster 4,4.569181483962437,+3 days (June 14),4,122699.8567106286,5606.3791336704835
2017,Cluster 5,6.7637629568768,+3 days (June 14),5,95733.129581944,6475.161956122393
2017,Cluster 6,4.359960923753469,+3 days (June 14),2,61696.20682453911,2689.9305089880268
2018,Cluster 1,31.88376005482639,+3 days (June 14),2,3190.5286265710233,1017.2604917764529
2018,Cluster 2,25.922911952423245,+3 days (June 14),5,99586.04311490823,25815.602273579912
2018,Cluster 3,13.271171362936796,+3 days (June 14),1,47254.3687764496,6271.208256796726
2018,Cluster 4,6.745381075127764,+3 days (June 14),4,108783.17257052967,7337.839535496085
2018,Cluster 5,10.45492325140335,+3 days (June 14),5,96028.66338228421,10039.723055966288
2018,Cluster 6,9.139337401511554,+3 days (June 14),2,63797.06205051251,5830.628753048023
2019,Cluster 1,47.12268113589143,+3 days (June 14),2,2262.47339686705,1066.1381245900313
2019,Cluster 2,39.074918537499485,+3 days (June 14),5,111907.6522904602,43727.823969725505
2019,Cluster 3,26.01964657078281,+3 days (June 14),1,53151.39148043581,13829.804210662562
2019,Cluster 4,20.51856683166834,+3 days (June 14),4,140135.68563663415,28753.834312369432
2019,Cluster 5,20.232856748437452,+3 days (June 14),5,96160.90934271505,19456.099035306343
2019,Cluster 6,15.707650121158814,+3 days (June 14),2,53205.79589213908,8357.380262915096
2020,Cluster 1,40.67607318020111,+3 days (June 14),2,2908.339071656367,1182.9981291153256
2020,Cluster 2,21.169459314750437,+3 days (June 14),5,137455.10838695487,29098.50324602253
2020,Cluster 3,11.481103418321585,+3 days (June 14),1,55609.05073116319,6384.532624391761
2020,Cluster 4,7.380397020073868,+3 days (June 14),4,134967.69354936507,9961.15163277977
2020,Cluster 5,12.702550613732857,+3 days (June 14),5,92301.56813075558,11724.653409078344
2020,Cluster 6,15.312596375097062,+3 days (June 14),2,49360.14936329551,7558.320442146483
2021,Cluster 1,54.997450138654216,+3 days (June 14),2,3300.24191070316,1815.0488992939395
2021,Cluster 2,34.460263776610184,+3 days (June 14),5,115511.60536182937,39805.60390028339
2021,Cluster 3,18.632333909467043,+3 days (June 14),1,51534.665143589875,9602.11088867939
2021,Cluster 4,13.175590107400282,+3 days (June 14),4,129669.06930779091,17084.665068075312
2021,Cluster 5,8.414170497473078,+3 days (June 14),5,90403.45983865332,7606.70124643889
2021,Cluster 6,7.485514047412331,+3 days (June 14),2,53829.34303536333,4029.4030345418932
2022,Cluster 1,21.38655162447878,+3 days (June 14),2,1992.0609236272762,426.03313782261625
2022,Cluster 2,16.47470889175333,+3 days (June 14),5,123157.85987756812,20289.898892142824
2022,Cluster 3,10.92196733033399,+3 days (June 14),1,50794.986042324985,5547.811780990445
2022,Cluster 4,9.153514736216248,+3 days (June 14),4,125121.7600429754,11453.038743746887
2022,Cluster 5,9.429954534415241,+3 days (June 14),5,100531.03471222073,9480.030866339619
2022,Cluster 6,7.466678038292414,+3 days (June 14),2,56662.99055023749,4230.843071254289
2017,Cluster 1,21.90942964038818,+6 days (June 17),2,3146.7650585852016,689.4382764590446
2017,Cluster 2,14.630225661589296,+6 days (June 17),5,111127.38190590193,16258.186744649603
2017,Cluster 3,11.600141542051288,+6 days (June 17),1,51479.38541473646,5971.681573087536
2017,Cluster 4,9.650157892249137,+6 days (June 17),4,122699.8567106286,11840.729906139108
2017,Cluster 5,9.7567548542674,+6 days (June 17),5,95733.129581944,9340.446767628422
2017,Cluster 6,7.019521536749898,+6 days (June 17),2,61696.20682453911,4330.778525406284
2018,Cluster 1,52.465249609141736,+6 days (June 17),2,3190.5286265710233,1673.9188077816093
2018,Cluster 2,43.804941732381124,+6 days (June 17),5,99586.04311490823,43623.608160069496
2018,Cluster 3,26.036879085380487,+6 days (June 17),1,47254.3687764496,12303.562860883974
2018,Cluster 4,16.520679209852712,+6 days (June 17),4,108783.17257052967,17971.718974677693
2018,Cluster 5,16.52096982876623,+6 days (June 17),5,96028.66338228421,15864.866504354659
2018,Cluster 6,15.878796865831637,+6 days (June 17),2,63797.06205051251,10130.205889369447
2019,Cluster 1,68.65976802148154,+6 days (June 17),2,2262.47339686705,1553.4089858366497
2019,Cluster 2,51.47351304642278,+6 days (June 17),5,111907.6522904602,57602.800001675474
2019,Cluster 3,33.22156124432769,+6 days (June 17),1,53151.39148043581,17657.72207288535
2019,Cluster 4,27.013648977208014,+6 days (June 17),4,140135.68563663415,37855.762209684064
2019,Cluster 5,24.042759479038512,+6 days (June 17),5,96160.90934271505,23119.73614612525
2019,Cluster 6,18.46287945365919,+6 days (June 17),2,53205.79589213908,9823.321957925591
2020,Cluster 1,49.99083466147813,+6 days (June 17),2,2908.339071656367,1453.9029767069026
2020,Cluster 2,30.1375182642169,+6 days (June 17),5,137455.10838695487,41425.55839521766
2020,Cluster 3,17.940526026096286,+6 days (June 17),1,55609.05073116319,9976.55621928942
2020,Cluster 4,10.527875511756484,+6 days (June 17),4,134967.69354936507,14209.23075796614
2020,Cluster 5,17.847343379461947,+6 days (June 17),5,92301.56813075558,16473.377808923964
2020,Cluster 6,22.74338843529501,+6 days (June 17),2,49360.14936329551,11226.170501936094
2021,Cluster 1,67.42259920002616,+6 days (June 17),2,3300.24191070316,2225.108876084677
2021,Cluster 2,41.38613226044251,+6 days (June 17),5,115511.60536182937,47805.785771207105
