cluster,offset_label,offset_short,n_years,mean_cpue_foregone,sd_cpue_foregone,min_cpue_foregone,max_cpue_foregone,mean_protection,sd_protection,min_protection,max_protection
Cluster 1,-3 days (June 8),-3 days,5,4.664731519999995,2.9061707600392896,2.2194786999999963,9.61041379999999,6.182523593945964,5.680652466423294,0,15.488618870836863
Cluster 1,Current (June 11),0 days,6,11.056299000000003,5.625989354527294,4.8806584000000015,20.344019000000003,22.574109997967273,18.164618554119034,3.4214532379649927,52.06238246027344
Cluster 1,+3 days (June 14),+3 days,6,17.067520566666666,7.047246700806375,7.484224999999995,28.106430000000003,33.98260866382198,17.356021967717002,7.829135848879942,54.997450138654216
Cluster 1,+6 days (June 17),+6 days,6,23.93520853333333,9.42758360480275,11.8765432,39.572840899999996,48.56440737977326,18.9624070527672,21.90942964038818,68.65976802148154
Cluster 2,-3 days (June 8),-3 days,5,4.664731519999995,2.9061707600392896,2.2194786999999963,9.61041379999999,6.985156890386846,4.6561662821303935,0,12.745197743252959
Cluster 2,Current (June 11),0 days,6,11.056299000000003,5.625989354527294,4.8806584000000015,20.344019000000003,15.502936400187608,10.462493353595498,2.4153169916912285,29.352572303841445
Cluster 2,+3 days (June 14),+3 days,6,17.067520566666666,7.047246700806375,7.484224999999995,28.106430000000003,23.586523891440763,12.549761942650756,4.416880875607898,39.074918537499485
Cluster 2,+6 days (June 17),+6 days,6,23.93520853333333,9.42758360480275,11.8765432,39.572840899999996,33.97522802226588,14.001695837334625,14.630225661589296,51.47351304642278
Cluster 3,-3 days (June 8),-3 days,5,4.664731519999995,2.9061707600392896,2.2194786999999963,9.61041379999999,3.4079921684230277,2.5240794240904356,0.695939573545433,7.529143423132425
Cluster 3,Current (June 11),0 days,6,11.056299000000003,5.625989354527294,4.8806584000000015,20.344019000000003,8.349369556983552,6.303716949913727,1.7132823490948936,19.007564966847774
Cluster 3,+3 days (June 14),+3 days,6,17.067520566666666,7.047246700806375,7.484224999999995,28.106430000000003,14.279727233181442,7.163752118688187,5.3521408072464265,26.01964657078281
Cluster 3,+6 days (June 17),+6 days,6,23.93520853333333,9.42758360480275,11.8765432,39.572840899999996,21.213938781612818,7.868662601623089,11.600141542051288,33.22156124432769
Cluster 4,-3 days (June 8),-3 days,5,4.664731519999995,2.9061707600392896,2.2194786999999963,9.61041379999999,1.987456831520956,1.7028341000835987,0.16464371846695527,4.562909040859509
Cluster 4,Current (June 11),0 days,6,11.056299000000003,5.625989354527294,4.8806584000000015,20.344019000000003,5.6257024063398235,3.958445166402159,1.4729127642900455,12.470373696060788
Cluster 4,+3 days (June 14),+3 days,6,17.067520566666666,7.047246700806375,7.484224999999995,28.106430000000003,10.257105209074822,5.796433271690537,4.569181483962437,20.51856683166834
Cluster 4,+6 days (June 17),+6 days,6,23.93520853333333,9.42758360480275,11.8765432,39.572840899999996,15.726501272532865,6.239325390259193,9.650157892249137,27.013648977208014
Cluster 5,-3 days (June 8),-3 days,5,4.664731519999995,2.9061707600392896,2.2194786999999963,9.61041379999999,2.3389409593217274,1.1258826213349722,0.9530421775612623,3.9908526541364933
Cluster 5,Current (June 11),0 days,6,11.056299000000003,5.625989354527294,4.8806584000000015,20.344019000000003,6.159129200211453,4.932441924360353,2.398495956469573,14.463698671908945
Cluster 5,+3 days (June 14),+3 days,6,17.067520566666666,7.047246700806375,7.484224999999995,28.106430000000003,11.33303643372313,4.793187095449098,6.7637629568768,20.232856748437452
Cluster 5,+6 days (June 17),+6 days,6,23.93520853333333,9.42758360480275,11.8765432,39.572840899999996,15.644476784512694,5.029971480487267,9.7567548542674,24.042759479038512
Cluster 6,-3 days (June 8),-3 days,5,4.664731519999995,2.9061707600392896,2.2194786999999963,9.61041379999999,1.7909479925537513,0.7862817488755257,0.6013445139187467,2.7849190736483864
Cluster 6,Current (June 11),0 days,6,11.056299000000003,5.625989354527294,4.8806584000000015,20.344019000000003,5.567258323928857,5.086256201379782,0.9783091828157499,12.369468392630548
Cluster 6,+3 days (June 14),+3 days,6,17.067520566666666,7.047246700806375,7.484224999999995,28.106430000000003,9.911956151204274,4.605335611914716,4.359960923753469,15.707650121158814
Cluster 6,+6 days (June 17),+6 days,6,23.93520853333333,9.42758360480275,11.8765432,39.572840899999996,14.291688315710639,5.877585252552429,7.019521536749898,22.74338843529501
