year,cluster,offset_label,foregone_proportion_pct,remaining_proportion_pct,closure_protection_pct,cluster_total_production,cluster_closure_production
2017,Cluster 1,Current (June 11),4.8806584000000015,95.1193416,3.4214532379649927,3146.7650585852016,107.66509498811438
2017,Cluster 2,Current (June 11),4.8806584000000015,95.1193416,2.4153169916912285,111127.38190590193,2684.078537594853
2017,Cluster 3,Current (June 11),4.8806584000000015,95.1193416,1.7132823490948936,51479.38541473646,881.9872237332108
2017,Cluster 4,Current (June 11),4.8806584000000015,95.1193416,1.4729127642900455,122699.8567106286,1807.2618512564447
2017,Cluster 5,Current (June 11),4.8806584000000015,95.1193416,2.398495956469573,95733.129581944,2296.1552420247035
2017,Cluster 6,Current (June 11),4.8806584000000015,95.1193416,2.0394962852167575,61696.20682453911,1258.2918463061228
2018,Cluster 1,Current (June 11),7.6117469,92.3882531,13.793948023215883,3190.5286265710233,440.09986041503055
2018,Cluster 2,Current (June 11),7.6117469,92.3882531,11.397782956110076,99586.04311490823,11350.601048815442
2018,Cluster 3,Current (June 11),7.6117469,92.3882531,4.457390813672648,47254.3687764496,2106.3118929004604
2018,Cluster 4,Current (June 11),7.6117469,92.3882531,2.64296809004383,108783.17257052967,2875.1045383764117
2018,Cluster 5,Current (June 11),7.6117469,92.3882531,3.0634119831949085,96028.66338228421,2941.7535813547956
2018,Cluster 6,Current (June 11),7.6117469,92.3882531,2.3617624661187833,63797.06205051251,1506.7350659955146
2019,Cluster 1,Current (June 11),20.344019000000003,79.655981,23.935598913748752,2262.47339686705,541.5365578043641
2019,Cluster 2,Current (June 11),20.344019000000003,79.655981,29.352572303841445,111907.6522904602,32847.774552088806
2019,Cluster 3,Current (June 11),20.344019000000003,79.655981,19.007564966847774,53151.39148043581,10102.785266427429
2019,Cluster 4,Current (June 11),20.344019000000003,79.655981,12.470373696060788,140135.68563663415,17475.443680425262
2019,Cluster 5,Current (June 11),20.344019000000003,79.655981,14.463698671908945,96160.90934271505,13908.42416749784
2019,Cluster 6,Current (June 11),20.344019000000003,79.655981,12.369468392630548,53205.79589213908,6581.274105925666
2020,Cluster 1,Current (June 11),11.851138599999999,88.1488614,33.964474980468964,2908.339071656367,987.8020963399301
2020,Cluster 2,Current (June 11),11.851138599999999,88.1488614,17.47812815672443,137455.10838695487,24024.580001836446
2020,Cluster 3,Current (June 11),11.851138599999999,88.1488614,8.908410157658105,55609.05073116319,4953.88232391219
2020,Cluster 4,Current (June 11),11.851138599999999,88.1488614,4.428216961403065,134967.69354936507,5976.662298167494
2020,Cluster 5,Current (June 11),11.851138599999999,88.1488614,9.829438000045448,92301.56813075558,9072.725412482327
2020,Cluster 6,Current (June 11),11.851138599999999,88.1488614,11.640785338254968,49360.14936329551,5745.9090300232565
2021,Cluster 1,Current (June 11),14.08509260000001,85.91490739999999,52.06238246027344,3300.24191070316,1718.184565664515
2021,Cluster 2,Current (June 11),14.08509260000001,85.91490739999999,25.20165622316065,115511.60536182937,29110.837681142246
2021,Cluster 3,Current (June 11),14.08509260000001,85.91490739999999,11.565118183073086,51534.665143589875,5960.04492910714
2021,Cluster 4,Current (June 11),14.08509260000001,85.91490739999999,7.555831673041577,129669.06930779091,9797.5766088963
2021,Cluster 5,Current (June 11),14.08509260000001,85.91490739999999,4.69128293556828,90403.45983865332,4241.082084574066
