cluster,quartile_clean,median_production_pct
Cluster 6,Q1,8.322289919476143
Cluster 6,Q2,10.818300119156659
Cluster 6,Q3,12.727294099246663
Cluster 6,Q4,17.970712021934958
Cluster 5,Q1,18.3510522219812
Cluster 5,Q2,19.82886763802864
Cluster 5,Q3,21.55556072924161
Cluster 5,Q4,25.421133869052326
Cluster 4,Q1,20.12893192803823
Cluster 4,Q2,25.776311887593405
Cluster 4,Q3,30.064735955772896
Cluster 4,Q4,26.929081699346245
Cluster 3,Q1,11.010923333217239
Cluster 3,Q2,11.499157337048818
Cluster 3,Q3,11.639051409166644
Cluster 3,Q4,11.143951836870297
Cluster 2,Q1,42.248790470317786
Cluster 2,Q2,31.099910236300047
Cluster 2,Q3,21.639810162324707
Cluster 2,Q4,17.842312932537013
Cluster 1,Q1,1.508895712620633
Cluster 1,Q2,0.756657819143661
Cluster 1,Q3,0.36679657904781565
Cluster 1,Q4,0.22830436378730923
