year,cluster,cluster_days_to_50
2017,Cluster 1,19.5
2017,Cluster 2,18
2017,Cluster 3,21
2017,Cluster 4,21
2017,Cluster 5,21
2017,Cluster 6,22.5
2018,Cluster 1,16.5
2018,Cluster 2,19.8
2018,Cluster 3,24
2018,Cluster 4,24
2018,Cluster 5,26.4
2018,Cluster 6,27
2019,Cluster 1,15
2019,Cluster 2,16.2
2019,Cluster 3,21
2019,Cluster 4,21.75
2019,Cluster 5,21
2019,Cluster 6,21
2020,Cluster 1,15
2020,Cluster 2,22.2
2020,Cluster 3,27
2020,Cluster 4,29.25
2020,Cluster 5,26.4
2020,Cluster 6,28.5
2021,Cluster 1,9
2021,Cluster 2,19.2
2021,Cluster 3,24
2021,Cluster 4,26.25
2021,Cluster 5,27.6
2021,Cluster 6,27
2022,Cluster 1,21
2022,Cluster 2,21.6
2022,Cluster 3,24
2022,Cluster 4,24
2022,Cluster 5,27
2022,Cluster 6,27
