cluster,offset_label,n_years,median_cpue_remaining,median_protection,min_protection,max_protection
Cluster 1,-3 days (June 8),5,96.474693,4.802831186363283,0,15.488618870836863
Cluster 1,Current (June 11),6,90.26855725,18.86477346848232,3.4214532379649927,52.06238246027344
Cluster 1,+3 days (June 14),6,83.65190005,36.27991661751375,7.829135848879942,54.997450138654216
Cluster 1,+6 days (June 17),6,76.23105795000001,51.228042135309934,21.90942964038818,68.65976802148154
Cluster 2,-3 days (June 8),5,96.474693,7.421530054203386,0,12.745197743252959
Cluster 2,Current (June 11),6,90.26855725,14.437955556417254,2.4153169916912285,29.352572303841445
Cluster 2,+3 days (June 14),6,83.65190005,23.54618563358684,4.416880875607898,39.074918537499485
Cluster 2,+6 days (June 17),6,76.23105795000001,35.76182526232971,14.630225661589296,51.47351304642278
Cluster 3,-3 days (June 8),5,96.474693,2.857260947023442,0.695939573545433,7.529143423132425
Cluster 3,Current (June 11),6,90.26855725,6.682900485665376,1.7132823490948936,19.007564966847774
Cluster 3,+3 days (June 14),6,83.65190005,12.37613739062919,5.3521408072464265,26.01964657078281
Cluster 3,+6 days (June 17),6,76.23105795000001,20.566873941944024,11.600141542051288,33.22156124432769
Cluster 4,-3 days (June 8),5,96.474693,2.196656924819349,0.16464371846695527,4.562909040859509
Cluster 4,Current (June 11),6,90.26855725,4.806064107301351,1.4729127642900455,12.470373696060788
Cluster 4,+3 days (June 14),6,83.65190005,8.266955878145058,4.569181483962437,20.51856683166834
Cluster 4,+6 days (June 17),6,76.23105795000001,15.32332302206542,9.650157892249137,27.013648977208014
Cluster 5,-3 days (June 8),5,96.474693,2.0467617698203746,0.9530421775612623,3.9908526541364933
Cluster 5,Current (June 11),6,90.26855725,3.8773474593815944,2.398495956469573,14.463698671908945
Cluster 5,+3 days (June 14),6,83.65190005,9.942438892909296,6.7637629568768,20.232856748437452
Cluster 5,+6 days (June 17),6,76.23105795000001,14.773403129419815,9.7567548542674,24.042759479038512
Cluster 6,-3 days (June 8),5,96.474693,1.9180975107125582,0.6013445139187467,2.7849190736483864
Cluster 6,Current (June 11),6,90.26855725,3.187745372327558,0.9783091828157499,12.369468392630548
Cluster 6,+3 days (June 14),6,83.65190005,8.312425724461942,4.359960923753469,15.707650121158814
Cluster 6,+6 days (June 17),6,76.23105795000001,14.094918461840656,7.019521536749898,22.74338843529501
