year,mgmt_river,cluster,total_annual_production,closure_window_production,unit_protection_pct,offset_label
2019,Takotna and Nixon Fork,Cluster 4,26090.997317105164,7957.092339587636,30.497463331426566,+6 days (June 17)
2019,Tatlawiksuk,Cluster 2,12041.305891813035,6864.7661732384195,57.01014686377015,+6 days (June 17)
2019,Tuluksak,Cluster 5,25036.027561286355,5288.239321520213,21.122517574223753,+6 days (June 17)
2019,Upper Kusko Main,Cluster 2,32134.89021769063,13710.038357483638,42.66402736903113,+6 days (June 17)
2020,Aniak,Cluster 6,30714.6864887987,7316.5998114576305,23.821176928261703,+6 days (June 17)
2020,Big River,Cluster 2,39688.0058831582,12485.05758986844,31.458011840213256,+6 days (June 17)
2020,E. Fork Kuskokwim,Cluster 1,1066.3817807964815,667.6148607081664,62.60561393026841,+6 days (June 17)
2020,George,Cluster 4,15070.094653723429,1113.0446021470575,7.385783750681705,+6 days (June 17)
2020,Hoholitna,Cluster 4,47593.841830189274,4941.766022236943,10.383204700870206,+6 days (June 17)
2020,Holitna,Cluster 4,45513.60936536766,4408.50987568575,9.686135503549593,+6 days (June 17)
2020,Holokuk,Cluster 5,5257.448909155945,1098.6018154886187,20.8961006463683,+6 days (June 17)
2020,Kisaralik,Cluster 5,23963.92246935308,3929.535536892533,16.397714280364273,+6 days (June 17)
2020,Kwethluk,Cluster 6,18645.462874496818,3909.5706904784497,20.967946555115795,+6 days (June 17)
2020,Middle Kusko Main,Cluster 5,33266.56365384025,6558.293633253345,19.714370565882795,+6 days (June 17)
2020,N. Fork Kusko,Cluster 1,1841.957290859885,786.288115998737,42.68764101645768,+6 days (June 17)
2020,Oskakawlik,Cluster 5,6093.631536715954,975.2796546348644,16.004900341586335,+6 days (June 17)
2020,S. Fork Kusko,Cluster 2,7950.595483697552,2308.6954800979356,29.03801966571993,+6 days (June 17)
2020,Stony,Cluster 3,55609.05073116313,9976.556219289405,17.94052602609628,+6 days (June 17)
2020,Swift,Cluster 2,38095.347712373594,11817.094806841616,31.01978461008601,+6 days (June 17)
2020,Takotna and Nixon Fork,Cluster 4,26790.147700084668,3745.910257896385,13.982417341747414,+6 days (June 17)
2020,Tatlawiksuk,Cluster 2,15597.0790188422,5607.766658796346,35.95395427580914,+6 days (June 17)
2020,Tuluksak,Cluster 5,23720.001561690417,3911.667168654617,16.49100721381171,+6 days (June 17)
2020,Upper Kusko Main,Cluster 2,36124.08028888324,9206.94385961332,25.486998661241067,+6 days (June 17)
2021,Aniak,Cluster 6,33561.199185970254,3213.7391499032424,9.575757803215497,+6 days (June 17)
2021,Big River,Cluster 2,32539.399408267,15201.84198879967,46.718262368842225,+6 days (June 17)
2021,E. Fork Kuskokwim,Cluster 1,1312.0895319432686,903.8269075527116,68.88454526529908,+6 days (June 17)
2021,George,Cluster 4,14505.100016332191,1980.4681335346784,13.653598605350853,+6 days (June 17)
2021,Hoholitna,Cluster 4,45233.335400295015,8295.332231387143,18.338979776700352,+6 days (June 17)
2021,Holitna,Cluster 4,46296.476996802405,5288.789818880623,11.423741420423648,+6 days (June 17)
2021,Holokuk,Cluster 5,4282.74639609383,457.3953869639451,10.67995497891545,+6 days (June 17)
2021,Kisaralik,Cluster 5,28188.605554109356,3116.751565822088,11.056778100780248,+6 days (June 17)
2021,Kwethluk,Cluster 6,20268.143849393065,1810.962783917509,8.935020381611011,+6 days (June 17)
2021,Middle Kusko Main,Cluster 5,29828.98707025108,5382.989256616843,18.04616846002586,+6 days (June 17)
2021,N. Fork Kusko,Cluster 1,1988.152378759892,1321.281968531964,66.45778173985397,+6 days (June 17)
2021,Oskakawlik,Cluster 5,5787.379803834947,533.6346908353569,9.220661316918399,+6 days (June 17)
2021,S. Fork Kusko,Cluster 2,6619.108425767426,2570.456166055959,38.83387309459186,+6 days (June 17)
2021,Stony,Cluster 3,51534.66514358986,11952.549220422916,23.19322185779184,+6 days (June 17)
2021,Swift,Cluster 2,31862.170093041783,13669.029919308316,42.9004988655604,+6 days (June 17)
2021,Takotna and Nixon Fork,Cluster 4,23634.156894361466,5708.420735037554,24.15326580318777,+6 days (June 17)
2021,Tatlawiksuk,Cluster 2,12827.026054502743,5835.234802529945,45.49172019870943,+6 days (June 17)
2021,Tuluksak,Cluster 5,22315.74101436405,1966.237420784719,8.810988707563437,+6 days (June 17)
2021,Upper Kusko Main,Cluster 2,31663.901380250205,10529.222894513226,33.253081381439124,+6 days (June 17)
2022,Aniak,Cluster 6,36084.00661765691,4390.008569331952,12.166078495240598,+6 days (June 17)
2022,Big River,Cluster 2,33914.910217861914,7473.504630309848,22.036044271683753,+6 days (June 17)
2022,E. Fork Kuskokwim,Cluster 1,625.9184881650455,246.74418763055988,39.42113746374864,+6 days (June 17)
2022,George,Cluster 4,13562.587906548071,1884.7878347490057,13.896963085039415,+6 days (June 17)
2022,Hoholitna,Cluster 4,41606.671433222495,5920.57349713852,14.229865771985315,+6 days (June 17)
2022,Holitna,Cluster 4,45330.59370422719,6013.90166607334,13.266761307634336,+6 days (June 17)
2022,Holokuk,Cluster 5,5403.854980940605,704.145004175076,13.03042007342157,+6 days (June 17)
2022,Kisaralik,Cluster 5,31141.738863508883,3942.1998086704793,12.658894308852647,+6 days (June 17)
2022,Kwethluk,Cluster 6,20578.98393258063,2585.7948952833563,12.565221411099541,+6 days (June 17)
2022,Middle Kusko Main,Cluster 5,33764.024191610944,4675.082224272188,13.846341886681165,+6 days (June 17)
2022,N. Fork Kusko,Cluster 1,1366.142435462231,369.5708391351218,27.052145482186003,+6 days (June 17)
2022,Oskakawlik,Cluster 5,6333.9419097194395,767.9022850109611,12.123607951513012,+6 days (June 17)
2022,S. Fork Kusko,Cluster 2,7218.99280718807,1643.9552841578254,22.77264056172645,+6 days (June 17)
2022,Stony,Cluster 3,50794.986042324905,7767.215191029853,15.2913029340294,+6 days (June 17)
2022,Swift,Cluster 2,33865.78879755364,8024.396554306863,23.694698512046823,+6 days (June 17)
2022,Takotna and Nixon Fork,Cluster 4,24621.906998977694,3999.363150976376,16.243108834512412,+6 days (June 17)
2022,Tatlawiksuk,Cluster 2,14231.17525285072,3494.7734691958317,24.557166973934745,+6 days (June 17)
2022,Tuluksak,Cluster 5,23887.474766440897,3005.6788209454767,12.582656184186131,+6 days (June 17)
2022,Upper Kusko Main,Cluster 2,33926.992802113855,6974.176443963274,20.556423861795206,+6 days (June 17)
