year,doy,cluster,cluster_interval_production,cluster_cumulative_production,cluster_annual_total,cluster_cumulative_percent
2018,152,Cluster 1,0,0,3190.528626571022,0
2018,152,Cluster 2,0,0,99586.04311490824,0
2018,152,Cluster 3,111.0229310577685,111.0229310577685,47254.36877644959,0.23494744281315974
2018,152,Cluster 4,63.698639766355264,63.698639766355264,108783.17257052957,0.058555600338881686
2018,152,Cluster 5,377.7632313779896,377.7632313779896,96028.66338228426,0.39338591007367996
2018,152,Cluster 6,354.7092915415115,354.7092915415115,63797.062050512424,0.5559962796729797
2019,152,Cluster 1,0,0,2262.473396867049,0
2019,152,Cluster 2,615.1525580449176,615.1525580449176,111907.65229046023,0.5496965984491101
2019,152,Cluster 3,345.77067311086546,345.77067311086546,53151.39148043584,0.6505392680794406
2019,152,Cluster 4,1274.2544549538438,1274.2544549538438,140135.68563663407,0.9093004748682872
2019,152,Cluster 5,115.23643357138714,115.23643357138714,96160.909342715,0.11983708802158627
2019,152,Cluster 6,0,0,53205.79589213916,0
2022,152,Cluster 1,50.025655540795995,50.025655540795995,1992.0609236272767,2.511251284910803
2022,152,Cluster 2,1941.8709115792637,1941.8709115792637,123157.8598775682,1.576733237740317
2022,152,Cluster 3,101.0907040041824,101.0907040041824,50794.986042324905,0.19901709180498364
2022,152,Cluster 4,42.102156255338834,42.102156255338834,125121.76004297545,0.03364894822521522
2022,152,Cluster 5,37.64392007437711,37.64392007437711,100531.03471222077,0.037445073734828506
2022,152,Cluster 6,0,0,56662.99055023754,0
2020,153,Cluster 1,0,0,2908.3390716563663,0
2020,153,Cluster 2,256.6007227510395,256.6007227510395,137455.1083869548,0.18667965546152976
2020,153,Cluster 3,314.49584334094766,314.49584334094766,55609.05073116313,0.5655479444548498
2020,153,Cluster 4,1755.6477358180518,1755.6477358180518,134967.69354936504,1.300791092778003
2020,153,Cluster 5,306.9049340780246,306.9049340780246,92301.56813075565,0.33250240520644125
2020,153,Cluster 6,50.51525489746057,50.51525489746057,49360.14936329552,0.10234015810135291
2021,153,Cluster 1,0,0,3300.2419107031606,0
2021,153,Cluster 2,0,0,115511.60536182916,0
2021,153,Cluster 3,89.20581968258705,89.20581968258705,51534.66514358986,0.17309866947623492
2021,153,Cluster 4,122.14378666026258,122.14378666026258,129669.06930779107,0.09419654765187989
2021,153,Cluster 5,1135.1915246795704,1135.1915246795704,90403.45983865326,1.2556947783918813
2021,153,Cluster 6,380.6331792389147,380.6331792389147,53829.343035363316,0.7071109505996699
2018,155,Cluster 1,74.7673567518772,74.7673567518772,3190.528626571022,2.343415950861799
2018,155,Cluster 2,584.37051790003,584.37051790003,99586.04311490824,0.5867996153092947
2018,155,Cluster 3,234.6831436496749,345.7060747074434,47254.36877644959,0.7315854251337175
2018,155,Cluster 4,1349.7081950753336,1413.4068348416888,108783.17257052957,1.2992881173099695
2018,155,Cluster 5,218.57840826851145,596.3416396465011,96028.66338228426,0.6210037905791747
2018,155,Cluster 6,28.93084114058496,383.64013268209646,63797.062050512424,0.6013445139187488
2019,155,Cluster 1,45.60615953668923,45.60615953668923,2262.473396867049,2.015765559932867
2019,155,Cluster 2,4078.33467851733,4693.487236562248,111907.65229046023,4.194071755146947
2019,155,Cluster 3,978.1239343684659,1323.8946074793314,53151.39148043584,2.4907995267943934
2019,155,Cluster 4,1024.887271552872,2299.1417265067157,140135.68563663407,1.640653996205002
2019,155,Cluster 5,1586.8865564326702,1702.1229900040573,96160.909342715,1.7700778847023326
2019,155,Cluster 6,449.8531562266703,449.8531562266703,53205.79589213916,0.8454965266164423
2022,155,Cluster 1,0,50.025655540795995,1992.0609236272767,2.511251284910803
2022,155,Cluster 2,0,1941.8709115792637,123157.8598775682,1.576733237740317
2022,155,Cluster 3,0,101.0907040041824,50794.986042324905,0.19901709180498364
2022,155,Cluster 4,0,42.102156255338834,125121.76004297545,0.03364894822521522
2022,155,Cluster 5,0,37.64392007437711,100531.03471222077,0.037445073734828506
2022,155,Cluster 6,0,0,56662.99055023754,0
2020,156,Cluster 1,29.724632929680673,29.724632929680673,2908.3390716563663,1.0220483993550247
2020,156,Cluster 2,1212.8398808093118,1469.4406035603513,137455.1083869548,1.0690330980087526
2020,156,Cluster 3,64.45838409329292,378.9542274342406,55609.05073116313,0.6814614212104791
2020,156,Cluster 4,33.72827062471549,1789.3760064427674,134967.69354936504,1.3257809771997735
2020,156,Cluster 5,24.46020165920457,331.3651357372292,92301.56813075565,0.35900271517360666
2020,156,Cluster 6,0,50.51525489746057,49360.14936329552,0.10234015810135291
2021,156,Cluster 1,30.04686646694072,30.04686646694072,3300.2419107031606,0.9104443637751038
2021,156,Cluster 2,2454.775766018824,2454.775766018824,115511.60536182916,2.1251334515951634
2021,156,Cluster 3,614.2235227636559,703.4293424462429,51534.66514358986,1.3649634483629491
2021,156,Cluster 4,493.087066538719,615.2308531989815,129669.06930779107,0.47446230352639374
2021,156,Cluster 5,531.4287803539771,1666.6203050335475,90403.45983865326,1.8435359752912475
2021,156,Cluster 6,1118.4704621725396,1499.1036414114542,53829.343035363316,2.78491907364839
2017,158,Cluster 1,0,0,3146.7650585852066,0
2017,158,Cluster 2,0,0,111127.38190590199,0
2017,158,Cluster 3,358.26541531912665,358.26541531912665,51479.3854147365,0.6959395735454322
2017,158,Cluster 4,202.01760664200492,202.01760664200492,122699.85671062849,0.16464371846695547
2017,158,Cluster 5,1859.7399355309378,1859.7399355309378,95733.12958194403,1.9426294153886081
2017,158,Cluster 6,1183.3934073055555,1183.3934073055555,61696.206824539004,1.9180975107125602
2018,158,Cluster 1,74.13792033204149,148.9052770839187,3190.528626571022,4.6671036217578985
2018,158,Cluster 2,5313.3210511133675,5897.691569013397,99586.04311490824,5.922206952442415
2018,158,Cluster 3,1004.474550104497,1350.1806248119403,47254.36877644959,2.8572609470234567
2018,158,Cluster 4,976.1862584670325,2389.5930933087216,108783.17257052957,2.1966569248193504
2018,158,Cluster 5,318.8520249349958,915.1936645814969,96028.66338228426,0.9530421775612629
2018,158,Cluster 6,0,383.64013268209646,63797.062050512424,0.6013445139187488
2019,158,Cluster 1,89.10296107438299,134.70912061107222,2262.473396867049,5.954064290771779
2019,158,Cluster 2,9569.364337688843,14262.85157425109,111907.65229046023,12.745197743252945
2019,158,Cluster 3,2677.949888473264,4001.844495952595,53151.39148043584,7.529143423132409
2019,158,Cluster 4,4095.1221428777167,6394.263869384433,140135.68563663407,4.562909040859506
2019,158,Cluster 5,2135.5172127414694,3837.640202745527,96160.909342715,3.990852654136492
2019,158,Cluster 6,436.03352013199077,885.8866763586611,53205.79589213916,1.6650191233950613
2022,158,Cluster 1,81.39132421835986,131.41697975915585,1992.0609236272767,6.59703617497115
2022,158,Cluster 2,3762.879644328326,5704.75055590759,123157.8598775682,4.632063728274191
2022,158,Cluster 3,1409.535971395543,1510.6266753997254,50794.986042324905,2.973968088387693
2022,158,Cluster 4,5622.6948522627245,5664.797008518063,125121.76004297545,4.527427528650796
2022,158,Cluster 5,982.7729239750736,1020.4168440494507,100531.03471222077,1.0150266999344895
2022,158,Cluster 6,98.54020013623706,98.54020013623706,56662.99055023754,0.1739057525544316
2020,159,Cluster 1,420.7369213508089,450.4615542804896,2908.3390716563663,15.488618870836865
2020,159,Cluster 2,10677.260732364788,12146.70133592514,137455.1083869548,8.836849702035465
2020,159,Cluster 3,1547.9920551788505,1926.9462826130912,55609.05073116313,3.465166654127467
2020,159,Cluster 4,1261.4444975370134,3050.820503979781,134967.69354936504,2.260407971529816
2020,159,Cluster 5,2217.4677005848002,2548.8328363220294,92301.56813075565,2.7614187797018985
2020,159,Cluster 6,929.4612787052758,979.9765336027364,49360.14936329552,1.9853597410940016
2021,159,Cluster 1,128.45818124574214,158.50504771268285,3300.2419107031606,4.802831186363282
2021,159,Cluster 2,6117.952742002149,8572.728508020973,115511.60536182916,7.421530054203396
2021,159,Cluster 3,581.0465448173278,1284.4758872635707,51534.66514358986,2.4924502442863745
2021,159,Cluster 4,360.74479484405555,975.9756480430372,129669.06930779107,0.7526665019291507
2021,159,Cluster 5,183.72314953892658,1850.343454572474,90403.45983865326,2.046761769820378
2021,159,Cluster 6,0,1499.1036414114542,53829.343035363316,2.78491907364839
2017,161,Cluster 1,107.66509498811445,107.66509498811445,3146.7650585852066,3.4214532379649896
2017,161,Cluster 2,2684.0785375948517,2684.0785375948517,111127.38190590199,2.415316991691226
2017,161,Cluster 3,523.7218084140865,881.9872237332131,51479.3854147365,1.7132823490948967
2017,161,Cluster 4,1605.2442446144396,1807.2618512564445,122699.85671062849,1.4729127642900468
2017,161,Cluster 5,436.4153064937651,2296.155242024703,95733.12958194403,2.3984959564695716
2017,161,Cluster 6,74.89843900056746,1258.2918463061228,61696.206824539004,2.039496285216761
2018,161,Cluster 1,291.1945833311116,440.09986041503026,3190.528626571022,13.79394802321588
2018,161,Cluster 2,5452.909479802027,11350.601048815424,99586.04311490824,11.397782956110056
2018,161,Cluster 3,756.1312680885192,2106.3118929004595,47254.36877644959,4.457390813672647
2018,161,Cluster 4,485.51144506769083,2875.104538376412,108783.17257052957,2.642968090043833
2018,161,Cluster 5,2026.5599167732996,2941.7535813547966,96028.66338228426,3.063411983194908
2018,161,Cluster 6,1123.0949333134208,1506.7350659955173,63797.062050512424,2.361762466118791
2019,161,Cluster 1,406.82743719329187,541.5365578043641,2262.473396867049,23.935598913748763
2019,161,Cluster 2,18584.92297783773,32847.77455208882,111907.65229046023,29.352572303841452
2019,161,Cluster 3,6100.940770474834,10102.785266427429,53151.39148043584,19.007564966847763
