cluster,n_scenarios,correlation
Cluster 2,4,0.9994780761107201
Cluster 6,4,0.9993635518012302
Cluster 1,4,0.9981736405127122
Cluster 3,4,0.9981205995047271
Cluster 5,4,0.9976274571972826
Cluster 4,4,0.9971227987971183
