cluster,offset_label,mean_pct,median_pct,min_pct,max_pct
Cluster 2,-3 days (June 8),6.592974696701401,6.671868503322905,0,12.745197743252945
Cluster 1,-3 days (June 8),6.25160902411683,5.378447738567531,0,15.488618870836865
Cluster 3,-3 days (June 8),3.335654821750472,2.915614517705575,0.6959395735454322,7.529143423132409
Cluster 4,-3 days (June 8),2.410785281042596,2.2285324481745827,0.16464371846695547,4.562909040859506
Cluster 5,-3 days (June 8),2.118288582757188,1.9946955926044931,0.9530421775612629,3.990852654136492
Cluster 6,-3 days (June 8),1.5214409525538655,1.7915583170538107,0.1739057525544316,2.78491907364839
Cluster 1,Current (June 11),22.57410999796727,18.86477346848232,3.4214532379649896,52.06238246027338
Cluster 2,Current (June 11),15.502936400187611,14.43795555641725,2.415316991691226,29.352572303841452
Cluster 3,Current (June 11),8.349369556983547,6.6829004856653675,1.7132823490948967,19.007564966847763
Cluster 5,Current (June 11),6.159129200211451,3.8773474593815953,2.3984959564695716,14.463698671908935
Cluster 4,Current (June 11),5.625702406339822,4.806064107301353,1.4729127642900468,12.470373696060792
Cluster 6,Current (June 11),5.5672583239288524,3.187745372327565,0.9783091828157502,12.369468392630495
Cluster 1,+3 days (June 14),33.982608663821985,36.27991661751379,7.829135848879925,54.99745013865412
Cluster 2,+3 days (June 14),23.586523891440777,23.546185633586873,4.4168808756078946,39.074918537499485
Cluster 3,+3 days (June 14),14.279727233181463,12.376137390629223,5.352140807246398,26.019646570782847
Cluster 5,+3 days (June 14),11.333036433723125,9.942438892909287,6.763762956876793,20.232856748437452
Cluster 4,+3 days (June 14),10.257105209074815,8.266955878145051,4.569181483962445,20.518566831668323
Cluster 6,+3 days (June 14),9.911956151204274,8.312425724461953,4.3599609237534835,15.707650121158784
Cluster 1,+6 days (June 17),48.56440737977326,51.22804213530998,21.909429640388144,68.65976802148155
Cluster 2,+6 days (June 17),33.97522802226588,35.76182526232976,14.630225661589291,51.47351304642274
Cluster 3,+6 days (June 17),21.213938781612818,20.56687394194406,11.600141542051297,33.221561244327745
Cluster 4,+6 days (June 17),15.72650127253287,15.323323022065415,9.650157892249142,27.01364897720803
Cluster 5,+6 days (June 17),15.644476784512701,14.773403129419812,9.756754854267392,24.04275947903855
Cluster 6,+6 days (June 17),14.291688315710628,14.094918461840656,7.019521536749919,22.743388435294975
