cluster,quartile_clean,mean_production_pct,median_production_pct,sd_production_pct,min_production_pct,max_production_pct,q1_production_pct,q3_production_pct,n_years
Cluster 6,Q1,8.943334348041272,8.322289919476137,3.685541638009565,4.324675677527667,13.981481893533415,6.615775766580288,11.577320701833488,6
Cluster 6,Q2,10.935879490816765,10.818300119156664,1.0911451353263506,9.46804684872087,12.712092450111204,10.462914515756564,11.295138599638154,6
Cluster 6,Q3,12.848137981682875,12.727294099246656,2.0559729176557,9.607451707390512,16.013549106326096,12.533714440091973,13.339861767946848,6
Cluster 6,Q4,24.557047231194737,17.970712021934958,19.135143602907526,11.164252742554414,62.74211742254796,15.11551668059837,21.990706214016196,6
Cluster 5,Q1,18.97639939062717,18.351052221981206,7.653921118339228,9.214330052470098,32.62712288119093,16.359627980824825,19.30202735477046,6
Cluster 5,Q2,19.54297921815342,19.82886763802864,2.7995845004056927,15.598020062490436,22.76321954940342,17.65131668488459,21.692292449856758,6
Cluster 5,Q3,22.179507583307135,21.555560729241613,1.8361174678850023,20.88584314089643,25.789151872185954,21.13187503230627,22.114102103522438,6
Cluster 5,Q4,24.028118077825347,25.421133869052337,4.197719535095772,16.450054170957007,28.036521724943835,22.883159154686165,26.457306404549936,6
Cluster 4,Q1,19.338297535003374,20.128931928038227,5.262585429152182,13.367798471678032,25.55716793808266,14.545278775025889,23.15440339713055,6
Cluster 4,Q2,26.008893041473648,25.7763118875934,2.7354543986724553,21.83486519847551,29.22035673704682,24.858828438548837,28.113461908847434,6
Cluster 4,Q3,31.614592365731944,30.064735955772896,3.9874161367029233,27.76519663941154,38.045380035186206,29.065348720679637,33.777648463392914,6
Cluster 4,Q4,24.748663016925274,26.929081699346256,10.638432654805559,5.067221930699481,37.06571076234111,24.43737714326353,28.40282521377351,6
Cluster 3,Q1,10.96049853296165,11.01092333321724,0.8421948544041005,9.635396425378227,12.125738492493127,10.64806445721872,11.342404419487947,6
Cluster 3,Q2,11.499228813294831,11.499157337048796,0.5106503881018063,10.767686869276162,12.232127285228717,11.253901130061928,11.743610576837355,6
Cluster 3,Q3,11.557502272888001,11.63905140916666,0.6918269593538513,10.619595418462303,12.490192847470157,11.092200589066815,11.945167030313184,6
Cluster 3,Q4,11.14442909744894,11.1439518368703,0.9545498179414817,9.689338633583192,12.551195268288984,10.784370175529519,11.541208499716276,6
Cluster 2,Q1,39.941661951858315,42.248790470317786,12.123177388976549,17.98676596393847,54.591270653966326,38.79364530125551,44.26151554836052,6
Cluster 2,Q2,31.031935451182946,31.09991023630006,4.139951420814226,23.938101377872037,35.41490494277947,30.09946200373238,33.929582549802184,6
Cluster 2,Q3,21.17608862263213,21.6398101623247,4.9621810988203885,14.813348318212984,26.148702267986135,17.370465452957127,25.560585246913423,6
Cluster 2,Q4,15.009305012438166,17.842312932537016,7.917305442742841,0,22.257670036205056,14.176732270478762,18.829574825802176,6
Cluster 1,Q1,1.6467156375358252,1.5088957126206304,0.7990093630693768,0.765609375476342,2.9084622028693246,1.080645032324839,2.065125940206493,6
Cluster 1,Q2,0.7536334215157187,0.7566578191436615,0.19925092079407877,0.47698514337858894,1.064936375917458,0.6534867731674647,0.8247646650375726,6
Cluster 1,Q3,0.383493420155922,0.3667965790478157,0.16428294604964244,0.1874950283369326,0.65597774667345,0.28281658526594555,0.44350264513010074,6
Cluster 1,Q4,0.27736765043259687,0.22830436378730873,0.23390412150685383,0,0.690459547066066,0.17303198275445128,0.3289734201053764,6
