cluster,mean_pct,min_pct,max_pct
Cluster 1,22.6,3.4,52.1
Cluster 2,15.5,2.4,29.4
Cluster 3,8.3,1.7,19
Cluster 5,6.2,2.4,14.5
Cluster 6,5.6,1,12.4
Cluster 4,5.6,1.5,12.5
