year,mgmt_river,cluster,total_annual_production,closure_window_production,unit_protection_pct
2021,Tatlawiksuk,Cluster 2,12827.026054502743,3625.523474951066,28.26472371340025
2021,Tuluksak,Cluster 5,22315.74101436405,702.3226314858671,3.147207305523937
2021,Upper Kusko Main,Cluster 2,31663.901380250205,6353.333321021368,20.064910020797836
2022,Aniak,Cluster 6,36084.00661765691,389.674395491095,1.0799088904401666
2022,Big River,Cluster 2,33914.910217861914,2464.856182280845,7.267765612372705
2022,E. Fork Kuskokwim,Cluster 1,625.9184881650455,56.674665131668874,9.054639893737185
2022,George,Cluster 4,13562.587906548071,720.9115283205318,5.315442253999865
2022,Hoholitna,Cluster 4,41606.671433222495,2426.6462872478273,5.8323490047564235
2022,Holitna,Cluster 4,45330.59370422719,2059.2851819574093,4.542815378492111
2022,Holokuk,Cluster 5,5403.854980940605,62.533182968924976,1.1571958016911907
2022,Kisaralik,Cluster 5,31141.738863508883,739.0393110940513,2.373147223195167
2022,Kwethluk,Cluster 6,20578.98393258063,164.66484431989963,0.8001602258856054
2022,Middle Kusko Main,Cluster 5,33764.024191610944,953.1707983695032,2.8230367119756106
2022,N. Fork Kusko,Cluster 1,1366.142435462231,108.0050745570575,7.905842886764164
2022,Oskakawlik,Cluster 5,6333.9419097194395,167.00469190366437,2.636662828362785
2022,S. Fork Kusko,Cluster 2,7218.99280718807,516.8951364571761,7.160211268564988
2022,Stony,Cluster 3,50794.986042324905,2257.5581998642533,4.44445087155481
2022,Swift,Cluster 2,33865.78879755364,2487.990977697163,7.346620486444679
2022,Takotna and Nixon Fork,Cluster 4,24621.906998977694,1279.358001543485,5.196015083626968
2022,Tatlawiksuk,Cluster 2,14231.17525285072,1087.6578925049728,7.642783348389294
2022,Tuluksak,Cluster 5,23887.474766440897,600.0203975264803,2.511861983709717
2022,Upper Kusko Main,Cluster 2,33926.992802113855,2275.6807534536265,6.707581679068938
