year,mgmt_river,cluster,total_annual_production,closure_window_production,unit_protection_pct
2017,Aniak,Cluster 6,39770.37460844513,979.5059743182804,2.462903565686518
2017,Big River,Cluster 2,29831.647233415995,690.7569801777656,2.3155173925629304
2017,E. Fork Kuskokwim,Cluster 1,1459.7391135128048,58.78174012902183,4.026866142372926
2017,George,Cluster 4,13134.333903231036,200.25095962572976,1.524637344391467
2017,Hoholitna,Cluster 4,40988.16942515347,646.0956015262219,1.5762977722291942
2017,Holitna,Cluster 4,44908.45038801223,800.7888986919288,1.7831586077298491
2017,Holokuk,Cluster 5,5080.039104499825,171.71157615000865,3.3801231175151587
2017,Kisaralik,Cluster 5,28790.89255933052,527.1673020898455,1.831021045990468
2017,Kwethluk,Cluster 6,21925.832216093877,278.7858719878425,1.2714950531419722
2017,Middle Kusko Main,Cluster 5,31402.62556713455,649.5064597027658,2.0683189636936863
2017,N. Fork Kusko,Cluster 1,1687.0259450724018,48.88335485909262,2.897605398534324
2017,Oskakawlik,Cluster 5,6304.010776114962,174.50821276917316,2.768209303041819
2017,S. Fork Kusko,Cluster 2,6710.899675557058,148.9593372190528,2.2196627042660713
2017,Stony,Cluster 3,51479.3854147365,881.9872237332131,1.7132823490948967
2017,Swift,Cluster 2,31065.383302919785,768.919114709505,2.47516377703035
2017,Takotna and Nixon Fork,Cluster 4,23668.90299423175,160.12639141256395,0.676526459429014
2017,Tatlawiksuk,Cluster 2,12861.89160822922,374.8412328336357,2.9143554016098765
2017,Tuluksak,Cluster 5,24155.561574864165,773.2616913129098,3.2011745573224495
2017,Upper Kusko Main,Cluster 2,30657.560085779925,700.6018726548928,2.285249937355116
2018,Aniak,Cluster 6,37298.362562466566,1130.2921878024538,3.030406994166199
2018,Big River,Cluster 2,28631.954634975475,3523.978166458963,12.307850481693047
2018,E. Fork Kuskokwim,Cluster 1,1223.6707131823969,206.43640437957856,16.870257836170648
2018,George,Cluster 4,12101.210568777902,207.91842413528403,1.7181621867793155
2018,Hoholitna,Cluster 4,35768.6274961582,1139.5679219157048,3.1859425471052876
2018,Holitna,Cluster 4,39032.404380985005,865.2941075794715,2.216860891103617
2018,Holokuk,Cluster 5,5505.225038006478,153.56109748923046,2.789370033542483
2018,Kisaralik,Cluster 5,29732.644568583877,809.4712016258715,2.7224998427525526
2018,Kwethluk,Cluster 6,26498.699488045862,376.44287819306345,1.4206088806844464
2018,Middle Kusko Main,Cluster 5,33011.0004595517,1162.5632707547643,3.521745038231271
2018,N. Fork Kusko,Cluster 1,1966.857913388625,233.66345603545167,11.880037416270795
2018,Oskakawlik,Cluster 5,5731.199352056071,166.8250547101088,2.910822752139309
2018,S. Fork Kusko,Cluster 2,5802.59815200685,576.9848836964496,9.943560946003082
2018,Stony,Cluster 3,47254.36877644959,2106.3118929004595,4.457390813672647
2018,Swift,Cluster 2,27377.517241431153,3233.1391311894217,11.809467975776206
2018,Takotna and Nixon Fork,Cluster 4,21880.930124608465,662.3240847459517,3.026946665311392
2018,Tatlawiksuk,Cluster 2,11096.95633868616,1542.7202437204496,13.90219260701446
2018,Tuluksak,Cluster 5,22048.59396408612,649.3329567748216,2.945008456468872
2018,Upper Kusko Main,Cluster 2,26677.016747808608,2473.7786237501396,9.273070700281167
2019,Aniak,Cluster 6,34613.90083184409,3759.0548689085417,10.859957354041667
2019,Big River,Cluster 2,30962.13516316344,10670.382940883846,34.462684452003536
2019,E. Fork Kuskokwim,Cluster 1,876.6654851578882,180.6195855943212,20.60302232176866
2019,George,Cluster 4,15856.853520454202,1064.4916705473,6.713133025881725
2019,Hoholitna,Cluster 4,48681.33437064826,7449.659464254656,15.302907285849432
2019,Holitna,Cluster 4,49506.50042842644,4925.64265305909,9.949486654142097
2019,Holokuk,Cluster 5,5546.392119738513,659.8244144394946,11.896461703299158
2019,Kisaralik,Cluster 5,26356.244708210754,4357.252547962642,16.532144833991573
2019,Kwethluk,Cluster 6,18591.89506029507,2822.219237017106,15.179836309662962
2019,Middle Kusko Main,Cluster 5,32707.32032857252,5342.435025307772,16.334065192863623
2019,N. Fork Kusko,Cluster 1,1385.8079117091606,360.9169722100429,26.043795042626982
2019,Oskakawlik,Cluster 5,6514.924624906842,722.9387620389032,11.096655812026999
2019,S. Fork Kusko,Cluster 2,6532.464916778977,1735.9023037610414,26.57346538979927
2019,Stony,Cluster 3,53151.39148043584,10102.785266427429,19.007564966847763
2019,Swift,Cluster 2,30236.856101014146,9174.17186046013,30.341024310898607
2019,Takotna and Nixon Fork,Cluster 4,26090.997317105164,4035.6498925642086,15.46759536830143
2019,Tatlawiksuk,Cluster 2,12041.305891813035,3973.156547190252,32.99606025199997
2019,Tuluksak,Cluster 5,25036.027561286355,2825.97341774901,11.287627043991842
2019,Upper Kusko Main,Cluster 2,32134.89021769063,7294.16089979355,22.69857108700508
2020,Aniak,Cluster 6,30714.6864887987,4144.7045595489735,13.494210859226907
2020,Big River,Cluster 2,39688.0058831582,7158.609442791668,18.037211201456355
2020,E. Fork Kuskokwim,Cluster 1,1066.3817807964815,466.82764525739873,43.776783668296055
2020,George,Cluster 4,15070.094653723429,334.6953496083395,2.220924004121268
2020,Hoholitna,Cluster 4,47593.841830189274,2138.0871228543497,4.492360861480484
2020,Holitna,Cluster 4,45513.60936536766,2019.5698550346776,4.4372878424610604
2020,Holokuk,Cluster 5,5257.448909155945,598.9449255194188,11.392310907222418
2020,Kisaralik,Cluster 5,23963.92246935308,2226.4716759405824,9.290931727841995
2020,Kwethluk,Cluster 6,18645.462874496818,1601.2044704742882,8.587635937236016
2020,Middle Kusko Main,Cluster 5,33266.56365384025,3501.1140339087005,10.524423473190737
2020,N. Fork Kusko,Cluster 1,1841.957290859885,520.9744510825318,28.283742172942787
2020,Oskakawlik,Cluster 5,6093.631536715954,534.3238753509992,8.768562262610365
2020,S. Fork Kusko,Cluster 2,7950.595483697552,1318.6360425361163,16.585374582821355
2020,Stony,Cluster 3,55609.05073116313,4953.882323912177,8.90841015765809
2020,Swift,Cluster 2,38095.347712373594,6894.630105424407,18.098351949639746
2020,Takotna and Nixon Fork,Cluster 4,26790.147700084668,1484.309970670129,5.540506858293424
2020,Tatlawiksuk,Cluster 2,15597.0790188422,3395.016502498573,21.767002003369935
2020,Tuluksak,Cluster 5,23720.001561690417,2211.870901762635,9.324918870726268
2020,Upper Kusko Main,Cluster 2,36124.08028888324,5257.687908585686,14.55452392570304
2021,Aniak,Cluster 6,33561.199185970254,1293.176913029536,3.8531904234522374
2021,Big River,Cluster 2,32539.399408267,9239.893403591945,28.396017048933135
2021,E. Fork Kuskokwim,Cluster 1,1312.0895319432686,682.315782974364,52.00222746719281
2021,George,Cluster 4,14505.100016332191,1034.7058297363974,7.133393279407642
2021,Hoholitna,Cluster 4,45233.335400295015,3905.056800303184,8.633139178760882
2021,Holitna,Cluster 4,46296.476996802405,2164.941750627476,4.676255929316184
2021,Holokuk,Cluster 5,4282.74639609383,170.42159925751298,3.979259650138276
2021,Kisaralik,Cluster 5,28188.605554109356,876.0912830478226,3.1079624757107056
2021,Kwethluk,Cluster 6,20268.143849393065,867.3866505311727,4.279556416100465
2021,Middle Kusko Main,Cluster 5,29828.98707025108,2300.048320718005,7.710782519369823
2021,N. Fork Kusko,Cluster 1,1988.152378759892,1035.8687826901491,52.102082001193054
2021,Oskakawlik,Cluster 5,5787.379803834947,192.19825006485897,3.320989058597827
2021,S. Fork Kusko,Cluster 2,6619.108425767426,1534.196518810233,23.17829562721443
2021,Stony,Cluster 3,51534.66514358986,5960.044929107133,11.565118183073073
2021,Swift,Cluster 2,31862.170093041783,8357.890962767618,26.231392709164076
2021,Takotna and Nixon Fork,Cluster 4,23634.156894361466,2692.872228229226,11.39398473262941
