year,cluster,closure_protection_pct,n_units,cluster_total_production,cluster_closure_production,offset_label
2017,Cluster 1,7.829135848879925,2,3146.7650585852066,246.3645112817218,+3 days (June 14)
2017,Cluster 2,4.4168808756078946,5,111127.38190590199,4908.364078965533,+3 days (June 14)
2017,Cluster 3,5.352140807246398,1,51479.3854147365,2755.2491941017624,+3 days (June 14)
2017,Cluster 4,4.569181483962445,4,122699.85671062849,5606.379133670489,+3 days (June 14)
2017,Cluster 5,6.763762956876793,5,95733.12958194403,6475.161956122389,+3 days (June 14)
2017,Cluster 6,4.3599609237534835,2,61696.206824539004,2689.9305089880304,+3 days (June 14)
2018,Cluster 1,31.88376005482642,2,3190.528626571022,1017.2604917764536,+3 days (June 14)
2018,Cluster 2,25.922911952423277,5,99586.04311490824,25815.60227357995,+3 days (June 14)
2018,Cluster 3,13.271171362936835,1,47254.36877644959,6271.208256796743,+3 days (June 14)
2018,Cluster 4,6.745381075127765,4,108783.17257052957,7337.83953549608,+3 days (June 14)
2018,Cluster 5,10.454923251403342,5,96028.66338228426,10039.723055966284,+3 days (June 14)
2018,Cluster 6,9.139337401511558,2,63797.062050512424,5830.628753048019,+3 days (June 14)
2019,Cluster 1,47.12268113589148,2,2262.473396867049,1066.138124590032,+3 days (June 14)
2019,Cluster 2,39.074918537499485,5,111907.65229046023,43727.82396972551,+3 days (June 14)
2019,Cluster 3,26.019646570782847,1,53151.39148043584,13829.80421066259,+3 days (June 14)
2019,Cluster 4,20.518566831668323,4,140135.68563663407,28753.83431236939,+3 days (June 14)
2019,Cluster 5,20.232856748437452,5,96160.909342715,19456.09903530633,+3 days (June 14)
2019,Cluster 6,15.707650121158784,2,53205.79589213916,8357.380262915092,+3 days (June 14)
2020,Cluster 1,40.676073180201165,2,2908.3390716563663,1182.9981291153267,+3 days (June 14)
2020,Cluster 2,21.169459314750473,5,137455.1083869548,29098.503246022556,+3 days (June 14)
2020,Cluster 3,11.481103418321611,1,55609.05073116313,6384.532624391769,+3 days (June 14)
2020,Cluster 4,7.380397020073874,4,134967.69354936504,9961.151632779776,+3 days (June 14)
2020,Cluster 5,12.702550613732837,5,92301.56813075565,11724.653409078335,+3 days (June 14)
2020,Cluster 6,15.31259637509708,2,49360.14936329552,7558.320442146493,+3 days (June 14)
2021,Cluster 1,54.99745013865412,2,3300.2419107031606,1815.0488992939368,+3 days (June 14)
2021,Cluster 2,34.46026377661021,5,115511.60536182916,39805.60390028336,+3 days (June 14)
2021,Cluster 3,18.63233390946711,1,51534.66514358986,9602.11088867942,+3 days (June 14)
2021,Cluster 4,13.175590107400254,4,129669.06930779107,17084.665068075297,+3 days (June 14)
2021,Cluster 5,8.414170497473092,5,90403.45983865326,7606.701246438898,+3 days (June 14)
2021,Cluster 6,7.485514047412346,2,53829.343035363316,4029.4030345419005,+3 days (June 14)
2022,Cluster 1,21.38655162447878,2,1992.0609236272767,426.03313782261637,+3 days (June 14)
2022,Cluster 2,16.474708891753327,5,123157.8598775682,20289.898892142835,+3 days (June 14)
2022,Cluster 3,10.921967330333977,1,50794.986042324905,5547.81178099043,+3 days (June 14)
2022,Cluster 4,9.153514736216229,4,125121.76004297545,11453.038743746867,+3 days (June 14)
2022,Cluster 5,9.429954534415232,5,100531.03471222077,9480.030866339614,+3 days (June 14)
2022,Cluster 6,7.466678038292391,2,56662.99055023754,4230.8430712542795,+3 days (June 14)
