cluster,quartile_clean,production_proportion,sd_proportion,n_years
Cluster 1,Q1,0.01646715637535825,0.007990093630693768,6
Cluster 1,Q2,0.007536334215157187,0.001992509207940788,6
Cluster 1,Q3,0.00383493420155922,0.0016428294604964246,6
Cluster 1,Q4,0.0027736765043259687,0.002339041215068538,6
Cluster 2,Q1,0.39941661951858315,0.1212317738897655,6
Cluster 2,Q2,0.31031935451182946,0.041399514208142266,6
Cluster 2,Q3,0.2117608862263213,0.04962181098820389,6
Cluster 2,Q4,0.15009305012438165,0.0791730544274284,6
Cluster 3,Q1,0.1096049853296165,0.008421948544041007,6
Cluster 3,Q2,0.1149922881329483,0.005106503881018061,6
Cluster 3,Q3,0.11557502272888001,0.006918269593538514,6
Cluster 3,Q4,0.1114442909744894,0.00954549817941482,6
Cluster 4,Q1,0.19338297535003374,0.05262585429152181,6
Cluster 4,Q2,0.26008893041473646,0.02735454398672455,6
Cluster 4,Q3,0.31614592365731947,0.03987416136702923,6
Cluster 4,Q4,0.24748663016925276,0.10638432654805557,6
Cluster 5,Q1,0.1897639939062717,0.07653921118339228,6
Cluster 5,Q2,0.1954297921815342,0.02799584500405693,6
Cluster 5,Q3,0.22179507583307134,0.018361174678850033,6
Cluster 5,Q4,0.2402811807782535,0.041977195350957716,6
Cluster 6,Q1,0.08943334348041272,0.03685541638009565,6
Cluster 6,Q2,0.10935879490816765,0.010911451353263504,6
Cluster 6,Q3,0.12848137981682875,0.020559729176557004,6
Cluster 6,Q4,0.24557047231194734,0.19135143602907526,6
