"year","stock","day_5_percent","day_100_percent","duration_5_to_100","stock_clean","stock_ordered"
2021,"Holokuk",163.374005647709,198,34.625994352291,"Holokuk","Holokuk"
2022,"Holokuk",162.323951870269,203,40.6760481297308,"Holokuk","Holokuk"
2017,"Kisaralik",162.850188622555,200,37.1498113774445,"Kisaralik","Kisaralik"
2018,"Kisaralik",161.885805078467,198,36.114194921533,"Kisaralik","Kisaralik"
2019,"Kisaralik",158.23334867685,185,26.76665132315,"Kisaralik","Kisaralik"
2020,"Kisaralik",160.117761734763,201,40.8822382652371,"Kisaralik","Kisaralik"
2021,"Kisaralik",163.766454076525,198,34.233545923475,"Kisaralik","Kisaralik"
2022,"Kisaralik",162.139899498605,203,40.8601005013953,"Kisaralik","Kisaralik"
2017,"Kwethluk",165.738661790241,200,34.2613382097593,"Kwethluk","Kwethluk"
2018,"Kwethluk",163.261835377869,198,34.738164622131,"Kwethluk","Kwethluk"
2019,"Kwethluk",158.740064235473,185,26.2599357645271,"Kwethluk","Kwethluk"
2020,"Kwethluk",160.479382081263,201,40.5206179187373,"Kwethluk","Kwethluk"
2021,"Kwethluk",162.749213238794,198,35.2507867612057,"Kwethluk","Kwethluk"
2022,"Kwethluk",163.222984437572,203,39.7770155624276,"Kwethluk","Kwethluk"
2017,"Lower.Kusko",163.201585500903,200,36.7984144990965,"Lower Kusko","Lower Kusko"
2018,"Lower.Kusko",161.971990803672,198,36.0280091963285,"Lower Kusko","Lower Kusko"
2019,"Lower.Kusko",156.872418669221,185,28.1275813307786,"Lower Kusko","Lower Kusko"
2020,"Lower.Kusko",160.230351241216,201,40.7696487587837,"Lower Kusko","Lower Kusko"
2021,"Lower.Kusko",160.843950921202,198,37.1560490787977,"Lower Kusko","Lower Kusko"
2022,"Lower.Kusko",161.476027590353,203,41.5239724096473,"Lower Kusko","Lower Kusko"
2017,"Middle.Kusko.Main",163.051540697287,200,36.9484593027135,"Middle Kusko Main","Middle Kusko Main"
2018,"Middle.Kusko.Main",161.594137896735,198,36.4058621032646,"Middle Kusko Main","Middle Kusko Main"
2019,"Middle.Kusko.Main",157.389034894836,185,27.6109651051645,"Middle Kusko Main","Middle Kusko Main"
2020,"Middle.Kusko.Main",159.73237717667,201,41.2676228233297,"Middle Kusko Main","Middle Kusko Main"
2021,"Middle.Kusko.Main",160.402030645244,198,37.5979693547563,"Middle Kusko Main","Middle Kusko Main"
2022,"Middle.Kusko.Main",161.862927954923,203,41.137072045077,"Middle Kusko Main","Middle Kusko Main"
2017,"N..Fork.Kusko",163.048608707434,200,36.9513912925663,"N. Fork Kusko","N. Fork Kusko"
2018,"N..Fork.Kusko",158.363587771578,191,32.6364122284216,"N. Fork Kusko","N. Fork Kusko"
2019,"N..Fork.Kusko",156.000144703408,182,25.9998552965916,"N. Fork Kusko","N. Fork Kusko"
2020,"N..Fork.Kusko",157.069471955169,201,43.9305280448308,"N. Fork Kusko","N. Fork Kusko"
2021,"N..Fork.Kusko",158.31547874525,195,36.6845212547497,"N. Fork Kusko","N. Fork Kusko"
2022,"N..Fork.Kusko",157.366271910573,203,45.6337280894266,"N. Fork Kusko","N. Fork Kusko"
2017,"Oskakawlik",162.928943977513,200,37.0710560224869,"Oskakawlik","Oskakawlik"
2018,"Oskakawlik",161.937105087867,198,36.0628949121333,"Oskakawlik","Oskakawlik"
2019,"Oskakawlik",158.876275550022,185,26.1237244499784,"Oskakawlik","Oskakawlik"
2020,"Oskakawlik",160.221159148342,201,40.7788408516579,"Oskakawlik","Oskakawlik"
2021,"Oskakawlik",163.469673762201,198,34.530326237799,"Oskakawlik","Oskakawlik"
2022,"Oskakawlik",162.312551111821,203,40.687448888179,"Oskakawlik","Oskakawlik"
2017,"S..Fork.Kusko",164.000118069351,200,35.9998819306491,"S. Fork Kusko","S. Fork Kusko"
2018,"S..Fork.Kusko",157.957727756113,197,39.0422722438865,"S. Fork Kusko","S. Fork Kusko"
2019,"S..Fork.Kusko",155.420473987048,182,26.5795260129516,"S. Fork Kusko","S. Fork Kusko"
2020,"S..Fork.Kusko",157.625047759806,201,43.3749522401945,"S. Fork Kusko","S. Fork Kusko"
2021,"S..Fork.Kusko",158.06648054669,198,39.9335194533102,"S. Fork Kusko","S. Fork Kusko"
2022,"S..Fork.Kusko",157.966540116338,203,45.0334598836615,"S. Fork Kusko","S. Fork Kusko"
2017,"Stony",163.709683013536,200,36.2903169864639,"Stony","Stony"
2018,"Stony",161.184691183299,198,36.8153088167009,"Stony","Stony"
2019,"Stony",156.49406264727,185,28.5059373527305,"Stony","Stony"
2020,"Stony",159.845911088606,201,41.1540889113943,"Stony","Stony"
2021,"Stony",159.829155141343,198,38.1708448586572,"Stony","Stony"
2022,"Stony",161.257297282985,203,41.7427027170148,"Stony","Stony"
2017,"Swift",164.054106732067,200,35.9458932679333,"Swift","Swift"
2018,"Swift",157.495257277234,197,39.5047427227655,"Swift","Swift"
2019,"Swift",155.203382788396,182,26.796617211604,"Swift","Swift"
2020,"Swift",157.471704949067,201,43.5282950509334,"Swift","Swift"
2021,"Swift",157.587979778401,198,40.4120202215987,"Swift","Swift"
2022,"Swift",158.267693274431,203,44.7323067255693,"Swift","Swift"
