"stock_clean","mean_duration","median_duration","sd_duration","min_duration","max_duration","n_years","stock_ordered"
"Aniak",25.3348222865125,24.5566353460348,4.94305960532382,19.5108793021107,34.3041970991365,6,"Aniak"
"Big River",24.0407690275346,22.6950271570427,4.67921686063968,19.1809562966192,31.0103760347076,6,"Big River"
"E  Fork Kuskokwim",21.5702669548859,20.9067865352923,6.46709723582343,13.9508401947774,30.63534979336,6,"E  Fork Kuskokwim"
"George",22.7113332992408,23.9263671080574,4.60995461447769,16.7479532838562,28.8672171757587,6,"George"
"Hoholitna",23.5715902711198,23.7521244870607,3.62509861503704,19.2192867114843,28.737641035913,6,"Hoholitna"
"Holitna",23.2178768352491,24.5480908034374,3.22908671852149,17.9788910834212,25.8968621162199,6,"Holitna"
"Holokuk",25.1312568106708,25.1338793813466,3.69276811869051,19.4952061670742,30.8526953506519,6,"Holokuk"
"Kisaralik",25.0079912073158,24.2401428048973,3.87849612590773,20.0660268107893,31.8514773809501,6,"Kisaralik"
"Kwethluk",23.8853062860755,22.7834776774108,4.54186386992467,19.9531891726629,32.2523384537516,6,"Kwethluk"
"Lower Kusko",25.5139146322125,25.9736730093656,3.66548391242875,20.2296409543999,31.2291745994972,6,"Lower Kusko"
"Middle Kusko Main",25.4806767225751,24.9399322343787,3.74450896481715,19.9786968556534,31.0066149559557,6,"Middle Kusko Main"
"N. Fork Kusko",22.0582039884666,20.2722430411331,3.49668948478413,19.196714677386,27.9073122786168,6,"N. Fork Kusko"
"Oskakawlik",24.4349671706788,23.9422418876359,3.71714954913043,19.0662702217575,30.5674769614367,6,"Oskakawlik"
"S. Fork Kusko",24.757846523396,22.9115714000847,4.61573726149576,20.2821502273412,32.1053198198091,6,"S. Fork Kusko"
"Stony",25.3641760548079,25.2742435905467,3.76318014249999,20.0536603634927,30.2279497622223,6,"Stony"
"Swift",24.45640294433,22.6610404178337,4.55648078398697,20.3993014429925,31.6847483290559,6,"Swift"
"Takotna and Nixon Fork",24.1285759929136,24.5995881821477,3.83468723087833,19.3559373832864,28.4209113780327,6,"Takotna and Nixon Fork"
"Tatlawiksuk",24.3879825819,22.5082336508496,4.71131860976847,20.2797434727614,31.7552264118595,6,"Tatlawiksuk"
"Tuluksak",24.7355050570407,24.1472267348147,3.92418293124429,19.0867900289907,31.2117374197916,6,"Tuluksak"
"Upper Kusko Main",25.0984871575815,23.7538472944391,4.80196275901571,19.9532172980846,31.9168623836976,6,"Upper Kusko Main"
