"","Q1_2017","Q1_2018","Q1_2019","Q1_2020","Q1_2021"
"Trend 1",-0.117711655294424,-0.985944820415593,-0.535347932284929,-1.32673214222591,-1.74206976507102
"Trend 2",-0.371998660278458,0.122510059746067,-0.449323675724317,0.79456418110338,-0.0696395139618216
"Trend 3",-0.66167413211724,0.627818667825412,-0.97329553699133,1.71015532187991,-0.853678493065613
"Trend 4",-0.157794515143704,-1.13030500221035,-0.537975141461459,1.23008839815877,0.262373731858013
"Trend 5",-1.373319541609,-2.1418963074762,0.864847278833463,1.66822058860551,-0.492883598375323
"Trend 6",-0.312165548395835,-0.595568197044016,-1.49894126748042,0.22245479843292,1.93546800132664
