"","Trend 1","Trend 2","Trend 3","Trend 4","Trend 5","Trend 6"
"Aniak",1.37315769508315,0,0,0,0,0
"Big River",-1.3432005224803,-0.381759848873024,0,0,0,0
"E. Fork Kuskokwim",-1.28076001727456,-0.444068033104177,-0.26450659936649,0,0,0
"Holitna and Hoholitna",1.23319034552442,0.571904660430266,0.190666319259292,-0.0773163608842303,0,0
"Holokuk",0.338490493561132,-0.169082322297934,-1.03183361149497,0.172241054587857,0.642062660569836,0
"Johnson",0.946014096382794,0.688638860634355,-0.0519296925716685,0.231619734050113,-0.0377964099422079,-0.439843850837635
"Kisaralik",1.3450878033543,0.207795224054852,0.159283293843159,-0.0125499889267373,-0.0178116829635997,-0.00217705336751597
"Kwethluk",-1.32912231249913,-0.310037755899759,-0.211457962390887,0.0598441914428179,0.120008367591088,-0.116797709670266
"N. Fork Kusko",-1.25940200000442,-0.384933578503123,-0.189163921423694,-0.00696953120350174,-0.0270588910199358,0.129375624004557
"Oskakawlik",-1.16228501642536,-0.561018874399235,-0.269314736308143,0.28155285608714,-0.313139777898131,-0.445596784046138
"Stony",1.36312168088698,0.346868661311795,-0.0588537941414098,0.143526094954896,0.0155045417798706,-0.0254675685419215
"Swift",0.980686337623841,0.69025724150084,0.213107750987066,-0.25275404679753,-0.121516953798923,-0.114135553396589
"Takotna and Nixon Fork",-1.28635700418603,-0.475573254686595,-0.178925141872513,0.01748787179972,-0.0225923070794024,0.00651681952750058
"Tuluksak",1.36681334916776,0.209069648831698,0.252629276927232,0.0221135272896001,0.0526508477209752,0.235614125633149
