"2017","2018","2019","2020","2021","HUC","Metric"
0.0509634054784956,0.0624191101142662,0.142652879008045,0.124146753836534,0.0689675304686472,"Aniak","Closure_Protection_Proportion"
0.187470538707782,0.192545094973063,0.182653696014761,0.167164479103145,0.173545003379051,"Aniak","Total_HUC_Contribution"
0.0395391882829008,0.0539516049849876,0.164300447754071,0.0587285702451622,0.0726108820145568,"Holitna River","Closure_Protection_Proportion"
0.1918288933567,0.177930261052716,0.213995237301464,0.1961108977917,0.205166694852907,"Holitna River","Total_HUC_Contribution"
0.059100734252376,0.0641725246347327,0.16412608101803,0.118562727284164,0.0486148252695743,"Kuskokwim Delta","Closure_Protection_Proportion"
0.195547046796871,0.218631023232881,0.179685693581555,0.165158121299124,0.184280107702642,"Kuskokwim Delta","Total_HUC_Contribution"
0.0248358927641849,0.19809067722397,0.443785334112064,0.188139402744314,0.328947401077977,"Middle Fork Kuskokwim River","Closure_Protection_Proportion"
0.0666737338628239,0.0681228518459712,0.0675136911622618,0.0836309975850595,0.0730224305878219,"Middle Fork Kuskokwim River","Total_HUC_Contribution"
0.0764074709948124,0.269072270347667,0.470514590030386,0.349883613958087,0.528151989651851,"North Fork Kuskokwim River","Closure_Protection_Proportion"
0.00739414798218839,0.00786158293264684,0.00520476774110939,0.00649323784789766,0.00771735764758303,"North Fork Kuskokwim River","Total_HUC_Contribution"
0.0337838934183736,0.149686240080489,0.335453134588556,0.175175075993851,0.259537132314277,"South Fork Kuskokwim River","Closure_Protection_Proportion"
0.0151107840552112,0.0139664085771545,0.0144120066679562,0.0169210090990798,0.014994735360123,"South Fork Kuskokwim River","Total_HUC_Contribution"
0.0358869482884135,0.135443024369693,0.303488129432806,0.15255169511698,0.216906050122093,"Stony River","Closure_Protection_Proportion"
0.283124036818399,0.268899654514752,0.279658073487515,0.308106641775163,0.288294324027508,"Stony River","Total_HUC_Contribution"
0.0271011834531498,0.0480432834415321,0.187676666596035,0.0656876046278805,0.124935865076533,"Takotna River","Closure_Protection_Proportion"
0.0528508184200246,0.0520431228708157,0.0568768340433773,0.0564146154988306,0.0529793464423648,"Takotna River","Total_HUC_Contribution"
