"year","Name","total_huc_contribution","closure_protection_percent","closure_window","total_huc_contribution_prop","closure_protection_prop"
"2017","Stony River",28.3124036818398,3.58869482884134,"06-01_to_06-11",0.283124036818398,0.0358869482884134
"2017","Kuskokwim Delta",19.5547046796871,5.91007342523759,"06-01_to_06-11",0.195547046796871,0.0591007342523759
"2017","Holitna River",19.18288933567,3.95391882829005,"06-01_to_06-11",0.1918288933567,0.0395391882829005
"2017","Aniak",18.7470538707782,5.09634054784955,"06-01_to_06-11",0.187470538707782,0.0509634054784955
"2017","Middle Fork Kuskokwim River",6.66737338628239,2.48358927641849,"06-01_to_06-11",0.0666737338628239,0.0248358927641849
"2017","Takotna River",5.28508184200246,2.71011834531498,"06-01_to_06-11",0.0528508184200246,0.0271011834531498
"2017","South Fork Kuskokwim River",1.51107840552112,3.37838934183736,"06-01_to_06-11",0.0151107840552112,0.0337838934183737
"2017","North Fork Kuskokwim River",0.739414798218838,7.64074709948124,"06-01_to_06-11",0.00739414798218838,0.0764074709948124
"2019","Stony River",27.9658073487514,30.3488129432807,"06-01_to_06-11",0.279658073487514,0.303488129432807
"2019","Holitna River",21.3995237301464,16.430044775407,"06-01_to_06-11",0.213995237301464,0.16430044775407
"2019","Aniak",18.2653696014761,14.2652879008044,"06-01_to_06-11",0.182653696014761,0.142652879008044
"2019","Kuskokwim Delta",17.9685693581556,16.4126081018029,"06-01_to_06-11",0.179685693581556,0.164126081018029
"2019","Middle Fork Kuskokwim River",6.75136911622618,44.3785334112064,"06-01_to_06-11",0.0675136911622618,0.443785334112064
"2019","Takotna River",5.68768340433772,18.7676666596035,"06-01_to_06-11",0.0568768340433772,0.187676666596035
"2019","South Fork Kuskokwim River",1.44120066679562,33.5453134588556,"06-01_to_06-11",0.0144120066679562,0.335453134588556
"2019","North Fork Kuskokwim River",0.520476774110938,47.0514590030386,"06-01_to_06-11",0.00520476774110938,0.470514590030386
"2020","Stony River",30.8106641775163,15.255169511698,"06-01_to_06-11",0.308106641775163,0.15255169511698
"2020","Holitna River",19.61108977917,5.87285702451618,"06-01_to_06-11",0.1961108977917,0.0587285702451618
"2020","Aniak",16.7164479103146,12.4146753836534,"06-01_to_06-11",0.167164479103146,0.124146753836534
"2020","Kuskokwim Delta",16.5158121299124,11.8562727284164,"06-01_to_06-11",0.165158121299124,0.118562727284164
"2020","Middle Fork Kuskokwim River",8.36309975850594,18.8139402744314,"06-01_to_06-11",0.0836309975850594,0.188139402744314
"2020","Takotna River",5.64146154988305,6.56876046278807,"06-01_to_06-11",0.0564146154988305,0.0656876046278807
"2020","South Fork Kuskokwim River",1.69210090990798,17.5175075993851,"06-01_to_06-11",0.0169210090990798,0.175175075993851
"2020","North Fork Kuskokwim River",0.649323784789765,34.9883613958087,"06-01_to_06-11",0.00649323784789765,0.349883613958087
"2021","Stony River",28.8294324027507,21.6906050122094,"06-01_to_06-11",0.288294324027507,0.216906050122094
"2021","Holitna River",20.5166694852907,7.26108820145565,"06-01_to_06-11",0.205166694852907,0.0726108820145565
"2021","Kuskokwim Delta",18.4280107702642,4.86148252695745,"06-01_to_06-11",0.184280107702642,0.0486148252695745
"2021","Aniak",17.3545003379052,6.89675304686473,"06-01_to_06-11",0.173545003379052,0.0689675304686473
"2021","Middle Fork Kuskokwim River",7.30224305878218,32.8947401077978,"06-01_to_06-11",0.0730224305878218,0.328947401077978
"2021","Takotna River",5.29793464423649,12.4935865076533,"06-01_to_06-11",0.0529793464423649,0.124935865076533
"2021","South Fork Kuskokwim River",1.4994735360123,25.9537132314277,"06-01_to_06-11",0.014994735360123,0.259537132314277
"2021","North Fork Kuskokwim River",0.771735764758305,52.815198965185,"06-01_to_06-11",0.00771735764758305,0.52815198965185
