"year","quartile","Name","total_run_prop","cpue_prop_in_quartile"
"2017","Q1","Stony River",0.0374404136690637,0.0405369752023444
"2017","Q1","Holitna River",0.0192979314796914,0.0405369752023444
"2017","Q1","Kuskokwim Delta",0.0173654780762312,0.0405369752023444
"2017","Q1","Aniak",0.0161041885629137,0.0405369752023444
"2017","Q1","Middle Fork Kuskokwim River",0.0111481925359225,0.0405369752023444
"2017","Q1","Takotna River",0.00537063194727254,0.0405369752023444
"2017","Q1","South Fork Kuskokwim River",0.00210471536508174,0.0405369752023444
"2017","Q1","North Fork Kuskokwim River",0.00162885415557521,0.0405369752023444
"2017","Q2","Stony River",0.141454371440465,0.619376838688995
"2017","Q2","Holitna River",0.0886282046350595,0.619376838688995
"2017","Q2","Kuskokwim Delta",0.080453700215751,0.619376838688995
"2017","Q2","Aniak",0.0794103806527341,0.619376838688995
"2017","Q2","Middle Fork Kuskokwim River",0.0368919589376364,0.619376838688995
"2017","Q2","Takotna River",0.0245762995905415,0.619376838688995
"2017","Q2","South Fork Kuskokwim River",0.007781736728089,0.619376838688995
"2017","Q2","North Fork Kuskokwim River",0.00281736419358301,0.619376838688995
"2017","Q3","Stony River",0.080836219251674,0.264839301773369
"2017","Q3","Kuskokwim Delta",0.063233069507105,0.264839301773369
"2017","Q3","Holitna River",0.0627219939801602,0.264839301773369
"2017","Q3","Aniak",0.0609855154663788,0.264839301773369
"2017","Q3","Takotna River",0.017048886305191,0.264839301773369
"2017","Q3","Middle Fork Kuskokwim River",0.0167607615333673,0.264839301773369
"2017","Q3","South Fork Kuskokwim River",0.0041852770808265,0.264839301773369
"2017","Q3","North Fork Kuskokwim River",0.00212407092085711,0.264839301773369
"2017","Q4","Kuskokwim Delta",0.034517102881225,0.0681772403991001
"2017","Q4","Aniak",0.030933937828006,0.0681772403991001
"2017","Q4","Stony River",0.0250768578269567,0.0681772403991001
"2017","Q4","Holitna River",0.0225764081550545,0.0681772403991001
"2017","Q4","Takotna River",0.00573836823358445,0.0681772403991001
"2017","Q4","Middle Fork Kuskokwim River",0.00280689469420416,0.0681772403991001
"2017","Q4","South Fork Kuskokwim River",0.0010886342857362,0.0681772403991001
"2017","Q4","North Fork Kuskokwim River",0.000633696458317284,0.0681772403991001
"2018","Q1","Stony River",0.0370461967298669,0.0467865277194589
"2018","Q1","Kuskokwim Delta",0.0150029660041603,0.0467865277194589
"2018","Q1","Middle Fork Kuskokwim River",0.0136276741049475,0.0467865277194589
"2018","Q1","Aniak",0.0130714766255168,0.0467865277194589
"2018","Q1","Holitna River",0.0098470846913165,0.0467865277194589
"2018","Q1","Takotna River",0.00252499726139253,0.0467865277194589
"2018","Q1","North Fork Kuskokwim River",0.00213620941686341,0.0467865277194589
"2018","Q1","South Fork Kuskokwim River",0.00211121034021406,0.0467865277194589
"2018","Q2","Stony River",0.110825276229884,0.333773223760627
"2018","Q2","Holitna River",0.0591509085328417,0.333773223760627
"2018","Q2","Kuskokwim Delta",0.0517977777462285,0.333773223760627
"2018","Q2","Aniak",0.0484182255006646,0.333773223760627
"2018","Q2","Middle Fork Kuskokwim River",0.0332538952328487,0.333773223760627
"2018","Q2","Takotna River",0.0203058367105074,0.333773223760627
"2018","Q2","South Fork Kuskokwim River",0.00644585835951274,0.333773223760627
"2018","Q2","North Fork Kuskokwim River",0.00359428467562583,0.333773223760627
"2018","Q3","Kuskokwim Delta",0.123082068671692,0.590945528113907
"2018","Q3","Stony River",0.110190205345451,0.590945528113907
"2018","Q3","Aniak",0.106831383129508,0.590945528113907
"2018","Q3","Holitna River",0.0993204091822342,0.590945528113907
"2018","Q3","Takotna River",0.026637451377831,0.590945528113907
"2018","Q3","Middle Fork Kuskokwim River",0.0204618769787038,0.590945528113907
"2018","Q3","South Fork Kuskokwim River",0.00509030835619401,0.590945528113907
"2018","Q3","North Fork Kuskokwim River",0.00212270056458568,0.590945528113907
"2018","Q4","Kuskokwim Delta",0.0280347883336606,0.0278894166362198
"2018","Q4","Aniak",0.0236330776204846,0.0278894166362198
"2018","Q4","Stony River",0.0129522623935441,0.0278894166362198
"2018","Q4","Holitna River",0.0110253350216658,0.0278894166362198
"2018","Q4","Takotna River",0.00308843185435881,0.0278894166362198
"2018","Q4","Middle Fork Kuskokwim River",0.00145168476147295,0.0278894166362198
"2018","Q4","South Fork Kuskokwim River",0.000456860842491439,0.0278894166362198
"2018","Q4","North Fork Kuskokwim River",8.59713302013805e-05,0.0278894166362198
"2019","Q1","Stony River",0.0601632213049266,0.233198324577136
"2019","Q1","Holitna River",0.0247846790066502,0.233198324577136
"2019","Q1","Kuskokwim Delta",0.0220567341976704,0.233198324577136
"2019","Q1","Middle Fork Kuskokwim River",0.0206678405980495,0.233198324577136
"2019","Q1","Aniak",0.0193307318462993,0.233198324577136
"2019","Q1","Takotna River",0.00827209913559037,0.233198324577136
"2019","Q1","South Fork Kuskokwim River",0.00347635264429798,0.233198324577136
"2019","Q1","North Fork Kuskokwim River",0.00118449171665064,0.233198324577136
"2019","Q2","Stony River",0.0766322840226959,0.216523541692107
"2019","Q2","Holitna River",0.0405617121032227,0.216523541692107
"2019","Q2","Kuskokwim Delta",0.0324533387634597,0.216523541692107
"2019","Q2","Aniak",0.0324305439228981,0.216523541692107
"2019","Q2","Middle Fork Kuskokwim River",0.0239011643421487,0.216523541692107
"2019","Q2","Takotna River",0.0122608870151327,0.216523541692107
"2019","Q2","South Fork Kuskokwim River",0.0042177929108908,0.216523541692107
"2019","Q2","North Fork Kuskokwim River",0.00251072663437185,0.216523541692107
